GSM,donor,phase,tissue,platform,instrument,library_selection,library_source,library_strategy,genes_in_matrix,cells_in_matrix,median_genes_per_cell,mean_genes_per_cell,median_expression_per_cell,mean_expression_per_cell,min_genes_per_cell,max_genes_per_cell,sample_qc_flag
GSM5519469,P190604,IT,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,3085,1278,1365.8531604538086,2356.326709389689,2360.0967906749906,534,4412,PASS
GSM5519471,P190326,IT,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,1379,843,1157.4060913705584,1942.0236179828655,2130.0584515790692,527,5332,LOWER_COMPLEXITY
GSM5519472,P190402,IT,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,7110,1464,1540.9101265822785,2560.166354417805,2539.152126894738,535,4989,PASS
GSM5519475,P190716,AR,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,3460,1091,1105.3112716763005,2228.7658660411844,2217.2969504767243,532,2903,PASS
GSM5519477,P190719,IA,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,3006,920,1027.102129075183,1986.0563800930963,2033.067287136764,525,3805,PASS
GSM5519483,Dhc570,NL,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,4243,1194,1207.761725194438,2314.1981749534607,2294.2211537543976,529,3509,PASS
GSM5519484,D528848,NL,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,4733,1171,1193.969364039721,2304.7344509363193,2296.646312988191,528,3642,PASS
GSM5519485,D529074,NL,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,5956,1193,1268.0686702484888,2277.8554286956814,2246.0682976589437,531,4239,PASS
GSM5519486,D529351,NL,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,690,674.5,791.036231884058,1727.4215667247793,1835.5715881124786,525,3056,LOW_COMPLEXITY
GSM5519487,D529354,NL,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,5233,850,944.9535639212688,1989.522173643112,2070.1722618074687,528,3304,LOWER_COMPLEXITY
GSM5519488,D529409,NL,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,3364,729,813.2253269916765,1788.959943652154,1824.500399829348,524,5309,LOWER_COMPLEXITY
GSM5519491,P190902,IT,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,66,643.5,656.530303030303,1663.7227880954733,1681.7495687694259,527,1052,MAJOR_OUTLIER
GSM5519494,P190910,IT,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,2693,1546,1625.2580764946156,2674.0212708711624,2665.106196573757,550,5825,PASS
GSM5519495,P190808,IT,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,5168,1527,1547.6840170278638,2606.678414821622,2571.6071583348335,540,5758,PASS
GSM5519496,P190801,IA,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,6069,1277,1318.8803756796835,2391.068055391316,2393.133492510496,540,4324,PASS
GSM5519497,P190911,IA,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,9082,1307,1352.7937678925348,2455.432809829711,2463.6138645137257,529,4126,PASS
GSM5519499,P191028,IA,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,8062,685,745.1344579508807,1752.7944288253766,1823.3895530251912,524,2477,LOW_COMPLEXITY
GSM5519502,P191112,IA,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,6070,1430,1451.4446457990116,2555.8035706281685,2536.7784080108904,536,4055,PASS
GSM5519504,P191008,AR,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,10164,1008,1058.3609799291617,2157.0534226894406,2173.7007000637964,525,3423,PASS
GSM5519506,P191126,AC,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,3293,1426,1438.5866990586092,2511.552262663843,2483.6744817213885,538,3554,PASS
GSM5519508,P191127,AC,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,6625,1423,1449.3977358490565,2556.760228872302,2531.734560810971,527,4320,PASS
GSM5519510,P191210,AC,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,2919,826,893.429941760877,1938.7989232540137,1980.4819199591823,525,2838,LOWER_COMPLEXITY
GSM5519512,P191217,AR,Liver,GPL20301,Illumina HiSeq 4000,cDNA,transcriptomic,RNA-Seq,24452,4122,1339,1369.2103347889374,2452.5162813663496,2427.9740287836376,544,4747,PASS
