GSM,genes_in_matrix,cells_in_matrix,duplicated_gene_ids,duplicated_cell_ids,min_expression_value,median_expression_value,max_expression_value,median_genes_detected_per_cell,mean_genes_detected_per_cell,min_genes_detected_per_cell,max_genes_detected_per_cell
GSM5519469,24452,3085,0,0,0,0,8.63173675537109,1278,1365.8531604538086,534,4412
GSM5519471,24452,1379,0,0,0,0,8.04185390472412,843,1157.4060913705584,527,5332
GSM5519472,24452,7110,0,0,0,0,8.93960952758789,1464,1540.9101265822785,535,4989
GSM5519475,24452,3460,0,0,0,0,8.53791236877441,1091,1105.3112716763005,532,2903
GSM5519477,24452,3006,0,0,0,0,8.60103988647461,920,1027.102129075183,525,3805
GSM5519483,24452,4243,0,0,0,0,8.47662353515625,1194,1207.761725194438,529,3509
GSM5519484,24452,4733,0,0,0,0,8.85691738128662,1171,1193.969364039721,528,3642
GSM5519485,24452,5956,0,0,0,0,9.00842666625977,1193,1268.0686702484888,531,4239
GSM5519486,24452,690,0,0,0,0,8.61132717132568,674.5,791.036231884058,525,3056
GSM5519487,24452,5233,0,0,0,0,8.71064853668213,850,944.9535639212688,528,3304
GSM5519488,24452,3364,0,0,0,0,8.83199310302734,729,813.2253269916765,524,5309
GSM5519491,24452,66,0,0,0,0,6.3161244392395,643.5,656.530303030303,527,1052
GSM5519494,24452,2693,0,0,0,0,8.96426582336426,1546,1625.2580764946156,550,5825
GSM5519495,24452,5168,0,0,0,0,9.00522327423096,1527,1547.6840170278638,540,5758
GSM5519496,24452,6069,0,0,0,0,8.11045265197754,1277,1318.8803756796835,540,4324
GSM5519497,24452,9082,0,0,0,0,8.30547142028809,1307,1352.7937678925348,529,4126
GSM5519499,24452,8062,0,0,0,0,8.9392204284668,685,745.1344579508807,524,2477
GSM5519502,24452,6070,0,0,0,0,8.58102893829346,1430,1451.4446457990116,536,4055
GSM5519504,24452,10164,0,0,0,0,8.9519214630127,1008,1058.3609799291617,525,3423
GSM5519506,24452,3293,0,0,0,0,8.78600311279297,1426,1438.5866990586092,538,3554
GSM5519508,24452,6625,0,0,0,0,8.74895191192627,1423,1449.3977358490565,527,4320
GSM5519510,24452,2919,0,0,0,0,8.90914630889893,826,893.429941760877,525,2838
GSM5519512,24452,4122,0,0,0,0,8.6719799041748,1339,1369.2103347889374,544,4747
