GSM,Donor,Phase,Cells,Predicted_Doublets,Doublet_Rate,Percent_of_All_Doublets
GSM5519504,P191008,AR,10164,324,3.187721369539551,23.61516034985423
GSM5519484,D528848,NL,4733,250,5.282062117050496,18.221574344023324
GSM5519497,P190911,IA,9082,232,2.554503413345078,16.909620991253643
GSM5519472,P190402,IT,7110,98,1.3783403656821378,7.142857142857143
GSM5519499,P191028,IA,8062,98,1.2155792607293476,7.142857142857143
GSM5519496,P190801,IA,6069,57,0.9391992090954029,4.154518950437318
GSM5519502,P191112,IA,6070,52,0.85667215815486,3.7900874635568513
GSM5519485,D529074,NL,5956,50,0.8394895903290799,3.6443148688046647
GSM5519508,P191127,AC,6625,42,0.6339622641509434,3.061224489795918
GSM5519477,P190719,IA,3006,31,1.0312707917498336,2.259475218658892
GSM5519469,P190604,IT,3085,28,0.9076175040518638,2.0408163265306123
GSM5519487,D529354,NL,5233,25,0.47773743550544623,1.8221574344023324
GSM5519483,Dhc570,NL,4243,20,0.47136460051850104,1.4577259475218658
GSM5519506,P191126,AC,3293,18,0.5466140297600972,1.3119533527696794
GSM5519494,P190910,IT,2693,17,0.6312662458225028,1.239067055393586
GSM5519475,P190716,AR,3460,9,0.26011560693641617,0.6559766763848397
GSM5519512,P191217,AR,4122,8,0.19408054342552158,0.5830903790087464
GSM5519495,P190808,IT,5168,6,0.11609907120743033,0.43731778425655976
GSM5519488,D529409,NL,3364,4,0.11890606420927467,0.2915451895043732
GSM5519471,P190326,IT,1379,1,0.0725163161711385,0.0728862973760933
GSM5519486,D529351,NL,690,1,0.14492753623188406,0.0728862973760933
GSM5519491,P190902,IT,66,1,1.5151515151515151,0.0728862973760933
GSM5519510,P191210,AC,2919,0,0,0
