GSM,Donor,Phase,Cells,Doublets,Doublet_Rate,Median_Doublet_Score
GSM5519484,D528848,NL,4733,250,5.28,8.07324904599227e-5
GSM5519504,P191008,AR,10164,324,3.19,6.63263963360805e-5
GSM5519497,P190911,IA,9082,232,2.55,3.165943780913949e-5
GSM5519491,P190902,IT,66,1,1.52,0.555768935085236
GSM5519472,P190402,IT,7110,98,1.38,6.903922621859238e-5
GSM5519499,P191028,IA,8062,98,1.22,4.37364011304453e-4
GSM5519477,P190719,IA,3006,31,1.03,2.5412703689653426e-4
GSM5519496,P190801,IA,6069,57,0.94,1.2702679669018835e-4
GSM5519469,P190604,IT,3085,28,0.91,3.5852292785421014e-4
GSM5519502,P191112,IA,6070,52,0.86,4.8506903112865984e-5
GSM5519485,D529074,NL,5956,50,0.84,1.495196411269717e-4
GSM5519494,P190910,IT,2693,17,0.63,0.0011505214497447014
GSM5519508,P191127,AC,6625,42,0.63,4.4506970880320296e-5
GSM5519506,P191126,AC,3293,18,0.55,1.5318859368562698e-4
GSM5519487,D529354,NL,5233,25,0.48,8.785105455899611e-5
GSM5519483,Dhc570,NL,4243,20,0.47,1.6680189582984895e-4
GSM5519475,P190716,AR,3460,9,0.26,4.6001998998690397e-4
GSM5519512,P191217,AR,4122,8,0.19,1.780152233550325e-4
GSM5519486,D529351,NL,690,1,0.14,0.0037269704043865204
GSM5519488,D529409,NL,3364,4,0.12,7.43522890843451e-4
GSM5519495,P190808,IT,5168,6,0.12,8.319457992911339e-5
GSM5519471,P190326,IT,1379,1,0.07,2.807385753840208e-4
GSM5519510,P191210,AC,2919,0,0,6.984546780586243e-4
