GSM,Donor,Phase,Cells,Median_Genes_Detected,Mean_Genes_Detected,Median_Mito_Detection_Fraction,Mean_Mito_Detection_Fraction,Median_Ribo_Detection_Fraction,Mean_Ribo_Detection_Fraction,Median_Total_LogCP10K,Mean_Total_LogCP10K,Pct_Below_200_Genes,Pct_Above_5000_Genes
GSM5519506,P191126,AC,3293,1426,1438.5866990586092,0.008813559322033898,0.009175866192716197,0,0,2511.5522626638412,2483.6744817213885,0,0
GSM5519508,P191127,AC,6625,1423,1449.3977358490565,0.008491182233834096,0.008782596043998909,0,0,2556.7602288722996,2531.734560810971,0,0
GSM5519510,P191210,AC,2919,826,893.429941760877,0.013782542113323124,0.014051936449110255,0,0,1938.7989232540133,1980.4819199591825,0,0
GSM5519475,P190716,AR,3460,1091,1105.3112716763005,0.01112290816332269,0.011536436062154648,0,0,2228.7658660411835,2217.2969504767243,0,0
GSM5519504,P191008,AR,10164,1008,1058.3609799291617,0.011707317073170732,0.012097864927277128,0,0,2157.053422689438,2173.7007000637964,0,0
GSM5519512,P191217,AR,4122,1339,1369.2103347889374,0.009046338772296086,0.009468925938449939,0,0,2452.5162813663483,2427.9740287836376,0,0
GSM5519477,P190719,IA,3006,920,1027.102129075183,0.012595678831546678,0.012627900152316532,0,0,1986.0563800930977,2033.067287136764,0,0
GSM5519496,P190801,IA,6069,1277,1318.8803756796835,0.009976976208749041,0.010328210222077281,0,0,2391.068055391312,2393.133492510496,0,0
GSM5519497,P190911,IA,9082,1307,1352.7937678925348,0.00936768149882904,0.009696167303638408,0,0,2455.432809829712,2463.6138645137257,0,0
GSM5519499,P191028,IA,8062,685,745.1344579508807,0.015082956259426848,0.014671376324501124,0,0,1752.7944288253782,1823.3895530251912,0,0
GSM5519502,P191112,IA,6070,1430,1451.4446457990116,0.008695652173913044,0.009151216800686415,0,0,2555.803570628166,2536.778408010891,0,0
GSM5519469,P190604,IT,3085,1278,1365.8531604538086,0.009767092411720512,0.00991471261606306,0,0,2356.3267093896866,2360.0967906749906,0,0
GSM5519471,P190326,IT,1379,843,1157.4060913705584,0.012949640287769784,0.01247233418288366,0,0,1942.0236179828646,2130.0584515790692,0,0.0725163161711385
GSM5519472,P190402,IT,7110,1464,1540.9101265822785,0.008575197889182058,0.008895568694487791,0,0,2560.1663544178014,2539.152126894738,0,0
GSM5519491,P190902,IT,66,643.5,656.530303030303,0.0179599364806299,0.01771495423108709,0,0,1663.7227880954742,1681.749568769426,0,0
GSM5519494,P190910,IT,2693,1546,1625.2580764946156,0.008102633355840648,0.008281667693773465,0,0,2674.0212708711624,2665.106196573757,0,0.03713330857779428
GSM5519495,P190808,IT,5168,1527,1547.6840170278638,0.0082855321861058,0.00875198715775108,0,0,2606.6784148216248,2571.6071583348335,0,0.03869969040247678
GSM5519483,Dhc570,NL,4243,1194,1207.761725194438,0.010342084327764518,0.01060916987102014,0,0,2314.1981749534607,2294.2211537543976,0,0
GSM5519484,D528848,NL,4733,1171,1193.969364039721,0.010221465076660987,0.010432047415374951,0,0,2304.7344509363174,2296.646312988191,0,0
GSM5519485,D529074,NL,5956,1193,1268.0686702484888,0.009860312243221035,0.010163616299743206,0,0,2277.8554286956787,2246.0682976589437,0,0
GSM5519486,D529351,NL,690,674.5,791.036231884058,0.01594973789700894,0.01557210631054465,0,0,1727.4215667247772,1835.5715881124786,0,0
GSM5519487,D529354,NL,5233,850,944.9535639212688,0.012437810945273632,0.012345245792153065,0,0,1989.5221736431122,2070.1722618074687,0,0
GSM5519488,D529409,NL,3364,729,813.2253269916765,0.015832741460153812,0.015528425314490219,0,0,1788.959943652153,1824.500399829348,0,0.029726516052318665
