GSM,Donor,Phase,Metric,N,Median,MAD,Lower_MAD_3,Upper_MAD_3
GSM5519469,P190604,IT,nFeature_RNA,3085,1277,256.4898,507.53060000000005,2046.4694
GSM5519471,P190326,IT,nFeature_RNA,1379,841,257.9724,67.08280000000002,1614.9171999999999
GSM5519472,P190402,IT,nFeature_RNA,7110,1464,326.17199999999997,485.48400000000015,2442.5159999999996
GSM5519475,P190716,AR,nFeature_RNA,3460,1090,213.49439999999998,449.5168000000001,1730.4832
GSM5519477,P190719,IA,nFeature_RNA,3006,920,308.38079999999997,-5.142399999999952,1845.1424
GSM5519483,Dhc570,NL,nFeature_RNA,4243,1194,250.55939999999998,442.32180000000005,1945.6781999999998
GSM5519484,D528848,NL,nFeature_RNA,4733,1170,219.42479999999998,511.7256000000001,1828.2743999999998
GSM5519485,D529074,NL,nFeature_RNA,5956,1192,317.27639999999997,240.1708000000001,2143.8292
GSM5519486,D529351,NL,nFeature_RNA,690,670.5,162.3447,183.46590000000003,1157.5340999999999
GSM5519487,D529354,NL,nFeature_RNA,5233,849,209.04659999999998,221.86020000000008,1476.1398
GSM5519488,D529409,NL,nFeature_RNA,3364,727.5,140.10569999999998,307.1829,1147.8171
GSM5519491,P190902,IT,nFeature_RNA,66,558,98.5929,262.2213,853.7787000000001
GSM5519494,P190910,IT,nFeature_RNA,2693,1545,339.5154,526.4538,2563.5461999999998
GSM5519495,P190808,IT,nFeature_RNA,5168,1526.5,292.8135,648.0595000000001,2404.9404999999997
GSM5519496,P190801,IA,nFeature_RNA,6069,1276,281.69399999999996,430.9180000000001,2121.082
GSM5519497,P190911,IA,nFeature_RNA,9082,1307,300.9678,404.09659999999997,2209.9034
GSM5519499,P191028,IA,nFeature_RNA,8062,684,133.434,283.698,1084.3020000000001
GSM5519502,P191112,IA,nFeature_RNA,6070,1430,327.65459999999996,447.0362000000001,2412.9638
GSM5519504,P191008,AR,nFeature_RNA,10164,1008,280.21139999999997,167.36580000000004,1848.6342
GSM5519506,P191126,AC,nFeature_RNA,3293,1426,289.10699999999997,558.6790000000001,2293.321
GSM5519508,P191127,AC,nFeature_RNA,6625,1422,271.31579999999997,608.0526000000001,2235.9474
GSM5519510,P191210,AC,nFeature_RNA,2919,825,255.00719999999998,59.97840000000008,1590.0216
GSM5519512,P191217,AR,nFeature_RNA,4122,1338,275.7636,510.7092,2165.2907999999998
GSM5519469,P190604,IT,nCount_RNA,3085,2354.33347249031,243.36849339544773,1624.227992303967,3084.4389526766536
GSM5519471,P190326,IT,nCount_RNA,1379,1937.7506082057955,359.1010073471546,860.4475861643316,3015.053630247259
GSM5519472,P190402,IT,nCount_RNA,7110,2559.979087948799,274.1817337981221,1737.4338865544328,3382.5242893431655
GSM5519475,P190716,AR,nCount_RNA,3460,2227.8546864986415,233.3419778125044,1527.8287530611283,2927.8806199361547
GSM5519477,P190719,IA,nCount_RNA,3006,1983.8632323741913,356.3686357347963,914.7573251698022,3052.9691395785803
GSM5519483,Dhc570,NL,nCount_RNA,4243,2312.921074151993,279.13657593984533,1475.511346332457,3150.3308019715287
GSM5519484,D528848,NL,nCount_RNA,4733,2303.2357654571533,238.86514994244575,1586.640315629816,3019.8312152844906
GSM5519485,D529074,NL,nCount_RNA,5956,2277.241921186447,329.767660794675,1287.9389388024222,3266.5449035704723
GSM5519486,D529351,NL,nCount_RNA,690,1718.3955217599869,253.9781905797243,956.4609500208139,2480.33009349916
GSM5519487,D529354,NL,nCount_RNA,5233,1988.8051812648773,293.4343953773975,1108.501995132685,2869.1083673970697
GSM5519488,D529409,NL,nCount_RNA,3364,1787.6846761107442,204.9285986525418,1172.8988801531189,2402.4704720683694
GSM5519491,P190902,IT,nCount_RNA,66,1472.2034746408463,173.80246881394368,950.7960681990153,1993.6108810826772
GSM5519494,P190910,IT,nCount_RNA,2693,2673.3448212146754,295.8216475685828,1785.879878508927,3560.809763920424
GSM5519495,P190808,IT,nCount_RNA,5168,2605.665886104107,247.14457669615743,1864.2321560156347,3347.099616192579
GSM5519496,P190801,IA,nCount_RNA,6069,2389.8941411972046,277.4863256160736,1557.4351643489838,3222.3531180454256
GSM5519497,P190911,IA,nCount_RNA,9082,2455.1694289445877,321.82030424040556,1489.7085162233711,3420.6303416658043
GSM5519499,P191028,IA,nCount_RNA,8062,1751.5435423851013,220.65697346441726,1089.5726219918495,2413.514462778353
GSM5519502,P191112,IA,nCount_RNA,6070,2554.957207620144,305.32153736815417,1638.9925955156814,3470.9218197246064
GSM5519504,P191008,AR,nCount_RNA,10164,2156.8872796297073,325.8990292561769,1179.1901918611766,3134.584367398238
GSM5519506,P191126,AC,nCount_RNA,3293,2509.879019021988,257.83085925428867,1736.386441259122,3283.371596784854
GSM5519508,P191127,AC,nCount_RNA,6625,2556.1805632114415,245.98160583515167,1818.2357457059866,3294.1253807168964
