"Atlas_Cluster","Top20_Markers","Best_Module_Program","Best_Module_Score","Best_Top50_Program","Best_Top50_Overlap_Count","Best_Top50_Overlap_Fraction","SingleR_Label","SingleR_Delta_Next","Number_of_Donors","Dominant_Donor","Dominant_Donor_Percentage","Number_of_Samples","Dominant_Sample","Dominant_Sample_Percentage"
"0","TUBA4A, CD8A, DUSP2, NR4A2, CCL5, CD8B, CXCR4, RGS1, ZFP36, ZFP36L2, GZMK, SRSF7, YPEL5, SRGN, CREM, UBC, CRTAM, ZNF331, H3F3B, EIF1","CD8_T",0.599321969045074,"CD8_T",4,0.666666666666667,"Effector memory CD8 T cells",0.0532976688148183,20,"P190801",12.2937293729373,20,"GSM5519496",12.2937293729373
"1","PRSS23, FGFBP2, GNLY, LAIR2, GZMB, CX3CR1, ADGRG1, SPON2, FCGR3A, C1orf21, PRF1, S1PR5, GZMH, KLRF1, KLRD1, NKG7, EFHD2, CD247, CST7, C12orf75","NK",1.14079159848257,"NK",4,0.666666666666667,"Natural killer cells",0.0886184105919765,21,"Dhc570",11.4797031863815,21,"GSM5519483",11.4797031863815
"10","IGLV5-45, IGKV1-9, IGLV1-40, IGHG1, B2M, DUSP5, IL32, GAPDH, LDHA, LAG3, STAT1, GPR171, BIRC3, HSP90AA1, PSME1, FTL, MT-ATP6, SATB1, GPR35, ISG20","T_Cell",0.495376349921213,"CD4_T",2,0.4,"MAIT cells",0.122438504282067,6,"D529074",98.4320557491289,6,"GSM5519485",98.4320557491289
"11","FOXP3, CTLA4, TBC1D4, DUSP4, TNFRSF4, GK, LAYN, ICOS, TNFRSF18, CD4, BATF, GEM, ARID5B, TIGIT, CD27, SNX9, DUSP16, CORO1B, CD82, SPOCK2","Treg",0.664651470028234,"Treg",4,0.571428571428571,"T regulatory cells",0.0751000573612404,20,"P191028",31.2039312039312,20,"GSM5519499",31.2039312039312
"12","CX3CR1, FGFBP2, GNLY, FCGR3A, PRSS23, NKG7, TXNIP, MYOM2, ADGRG1, GZMB, GZMH, SPON2, IGFBP7, TMSB10, EFHD2, PLEK, CTSW, PRF1, SH3BGRL3, IFITM2","NK",1.40042220210156,"NK",4,0.666666666666667,"Natural killer cells",0.232890316239403,21,"P191008",42.3728813559322,21,"GSM5519504",42.3728813559322
"13","TRDC, FCER1G, CCL3, TYROBP, KLRF1, PTGDR, CD160, TXK, XCL1, CMC1, XCL2, KLRC1, IFITM2, GSTP1, IFITM1, CD7, IL2RB, SH2D1B, IFITM3, CLIC3","NK",1.12331026849895,"NK",4,0.666666666666667,"Natural killer cells",0.29333063312444,20,"P191210",28.9308176100629,20,"GSM5519510",28.9308176100629
"14","IGKV1-9, IGHG1, IGLV1-40, TYMS, KLRF1, GZMB, FCGR3A, GNLY, TRDC, FCER1G, CD38, TYROBP, PRF1, TRGC1, SH2D1B, KIR2DL4, NKG7, FGFBP2, TXK, SPON2","NK",1.21141377906624,"NK",4,0.666666666666667,"Natural killer cells",0.438232960363429,13,"D529074",82.6530612244898,13,"GSM5519485",82.6530612244898
"15","TNFAIP6, AQP9, EREG, C5AR1, G0S2, APOBEC3A, LIPN, IL1B, IL1RN, FCAR, CXCL3, CDC42EP2, CXCL2, FPR2, TREM1, MAFB, PAPSS2, CD300E, CXCL8, OLR1","Monocyte_Myeloid",1.79841642963441,"Monocyte_Myeloid",2,0.2,"Classical monocytes",0.14452777762094,18,"P190402",19.4244604316547,18,"GSM5519472",19.4244604316547
"16","TMEM176A, TMEM176B, S100A8, ASGR1, LMO2, RBP7, CSTA, S100A12, CDA, KCTD12, BST1, CD36, VCAN, FCN1, S100A9, CSF3R, PRAM1, CFD, HK3, CD14","Monocyte_Myeloid",2.16771516600982,"Monocyte_Myeloid",5,0.5,"Classical monocytes",0.0766070606654079,12,"P190719",89.2,12,"GSM5519477",89.2
"17","CD1E, IDO1, C1QC, RAB7B, FPR3, C1QB, C1QA, CLIC2, CLEC10A, VSIG4, FCER1A, CYP2S1, SDS, APOC1, CD1C, A2M, AXL, PKIB, FLT3, CPVL","Dendritic_Cell",2.11173925736213,"Dendritic_Cell",4,0.666666666666667,"Myeloid dendritic cells",0.0562260053762822,22,"P190402",33.0543933054393,22,"GSM5519472",33.0543933054393
"18","DPEP1, SDC1, IGHG2, IGHA2, JCHAIN, BHLHA15, IGHA1, IGHG1, IGKC, IGHG4, TNFRSF17, IGHG3, IGLV3-1, DERL3, DNAAF1, MZB1, IGKV3OR2-268, IGF1, IGLL5, AL133467.1","Plasma_Cell",1.75762367570483,"Plasma_Cell",8,1,"Plasmablasts",0.0661175193288407,16,"D529074",37.1794871794872,16,"GSM5519485",37.1794871794872
"19","LRRC26, CUX2, AC097375.1, SCT, KCNK17, KRT5, PTCRA, LILRA4, CLEC4C, LAMP5, SHD, ASIP, PTPRS, PLVAP, SERPINF1, DRD4, SCN9A, CYYR1, P3H2, AC023590.1","pDC",1.94325137154013,"pDC",3,0.6,"Plasmacytoid dendritic cells",0.122929172923676,18,"P190808",16.6666666666667,18,"GSM5519495",16.6666666666667
