"Atlas_Cluster","Donor","Cells"
"0","D528848",263
"0","D529074",27
"0","D529351",2
"0","D529354",30
"0","D529409",11
"0","Dhc570",73
"0","P190326",28
"0","P190402",343
"0","P190604",126
"0","P190716",217
"0","P190801",447
"0","P190808",280
"0","P190910",101
"0","P190911",388
"0","P191008",2
"0","P191028",120
"0","P191112",338
"0","P191126",162
"0","P191127",447
"0","P191217",231
"1","D528848",190
"1","D529074",24
"1","D529351",29
"1","D529354",79
"1","D529409",176
"1","Dhc570",263
"1","P190326",137
"1","P190402",176
"1","P190604",108
"1","P190716",100
"1","P190801",194
"1","P190808",164
"1","P190902",2
"1","P190910",57
"1","P190911",48
"1","P191008",1
"1","P191028",78
"1","P191112",136
"1","P191126",86
"1","P191127",173
"1","P191217",70
"10","D528848",4
"10","D529074",565
"10","D529409",1
"10","P190801",2
"10","P190808",1
"10","P191217",1
"11","D528848",3
"11","D529074",4
"11","D529354",3
"11","D529409",4
"11","Dhc570",1
"11","P190326",4
"11","P190402",34
"11","P190604",15
"11","P190716",6
"11","P190801",30
"11","P190808",23
"11","P190902",3
"11","P190910",16
"11","P190911",69
"11","P191008",3
"11","P191028",127
"11","P191112",17
"11","P191126",6
"11","P191127",6
"11","P191217",33
"12","D528848",6
"12","D529074",6
"12","D529351",1
"12","D529354",2
"12","D529409",1
"12","Dhc570",17
"12","P190326",2
"12","P190402",2
"12","P190604",9
"12","P190716",1
"12","P190719",87
"12","P190801",4
"12","P190808",1
"12","P190910",1
"12","P190911",2
"12","P191008",150
"12","P191028",1
"12","P191112",5
"12","P191127",7
"12","P191210",46
"12","P191217",3
"13","D528848",21
"13","D529074",4
"13","D529351",6
"13","D529354",3
"13","D529409",5
"13","Dhc570",37
"13","P190402",1
"13","P190604",3
"13","P190719",9
"13","P190801",2
"13","P190808",2
"13","P190910",4
"13","P190911",11
"13","P191008",88
"13","P191028",4
"13","P191112",8
"13","P191126",7
"13","P191127",8
"13","P191210",92
"13","P191217",3
"14","D529074",243
"14","D529351",1
"14","D529354",22
"14","D529409",1
"14","Dhc570",1
"14","P190402",5
"14","P190604",2
"14","P190716",1
"14","P190801",1
"14","P190808",7
"14","P191028",1
"14","P191112",7
"14","P191127",2
"15","D528848",15
"15","D529074",3
"15","D529351",6
"15","D529354",10
"15","D529409",11
"15","Dhc570",12
"15","P190326",1
"15","P190402",54
"15","P190604",25
"15","P190716",9
"15","P190801",3
"15","P190808",20
"15","P190910",16
"15","P190911",1
"15","P191112",30
"15","P191126",11
"15","P191127",23
"15","P191217",28
"16","D528848",2
"16","D529074",3
"16","D529354",3
"16","D529409",1
"16","Dhc570",1
"16","P190402",2
"16","P190719",223
"16","P190910",1
"16","P191112",2
"16","P191127",1
"16","P191210",8
"16","P191217",3
"17","D528848",4
"17","D529074",2
"17","D529351",1
"17","D529354",9
"17","D529409",5
"17","Dhc570",2
"17","P190326",3
"17","P190402",79
"17","P190604",17
"17","P190716",4
"17","P190719",2
"17","P190801",3
"17","P190808",7
"17","P190902",3
"17","P190910",33
"17","P190911",6
"17","P191008",2
"17","P191112",8
"17","P191126",10
"17","P191127",15
"17","P191210",6
"17","P191217",18
"18","D529074",58
"18","D529351",5
"18","D529354",2
"18","D529409",32
"18","Dhc570",1
"18","P190402",9
"18","P190604",5
"18","P190719",11
"18","P190808",6
"18","P190910",7
"18","P191008",1
"18","P191112",1
"18","P191126",4
"18","P191127",8
"18","P191210",2
"18","P191217",4
"19","D529074",2
"19","D529351",2
"19","D529354",5
"19","P190326",6
"19","P190402",10
"19","P190604",7
"19","P190719",2
"19","P190801",3
"19","P190808",18
"19","P190910",1
"19","P190911",2
"19","P191008",7
"19","P191028",2
"19","P191112",12
"19","P191126",12
"19","P191127",10
"19","P191210",3
"19","P191217",4
"2","D528848",114
"2","D529074",42
"2","D529351",6
"2","D529354",46
"2","D529409",13
"2","Dhc570",81
"2","P190326",31
"2","P190402",133
"2","P190604",99
"2","P190716",68
"2","P190801",105
"2","P190808",178
"2","P190902",1
"2","P190910",34
"2","P190911",363
"2","P191008",4
"2","P191028",163
"2","P191112",129
"2","P191126",112
"2","P191127",131
"2","P191217",63
"3","D528848",98
"3","D529074",17
"3","D529351",26
"3","D529354",417
"3","D529409",129
"3","Dhc570",123
"3","P190326",8
"3","P190402",214
"3","P190604",69
"3","P190716",74
"3","P190801",79
"3","P190808",49
"3","P190902",10
"3","P190910",36
"3","P190911",90
"3","P191028",71
"3","P191112",143
"3","P191126",39
"3","P191127",108
"3","P191217",74
"4","D528848",4
"4","D529074",15
"4","D529354",14
"4","D529409",6
"4","Dhc570",8
"4","P190326",3
"4","P190402",12
"4","P190604",11
"4","P190716",13
"4","P190719",8
"4","P190801",27
"4","P190808",21
"4","P190910",4
"4","P190911",47
"4","P191008",1127
"4","P191028",21
"4","P191112",30
"4","P191126",19
"4","P191127",19
"4","P191210",232
"4","P191217",22
"5","D528848",78
"5","D529074",14
"5","D529351",49
"5","D529354",104
"5","D529409",77
"5","Dhc570",56
"5","P190326",33
"5","P190402",109
"5","P190604",27
"5","P190716",59
"5","P190801",115
"5","P190808",96
"5","P190910",136
"5","P190911",123
"5","P191028",157
"5","P191112",58
"5","P191126",61
"5","P191127",122
"5","P191217",43
"6","D528848",16
"6","D529074",34
"6","D529351",6
"6","D529354",78
"6","D529409",11
"6","Dhc570",80
"6","P190326",2
"6","P190402",37
"6","P190604",20
"6","P190716",11
"6","P190719",123
"6","P190801",24
"6","P190808",15
"6","P190910",4
"6","P190911",44
"6","P191008",462
"6","P191028",14
"6","P191112",36
"6","P191126",16
"6","P191127",27
"6","P191210",143
"6","P191217",21
"7","D528848",13
"7","D529074",15
"7","D529354",1
"7","D529409",1
"7","Dhc570",1
"7","P190402",48
"7","P190604",7
"7","P190716",55
"7","P190801",49
"7","P190808",21
"7","P190910",52
"7","P190911",378
"7","P191028",181
"7","P191112",105
"7","P191126",41
"7","P191127",44
"7","P191217",118
"8","D528848",9
"8","D529074",14
"8","D529351",3
"8","D529354",142
"8","D529409",132
"8","Dhc570",3
"8","P190326",11
"8","P190402",12
"8","P190604",9
"8","P190716",17
"8","P190801",31
"8","P190808",25
"8","P190902",13
"8","P190911",37
"8","P191028",525
"8","P191112",13
"8","P191126",10
"8","P191127",26
"8","P191217",21
"9","D528848",48
"9","D529074",20
"9","D529351",3
"9","D529354",9
"9","D529409",20
"9","Dhc570",38
"9","P190326",4
"9","P190402",43
"9","P190604",26
"9","P190716",19
