"Atlas_Cluster","Phase","Cells"
"0","AC",609
"0","AR",450
"0","IA",1293
"0","IT",878
"0","NL",406
"1","AC",259
"1","AR",171
"1","IA",456
"1","IT",644
"1","NL",761
"10","AR",1
"10","IA",2
"10","IT",1
"10","NL",570
"11","AC",12
"11","AR",42
"11","IA",243
"11","IT",95
"11","NL",15
"12","AC",53
"12","AR",154
"12","IA",99
"12","IT",15
"12","NL",33
"13","AC",107
"13","AR",91
"13","IA",34
"13","IT",10
"13","NL",76
"14","AC",2
"14","AR",1
"14","IA",9
"14","IT",14
"14","NL",268
"15","AC",34
"15","AR",37
"15","IA",34
"15","IT",116
"15","NL",57
"16","AC",9
"16","AR",3
"16","IA",225
"16","IT",3
"16","NL",10
"17","AC",31
"17","AR",24
"17","IA",19
"17","IT",142
"17","NL",23
"18","AC",14
"18","AR",5
"18","IA",12
"18","IT",27
"18","NL",98
"19","AC",25
"19","AR",11
"19","IA",21
"19","IT",42
"19","NL",9
"2","AC",243
"2","AR",135
"2","IA",760
"2","IT",476
"2","NL",302
"3","AC",147
"3","AR",148
"3","IA",383
"3","IT",386
"3","NL",810
"4","AC",270
"4","AR",1162
"4","IA",133
"4","IT",51
"4","NL",47
"5","AC",183
"5","AR",102
"5","IA",453
"5","IT",401
"5","NL",378
"6","AC",186
"6","AR",494
"6","IA",241
"6","IT",78
"6","NL",225
"7","AC",85
"7","AR",173
"7","IA",713
"7","IT",128
"7","NL",31
"8","AC",36
"8","AR",38
"8","IA",606
"8","IT",70
"8","NL",303
"9","AC",108
"9","AR",71
"9","IA",284
"9","IT",117
"9","NL",138
