"Atlas_Cluster","Phase","Cells","Proportion_Within_Cluster"
"0","AC",609,0.167491749174917
"0","AR",450,0.123762376237624
"0","IA",1293,0.355610561056106
"0","IT",878,0.241474147414741
"0","NL",406,0.111661166116612
"1","AC",259,0.113051069402008
"1","AR",171,0.0746398952422523
"1","IA",456,0.199039720646006
"1","IT",644,0.281099956350938
"1","NL",761,0.332169358358795
"10","AR",1,0.00174216027874564
"10","IA",2,0.00348432055749129
"10","IT",1,0.00174216027874564
"10","NL",570,0.993031358885017
"11","AC",12,0.0294840294840295
"11","AR",42,0.103194103194103
"11","IA",243,0.597051597051597
"11","IT",95,0.233415233415233
"11","NL",15,0.0368550368550369
"12","AC",53,0.149717514124294
"12","AR",154,0.435028248587571
"12","IA",99,0.279661016949153
"12","IT",15,0.0423728813559322
"12","NL",33,0.0932203389830508
"13","AC",107,0.336477987421384
"13","AR",91,0.286163522012579
"13","IA",34,0.106918238993711
"13","IT",10,0.0314465408805031
"13","NL",76,0.238993710691824
"14","AC",2,0.00680272108843537
"14","AR",1,0.00340136054421769
"14","IA",9,0.0306122448979592
"14","IT",14,0.0476190476190476
"14","NL",268,0.91156462585034
"15","AC",34,0.122302158273381
"15","AR",37,0.133093525179856
"15","IA",34,0.122302158273381
"15","IT",116,0.41726618705036
"15","NL",57,0.205035971223022
"16","AC",9,0.036
"16","AR",3,0.012
"16","IA",225,0.9
"16","IT",3,0.012
"16","NL",10,0.04
"17","AC",31,0.129707112970711
"17","AR",24,0.100418410041841
"17","IA",19,0.0794979079497908
"17","IT",142,0.594142259414226
"17","NL",23,0.096234309623431
"18","AC",14,0.0897435897435897
"18","AR",5,0.032051282051282
"18","IA",12,0.0769230769230769
"18","IT",27,0.173076923076923
"18","NL",98,0.628205128205128
"19","AC",25,0.231481481481481
"19","AR",11,0.101851851851852
"19","IA",21,0.194444444444444
"19","IT",42,0.388888888888889
"19","NL",9,0.0833333333333333
"2","AC",243,0.126826722338205
"2","AR",135,0.0704592901878914
"2","IA",760,0.396659707724426
"2","IT",476,0.248434237995825
"2","NL",302,0.157620041753653
"3","AC",147,0.0784418356456777
"3","AR",148,0.0789754535752401
"3","IA",383,0.204375667022412
"3","IT",386,0.205976520811099
"3","NL",810,0.432230522945571
"4","AC",270,0.162357185808779
"4","AR",1162,0.698737221888154
"4","IA",133,0.0799759470835839
"4","IT",51,0.0306674684305472
"4","NL",47,0.0282621767889357
"5","AC",183,0.120632827949901
"5","AR",102,0.0672379696769941
"5","IA",453,0.298615688859591
"5","IT",401,0.264337508239947
"5","NL",378,0.249176005273566
"6","AC",186,0.151960784313725
"6","AR",494,0.40359477124183
"6","IA",241,0.196895424836601
"6","IT",78,0.0637254901960784
"6","NL",225,0.183823529411765
"7","AC",85,0.0752212389380531
"7","AR",173,0.153097345132743
"7","IA",713,0.630973451327434
"7","IT",128,0.113274336283186
"7","NL",31,0.0274336283185841
"8","AC",36,0.0341880341880342
"8","AR",38,0.0360873694207028
"8","IA",606,0.575498575498576
"8","IT",70,0.0664767331433998
"8","NL",303,0.287749287749288
"9","AC",108,0.15041782729805
"9","AR",71,0.0988857938718663
"9","IA",284,0.395543175487465
"9","IT",117,0.162952646239554
"9","NL",138,0.192200557103064
