"Atlas_Cluster","Phase","Cells","Proportion_Within_State"
"0","AC",609,0.252382925818483
"0","AR",450,0.135828554180501
"0","IA",1293,0.214784053156146
"0","IT",878,0.237682728749323
"0","NL",406,0.0890350877192982
"1","AC",259,0.107335267302114
"1","AR",171,0.0516148505885904
"1","IA",456,0.0757475083056478
"1","IT",644,0.174336762317271
"1","NL",761,0.166885964912281
"10","AR",1,0.000301841231512225
"10","IA",2,0.000332225913621262
"10","IT",1,0.000270709258256632
"10","NL",570,0.125
"11","AC",12,0.0049730625777041
"11","AR",42,0.0126773317235134
"11","IA",243,0.0403654485049834
"11","IT",95,0.0257173795343801
"11","NL",15,0.00328947368421053
"12","AC",53,0.0219643597181931
"12","AR",154,0.0464835496528826
"12","IA",99,0.0164451827242525
"12","IT",15,0.00406063887384949
"12","NL",33,0.00723684210526316
"13","AC",107,0.0443431413178616
"13","AR",91,0.0274675520676124
"13","IA",34,0.00564784053156146
"13","IT",10,0.00270709258256632
"13","NL",76,0.0166666666666667
"14","AC",2,0.000828843762950684
"14","AR",1,0.000301841231512225
"14","IA",9,0.00149501661129568
"14","IT",14,0.00378992961559285
"14","NL",268,0.0587719298245614
"15","AC",34,0.0140903439701616
"15","AR",37,0.0111681255659523
"15","IA",34,0.00564784053156146
"15","IT",116,0.0314022739577694
"15","NL",57,0.0125
"16","AC",9,0.00372979693327808
"16","AR",3,0.000905523694536674
"16","IA",225,0.037375415282392
"16","IT",3,0.000812127774769897
"16","NL",10,0.00219298245614035
"17","AC",31,0.0128470783257356
"17","AR",24,0.00724418955629339
"17","IA",19,0.00315614617940199
"17","IT",142,0.0384407146724418
"17","NL",23,0.00504385964912281
"18","AC",14,0.00580190634065479
"18","AR",5,0.00150920615756112
"18","IA",12,0.00199335548172757
"18","IT",27,0.00730914997292907
"18","NL",98,0.0214912280701754
"19","AC",25,0.0103605470368835
"19","AR",11,0.00332025354663447
"19","IA",21,0.00348837209302326
"19","IT",42,0.0113697888467786
"19","NL",9,0.00197368421052632
"2","AC",243,0.100704517198508
"2","AR",135,0.0407485662541503
"2","IA",760,0.12624584717608
"2","IT",476,0.128857606930157
"2","NL",302,0.0662280701754386
"3","AC",147,0.0609200165768753
"3","AR",148,0.0446725022638092
"3","IA",383,0.0636212624584718
"3","IT",386,0.10449377368706
"3","NL",810,0.177631578947368
"4","AC",270,0.111893907998342
"4","AR",1162,0.350739511017205
"4","IA",133,0.022093023255814
"4","IT",51,0.0138061721710883
"4","NL",47,0.0103070175438596
"5","AC",183,0.0758392043099876
"5","AR",102,0.0307878056142469
"5","IA",453,0.075249169435216
"5","IT",401,0.10855441256091
"5","NL",378,0.0828947368421053
"6","AC",186,0.0770824699544136
"6","AR",494,0.149109568367039
"6","IA",241,0.0400332225913621
"6","IT",78,0.0211153221440173
"6","NL",225,0.0493421052631579
"7","AC",85,0.0352258599254041
"7","AR",173,0.0522185330516148
"7","IA",713,0.11843853820598
"7","IT",128,0.0346507850568489
"7","NL",31,0.00679824561403509
"8","AC",36,0.0149191877331123
"8","AR",38,0.0114699667974645
"8","IA",606,0.100664451827243
"8","IT",70,0.0189496480779643
"8","NL",303,0.0664473684210526
"9","AC",108,0.0447575631993369
"9","AR",71,0.0214307274373679
"9","IA",284,0.0471760797342193
"9","IT",117,0.031672983216026
"9","NL",138,0.0302631578947368
