"Atlas_Cluster","GSM","Cells"
"0","GSM5519469",126
"0","GSM5519471",28
"0","GSM5519472",343
"0","GSM5519475",217
"0","GSM5519483",73
"0","GSM5519484",263
"0","GSM5519485",27
"0","GSM5519486",2
"0","GSM5519487",30
"0","GSM5519488",11
"0","GSM5519494",101
"0","GSM5519495",280
"0","GSM5519496",447
"0","GSM5519497",388
"0","GSM5519499",120
"0","GSM5519502",338
"0","GSM5519504",2
"0","GSM5519506",162
"0","GSM5519508",447
"0","GSM5519512",231
"1","GSM5519469",108
"1","GSM5519471",137
"1","GSM5519472",176
"1","GSM5519475",100
"1","GSM5519483",263
"1","GSM5519484",190
"1","GSM5519485",24
"1","GSM5519486",29
"1","GSM5519487",79
"1","GSM5519488",176
"1","GSM5519491",2
"1","GSM5519494",57
"1","GSM5519495",164
"1","GSM5519496",194
"1","GSM5519497",48
"1","GSM5519499",78
"1","GSM5519502",136
"1","GSM5519504",1
"1","GSM5519506",86
"1","GSM5519508",173
"1","GSM5519512",70
"10","GSM5519484",4
"10","GSM5519485",565
"10","GSM5519488",1
"10","GSM5519495",1
"10","GSM5519496",2
"10","GSM5519512",1
"11","GSM5519469",15
"11","GSM5519471",4
"11","GSM5519472",34
"11","GSM5519475",6
"11","GSM5519483",1
"11","GSM5519484",3
"11","GSM5519485",4
"11","GSM5519487",3
"11","GSM5519488",4
"11","GSM5519491",3
"11","GSM5519494",16
"11","GSM5519495",23
"11","GSM5519496",30
"11","GSM5519497",69
"11","GSM5519499",127
"11","GSM5519502",17
"11","GSM5519504",3
"11","GSM5519506",6
"11","GSM5519508",6
"11","GSM5519512",33
"12","GSM5519469",9
"12","GSM5519471",2
"12","GSM5519472",2
"12","GSM5519475",1
"12","GSM5519477",87
"12","GSM5519483",17
"12","GSM5519484",6
"12","GSM5519485",6
"12","GSM5519486",1
"12","GSM5519487",2
"12","GSM5519488",1
"12","GSM5519494",1
"12","GSM5519495",1
"12","GSM5519496",4
"12","GSM5519497",2
"12","GSM5519499",1
"12","GSM5519502",5
"12","GSM5519504",150
"12","GSM5519508",7
"12","GSM5519510",46
"12","GSM5519512",3
"13","GSM5519469",3
"13","GSM5519472",1
"13","GSM5519477",9
"13","GSM5519483",37
"13","GSM5519484",21
"13","GSM5519485",4
"13","GSM5519486",6
"13","GSM5519487",3
"13","GSM5519488",5
"13","GSM5519494",4
"13","GSM5519495",2
"13","GSM5519496",2
"13","GSM5519497",11
"13","GSM5519499",4
"13","GSM5519502",8
"13","GSM5519504",88
"13","GSM5519506",7
"13","GSM5519508",8
"13","GSM5519510",92
"13","GSM5519512",3
"14","GSM5519469",2
"14","GSM5519472",5
"14","GSM5519475",1
"14","GSM5519483",1
"14","GSM5519485",243
"14","GSM5519486",1
"14","GSM5519487",22
"14","GSM5519488",1
"14","GSM5519495",7
"14","GSM5519496",1
"14","GSM5519499",1
"14","GSM5519502",7
"14","GSM5519508",2
"15","GSM5519469",25
"15","GSM5519471",1
"15","GSM5519472",54
"15","GSM5519475",9
"15","GSM5519483",12
"15","GSM5519484",15
"15","GSM5519485",3
"15","GSM5519486",6
"15","GSM5519487",10
"15","GSM5519488",11
"15","GSM5519494",16
"15","GSM5519495",20
"15","GSM5519496",3
"15","GSM5519497",1
"15","GSM5519502",30
"15","GSM5519506",11
"15","GSM5519508",23
"15","GSM5519512",28
"16","GSM5519472",2
"16","GSM5519477",223
