"Atlas_Cluster","Number_of_Donors","Total_Cells","Dominant_Donor","Dominant_Donor_Cells","Dominant_Donor_Percentage"
"0",20,3636,"P190801",447,12.2937293729373
"1",21,2291,"Dhc570",263,11.4797031863815
"10",6,574,"D529074",565,98.4320557491289
"11",20,407,"P191028",127,31.2039312039312
"12",21,354,"P191008",150,42.3728813559322
"13",20,318,"P191210",92,28.9308176100629
"14",13,294,"D529074",243,82.6530612244898
"15",18,278,"P190402",54,19.4244604316547
"16",12,250,"P190719",223,89.2
"17",22,239,"P190402",79,33.0543933054393
"18",16,156,"D529074",58,37.1794871794872
"19",18,108,"P190808",18,16.6666666666667
"2",21,1916,"P190911",363,18.9457202505219
"3",20,1874,"D529354",417,22.2518676627535
"4",21,1663,"P191008",1127,67.7690920024053
"5",19,1517,"P191028",157,10.3493737640079
"6",22,1224,"P191008",462,37.7450980392157
"7",17,1130,"P190911",378,33.4513274336283
"8",19,1053,"P191028",525,49.8575498575499
"9",22,718,"P190719",106,14.7632311977716
