"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.08036344768964,0.762,0.417,0,"0","CD8A"
0,1.2735740453106,0.82,0.526,0,"0","TUBA4A"
0,0.926668411995524,0.948,0.673,0,"0","NR4A2"
0,1.01423330013821,0.976,0.751,0,"0","DUSP2"
2.84065019339008e-318,0.588086659623321,0.985,0.743,6.94595785287743e-314,"0","CCL5"
1.6206118445142e-307,1.05265367191816,0.559,0.225,3.96272008220611e-303,"0","CD8B"
5.1977598136124e-304,0.821567184419513,0.934,0.719,1.2709562296245e-299,"0","CXCR4"
4.29833615571922e-293,1.23602689567518,0.646,0.337,1.05102915679646e-288,"0","RGS1"
8.23828247659866e-281,0.759304786401534,0.961,0.786,2.01442483117791e-276,"0","ZFP36"
1.39345036410718e-280,0.772356233036708,0.955,0.803,3.40726483031488e-276,"0","ZFP36L2"
2.55277495780645e-277,0.861976412029339,0.792,0.472,6.24204532682832e-273,"0","GZMK"
1.21198584128062e-253,0.756633777971513,0.901,0.716,2.96354777909937e-249,"0","SRSF7"
9.19685711366504e-251,0.793143723700469,0.854,0.591,2.24881550143337e-246,"0","YPEL5"
4.83537793396372e-236,0.471002578334927,0.991,0.922,1.18234661241281e-231,"0","SRGN"
2.87240516310361e-233,0.683273724552619,0.925,0.702,7.02360510482094e-229,"0","CREM"
1.29166152808082e-231,0.517384446791734,0.991,0.923,3.15837076846323e-227,"0","UBC"
3.51794719484471e-231,1.33899247287162,0.343,0.121,8.60208448083427e-227,"0","CRTAM"
6.62348057862735e-230,0.799519647406393,0.784,0.492,1.61957347108596e-225,"0","ZNF331"
8.71099226643218e-216,0.4532187953915,0.997,0.968,2.130011828988e-211,"0","H3F3B"
5.89198745825491e-213,0.410439698451313,0.998,0.98,1.44070877329249e-208,"0","EIF1"
8.93128296102743e-202,1.18826459046004,0.598,0.346,2.18387730963043e-197,"0","UBE2S"
1.26319614801667e-193,0.753143081756194,0.7,0.429,3.08876722113035e-189,"0","TENT5C"
2.03692662213563e-192,0.657653539491507,0.86,0.651,4.98069297644605e-188,"0","SELENOK"
3.747029164217e-190,0.640909150436615,0.899,0.735,9.16223571234341e-186,"0","CALM2"
1.62761799577369e-176,0.680414687557718,0.783,0.548,3.97985152326584e-172,"0","FAM177A1"
3.36424767983684e-172,0.988250435097926,0.656,0.427,8.22625842673704e-168,"0","RGCC"
1.200664269862e-167,0.300608980201352,0.997,0.99,2.93586427266657e-163,"0","HLA-A"
2.22432837329888e-167,0.891799400302412,0.623,0.379,5.43892773839042e-163,"0","DUSP5"
2.23218959418066e-164,0.413607650467263,0.971,0.872,5.45814999569056e-160,"0","SARAF"
9.72719804980685e-163,0.555675519484193,0.991,0.929,2.37849446713877e-158,"0","HSPA8"
3.82572186287596e-157,0.703690723490271,0.782,0.567,9.3546550991043e-153,"0","BRD2"
1.5746311195284e-156,0.452908296847932,0.955,0.697,3.85028801347085e-152,"0","CD3E"
4.51797930359852e-156,1.22038286894212,0.38,0.181,1.10473629931591e-151,"0","FABP5"
1.81998300897631e-152,1.00274982588621,0.811,0.573,4.45022245354886e-148,"0","CCL4"
3.05630843432308e-150,1.22557285215532,0.326,0.144,7.47328538360679e-146,"0","OASL"
1.28676016430922e-148,0.58562742035351,0.774,0.54,3.1463859537689e-144,"0","LEPROTL1"
7.21991278345774e-148,0.547291550600027,0.81,0.574,1.76541307381109e-143,"0","FYN"
3.64288598487158e-146,0.423658011793306,0.98,0.905,8.90758481020799e-142,"0","CALM1"
1.10692196981489e-145,0.852463330286669,0.637,0.419,2.70664560059136e-141,"0","MYADM"
1.01803781941374e-143,1.00615503478138,0.44,0.24,2.48930607603048e-139,"0","SRRT"
9.73964418951842e-140,0.916013085904806,0.474,0.27,2.38153779722105e-135,"0","KPNA2"
1.09884246196207e-139,0.961597999426921,0.402,0.199,2.68688958798965e-135,"0","XCL1"
3.58790155079604e-138,0.597529049773147,0.719,0.498,8.77313687200648e-134,"0","PIK3R1"
1.35859261342537e-135,0.432819782127995,0.841,0.553,3.3220306583477e-131,"0","CD3D"
1.66388167588797e-131,0.807839904921364,0.392,0.192,4.06852347388127e-127,"0","LAG3"
6.47877470549e-126,0.599361700378589,0.754,0.57,1.58418999098642e-121,"0","HIST1H4C"
3.08053066177421e-125,0.756739400141795,0.565,0.359,7.53251357417029e-121,"0","IDI1"
3.16275500801343e-125,0.579042200804381,0.778,0.59,7.73356854559444e-121,"0","DDX24"
1.00059014260469e-123,1.28920265395919,0.356,0.177,2.44664301669698e-119,"0","CCL4L2"
2.1242881115003e-123,0.388567499337984,0.989,0.927,5.19430929024054e-119,"0","BTG1"
2.94392256294241e-122,0.969056236195831,0.317,0.148,7.19847945090678e-118,"0","DUSP4"
1.03045258188036e-121,0.792404752529424,0.4,0.205,2.51966265321387e-117,"0","XCL2"
3.13016825956913e-120,0.780148639744197,0.814,0.632,7.65388742829844e-116,"0","DNAJA1"
3.16005711760127e-120,0.649958768038861,0.562,0.343,7.72697166395862e-116,"0","NR4A3"
2.26940856331179e-117,0.351071691036474,0.955,0.759,5.54915781900998e-113,"0","CST7"
8.47499750399564e-117,0.749230092541071,0.798,0.593,2.07230638967701e-112,"0","DNAJB1"
5.63543632405871e-115,0.50136664536739,0.814,0.616,1.37797688995883e-110,"0","HSPA5"
2.48385500957596e-114,0.542300722810854,0.809,0.626,6.07352226941515e-110,"0","SRSF2"
5.7379145260221e-113,0.596002541211635,0.525,0.318,1.40303485990292e-108,"0","RNF19A"
5.91655824190295e-111,0.623596020303656,0.604,0.395,1.44671682131011e-106,"0","RBM38"
9.71068039499021e-111,0.467515874566922,0.968,0.86,2.37445557018301e-106,"0","UBB"
9.84273199304144e-111,1.05750013158528,0.263,0.117,2.40674482693849e-106,"0","ENC1"
3.10611395568121e-108,0.362735994346218,0.953,0.907,7.59506984443169e-104,"0","ARHGDIB"
9.9724896599271e-108,0.304246015410875,0.973,0.78,2.43847317164538e-103,"0","IL32"
6.17268879650663e-107,0.77138333746943,0.48,0.298,1.5093458645218e-102,"0","AMD1"
2.00579558941564e-105,0.675765805657123,0.561,0.365,4.90457137523912e-101,"0","GTF2B"
4.75578619624437e-105,0.435656207604159,0.674,0.452,1.16288484070567e-100,"0","COTL1"
6.73202254322188e-105,0.710156422656954,0.487,0.296,1.64611415226861e-100,"0","GABARAPL1"
1.6868449460684e-104,0.650012453420316,0.545,0.35,4.12467326212645e-100,"0","JPT1"
7.89471796615065e-103,0.583557483359618,0.581,0.377,1.93041643708316e-98,"0","ITM2A"
1.22707688347917e-100,0.677315317141543,0.439,0.254,3.00044839548327e-96,"0","SH2D1A"
3.03088107756722e-100,0.521938804881414,0.717,0.527,7.41111041086737e-96,"0","PDCD4"
2.94494406830108e-98,1.02872374506739,0.266,0.127,7.20097723580981e-94,"0","YBX3"
7.35336120689189e-95,0.808332421676546,0.299,0.149,1.7980438823092e-90,"0","PDCD1"
