"Atlas_Cluster","Number_of_Samples","Total_Cells","Dominant_Sample","Dominant_Sample_Cells","Dominant_Sample_Percentage"
"0",20,3636,"GSM5519496",447,12.2937293729373
"1",21,2291,"GSM5519483",263,11.4797031863815
"10",6,574,"GSM5519485",565,98.4320557491289
"11",20,407,"GSM5519499",127,31.2039312039312
"12",21,354,"GSM5519504",150,42.3728813559322
"13",20,318,"GSM5519510",92,28.9308176100629
"14",13,294,"GSM5519485",243,82.6530612244898
"15",18,278,"GSM5519472",54,19.4244604316547
"16",12,250,"GSM5519477",223,89.2
"17",22,239,"GSM5519472",79,33.0543933054393
"18",16,156,"GSM5519485",58,37.1794871794872
"19",18,108,"GSM5519495",18,16.6666666666667
"2",21,1916,"GSM5519497",363,18.9457202505219
"3",20,1874,"GSM5519487",417,22.2518676627535
"4",21,1663,"GSM5519504",1127,67.7690920024053
"5",19,1517,"GSM5519499",157,10.3493737640079
"6",22,1224,"GSM5519504",462,37.7450980392157
"7",17,1130,"GSM5519497",378,33.4513274336283
"8",19,1053,"GSM5519499",525,49.8575498575499
"9",22,718,"GSM5519477",106,14.7632311977716
