"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.2735740453106,0.82,0.526,0,"0","TUBA4A"
0,1.08036344768964,0.762,0.417,0,"0","CD8A"
0,1.01423330013821,0.976,0.751,0,"0","DUSP2"
0,0.926668411995524,0.948,0.673,0,"0","NR4A2"
2.84065019339008e-318,0.588086659623321,0.985,0.743,6.94595785287743e-314,"0","CCL5"
1.6206118445142e-307,1.05265367191816,0.559,0.225,3.96272008220611e-303,"0","CD8B"
5.1977598136124e-304,0.821567184419513,0.934,0.719,1.2709562296245e-299,"0","CXCR4"
4.29833615571922e-293,1.23602689567518,0.646,0.337,1.05102915679646e-288,"0","RGS1"
8.23828247659866e-281,0.759304786401534,0.961,0.786,2.01442483117791e-276,"0","ZFP36"
1.39345036410718e-280,0.772356233036708,0.955,0.803,3.40726483031488e-276,"0","ZFP36L2"
0,4.61315718480401,0.375,0.014,0,"1","PRSS23"
0,4.59301184881513,0.826,0.041,0,"1","FGFBP2"
0,3.73866575322949,0.845,0.093,0,"1","GNLY"
0,3.64102587902125,0.29,0.028,0,"1","LAIR2"
0,3.3145583743903,0.956,0.186,0,"1","GZMB"
0,3.2552425402949,0.36,0.034,0,"1","CX3CR1"
0,3.19466926280091,0.399,0.043,0,"1","ADGRG1"
0,3.06439556890605,0.616,0.129,0,"1","SPON2"
0,2.99457938396883,0.667,0.1,0,"1","FCGR3A"
0,2.90041804598377,0.349,0.054,0,"1","C1orf21"
0,5.27663771516381,0.27,0.007,0,"10","IGLV5-45"
0,1.68547085847214,0.27,0.01,0,"10","IGKV1-9"
0,1.62296379821765,0.392,0.015,0,"10","IGLV1-40"
0,1.18272649874648,0.331,0.019,0,"10","IGHG1"
5.90596406384728e-173,0.563711013457884,1,1,1.44412633289194e-168,"10","B2M"
5.52378146645728e-83,1.27599256665479,0.751,0.414,1.35067504417813e-78,"10","DUSP5"
2.00965139875651e-74,0.739077967784098,0.995,0.81,4.91399960023941e-70,"10","IL32"
9.17421000743454e-68,0.679941766307735,0.991,0.932,2.24327783101789e-63,"10","GAPDH"
3.2536508280587e-66,0.85148259141975,0.909,0.68,7.95582700476914e-62,"10","LDHA"
9.79510125451283e-65,1.40511074049988,0.516,0.22,2.39509815875348e-60,"10","LAG3"
0,6.74544483951229,0.383,0.006,0,"11","FOXP3"
0,3.80332213866546,0.565,0.06,0,"11","CTLA4"
6.53180295019356e-247,4.19895468611632,0.334,0.029,1.59715645738133e-242,"11","TBC1D4"
2.59969131146494e-221,2.7426187104218,0.735,0.168,6.35676519479408e-217,"11","DUSP4"
7.75929471175782e-194,3.60275508123507,0.543,0.101,1.89730274291902e-189,"11","TNFRSF4"
1.90532983407718e-185,3.89722561823502,0.354,0.043,4.65891251028551e-181,"11","GK"
6.13407875909832e-166,3.69063576543791,0.29,0.032,1.49990493817472e-161,"11","LAYN"
2.47150876959436e-144,2.54843258676618,0.612,0.159,6.04333324341212e-140,"11","ICOS"
4.10585383267708e-143,3.30643023703457,0.467,0.097,1.0039633791662e-138,"11","TNFRSF18"
4.52800328850221e-139,2.92489898216435,0.405,0.072,1.10718736410456e-134,"11","CD4"
0,4.19696928776618,0.599,0.062,0,"12","CX3CR1"
0,3.31953196089466,0.842,0.118,0,"12","FGFBP2"
8.41270857518101e-286,2.81592271014607,0.879,0.167,2.05707550080326e-281,"12","GNLY"
2.49440263520028e-222,2.80351975682895,0.751,0.154,6.09931332359172e-218,"12","FCGR3A"
2.98450807527217e-195,3.49784140772989,0.407,0.049,7.29771914565551e-191,"12","PRSS23"
4.15476763425659e-189,2.11729357636723,1,0.757,1.01592378192842e-184,"12","NKG7"
1.74509134350037e-168,2.42266958682653,0.856,0.291,4.2670973531271e-164,"12","TXNIP"
1.53651538127532e-166,4.13707478732004,0.282,0.027,3.75708741029442e-162,"12","MYOM2"
1.72460533978721e-160,3.09977692066459,0.466,0.077,4.21700497684768e-156,"12","ADGRG1"
5.49412755776208e-141,1.5080957965726,0.873,0.263,1.34342407042398e-136,"12","GZMB"
2.3440173519979e-294,3.74926930774004,0.714,0.1,5.73159122910527e-290,"13","TRDC"
9.73746758649947e-288,3.01770493726729,0.928,0.178,2.38100557425085e-283,"13","FCER1G"
4.72041364754141e-204,3.52959617998637,0.667,0.122,1.15423554509683e-199,"13","CCL3"
4.2611933024819e-199,2.4366236050378,0.959,0.293,1.04194698632288e-194,"13","TYROBP"
2.27704102590721e-161,2.45111951455285,0.736,0.174,5.56782071654832e-157,"13","KLRF1"
3.26608761664523e-161,3.13896030684071,0.553,0.101,7.98623744022092e-157,"13","PTGDR"
2.70682036365768e-157,2.83317164295687,0.739,0.202,6.61871715321577e-153,"13","CD160"
