"Atlas_Cluster","Best_Module_Program","Best_Module_Score","Best_Top50_Program","Best_Top50_Overlap_Count","Best_Top50_Overlap_Fraction","SingleR_Label","SingleR_Delta_Next","Number_of_Donors","Dominant_Donor","Dominant_Donor_Percentage","Number_of_Samples","Dominant_Sample","Dominant_Sample_Percentage"
"0","CD8_T",0.599321969045074,"CD8_T",4,0.666666666666667,"Effector memory CD8 T cells",0.0532976688148183,20,"P190801",12.2937293729373,20,"GSM5519496",12.2937293729373
"1","NK",1.14079159848257,"NK",4,0.666666666666667,"Natural killer cells",0.0886184105919765,21,"Dhc570",11.4797031863815,21,"GSM5519483",11.4797031863815
"10","T_Cell",0.495376349921213,"CD4_T",2,0.4,"MAIT cells",0.122438504282067,6,"D529074",98.4320557491289,6,"GSM5519485",98.4320557491289
"11","Treg",0.664651470028234,"Treg",4,0.571428571428571,"T regulatory cells",0.0751000573612404,20,"P191028",31.2039312039312,20,"GSM5519499",31.2039312039312
"12","NK",1.40042220210156,"NK",4,0.666666666666667,"Natural killer cells",0.232890316239403,21,"P191008",42.3728813559322,21,"GSM5519504",42.3728813559322
"13","NK",1.12331026849895,"NK",4,0.666666666666667,"Natural killer cells",0.29333063312444,20,"P191210",28.9308176100629,20,"GSM5519510",28.9308176100629
"14","NK",1.21141377906624,"NK",4,0.666666666666667,"Natural killer cells",0.438232960363429,13,"D529074",82.6530612244898,13,"GSM5519485",82.6530612244898
"15","Monocyte_Myeloid",1.79841642963441,"Monocyte_Myeloid",2,0.2,"Classical monocytes",0.14452777762094,18,"P190402",19.4244604316547,18,"GSM5519472",19.4244604316547
"16","Monocyte_Myeloid",2.16771516600982,"Monocyte_Myeloid",5,0.5,"Classical monocytes",0.0766070606654079,12,"P190719",89.2,12,"GSM5519477",89.2
"17","Dendritic_Cell",2.11173925736213,"Dendritic_Cell",4,0.666666666666667,"Myeloid dendritic cells",0.0562260053762822,22,"P190402",33.0543933054393,22,"GSM5519472",33.0543933054393
"18","Plasma_Cell",1.75762367570483,"Plasma_Cell",8,1,"Plasmablasts",0.0661175193288407,16,"D529074",37.1794871794872,16,"GSM5519485",37.1794871794872
"19","pDC",1.94325137154013,"pDC",3,0.6,"Plasmacytoid dendritic cells",0.122929172923676,18,"P190808",16.6666666666667,18,"GSM5519495",16.6666666666667
"2","CD4_T",0.947729393309894,"CD4_T",5,1,"Th17 cells",0.060423753350824,21,"P190911",18.9457202505219,21,"GSM5519497",18.9457202505219
"3","MAIT",0.889220144650518,"MAIT",5,0.833333333333333,"MAIT cells",0.534767575099999,20,"D529354",22.2518676627535,20,"GSM5519487",22.2518676627535
"4","CD8_T",0.967056018644768,"T_Cell",4,0.8,"Effector memory CD8 T cells",0.0940080318546745,21,"P191008",67.7690920024053,21,"GSM5519504",67.7690920024053
"5","NK",0.617837116265503,"GammaDelta_T",2,0.4,"Natural killer cells",0.292838132812598,19,"P191028",10.3493737640079,19,"GSM5519499",10.3493737640079
"6","CD4_T",0.667620711700365,"T_Cell",2,0.4,"MAIT cells",0.613989259864694,22,"P191008",37.7450980392157,22,"GSM5519504",37.7450980392157
"7","CD8_T",0.567853354253944,"CD8_T",1,0.166666666666667,"Effector memory CD8 T cells",0.109776558591962,17,"P190911",33.4513274336283,17,"GSM5519497",33.4513274336283
"8","CD8_T",0.634827069777597,"CD8_T",4,0.666666666666667,"Effector memory CD8 T cells",0.0717455129763545,19,"P191028",49.8575498575499,19,"GSM5519499",49.8575498575499
"9","B_Cell",2.59729178692883,"B_Cell",6,1,"Exhausted B cells",0.00221034985972324,22,"P190719",14.7632311977716,22,"GSM5519477",14.7632311977716
