"Atlas_Cluster","Final_Cell_Type","Annotation_Confidence","Cells"
"0","CD8_T","High",3636
"1","NK","High",2291
"10","Unresolved_Lymphoid","Low",574
"11","Treg","High",407
"12","NK","High",354
"13","NK","Moderate",318
"14","NK","High",294
"15","Monocyte_Myeloid","High",278
"16","Monocyte_Myeloid","High",250
"17","Dendritic_Cell","High",239
"18","Plasma_Cell","High",156
"19","pDC","High",108
"2","CD4_T","High",1916
"3","MAIT","High",1874
"4","CD8_T","High",1663
"5","NK","High",1517
"6","MAIT","Moderate",1224
"7","CD8_T","Moderate",1130
"8","CD8_T","High",1053
"9","B_Cell","High",718
