"Cluster","Program","Program_Genes_Present","Top50_Genes","Overlap_Genes","Overlap_Count","Program_Genes_Count","Overlap_Fraction"
"0","T_Cell","CD3D, CD3E, CD3G, TRBC1, TRBC2","TUBA4A, CD8A, DUSP2, NR4A2, CCL5, CD8B, CXCR4, RGS1, ZFP36, ZFP36L2, GZMK, SRSF7, YPEL5, SRGN, CREM, UBC, CRTAM, ZNF331, H3F3B, EIF1, UBE2S, TENT5C, SELENOK, CALM2, FAM177A1, RGCC, HLA-A, DUSP5, SARAF, HSPA8, BRD2, CD3E, FABP5, CCL4, OASL, LEPROTL1, FYN, CALM1, MYADM, SRRT, KPNA2, XCL1, PIK3R1, CD3D, LAG3, HIST1H4C, IDI1, DDX24, CCL4L2, BTG1","CD3E, CD3D",2,5,0.4
"0","CD8_T","CD8A, CD8B, CD3D, CD3E, TRBC1, TRBC2","TUBA4A, CD8A, DUSP2, NR4A2, CCL5, CD8B, CXCR4, RGS1, ZFP36, ZFP36L2, GZMK, SRSF7, YPEL5, SRGN, CREM, UBC, CRTAM, ZNF331, H3F3B, EIF1, UBE2S, TENT5C, SELENOK, CALM2, FAM177A1, RGCC, HLA-A, DUSP5, SARAF, HSPA8, BRD2, CD3E, FABP5, CCL4, OASL, LEPROTL1, FYN, CALM1, MYADM, SRRT, KPNA2, XCL1, PIK3R1, CD3D, LAG3, HIST1H4C, IDI1, DDX24, CCL4L2, BTG1","CD8A, CD8B, CD3E, CD3D",4,6,0.666666666666667
"0","CD4_T","CD4, IL7R, LTB, CCR7, SELL","TUBA4A, CD8A, DUSP2, NR4A2, CCL5, CD8B, CXCR4, RGS1, ZFP36, ZFP36L2, GZMK, SRSF7, YPEL5, SRGN, CREM, UBC, CRTAM, ZNF331, H3F3B, EIF1, UBE2S, TENT5C, SELENOK, CALM2, FAM177A1, RGCC, HLA-A, DUSP5, SARAF, HSPA8, BRD2, CD3E, FABP5, CCL4, OASL, LEPROTL1, FYN, CALM1, MYADM, SRRT, KPNA2, XCL1, PIK3R1, CD3D, LAG3, HIST1H4C, IDI1, DDX24, CCL4L2, BTG1","",0,5,0
"0","Treg","FOXP3, IL7R, CTLA4, IL2RA, TNFRSF18, TNFRSF4, CCR8","TUBA4A, CD8A, DUSP2, NR4A2, CCL5, CD8B, CXCR4, RGS1, ZFP36, ZFP36L2, GZMK, SRSF7, YPEL5, SRGN, CREM, UBC, CRTAM, ZNF331, H3F3B, EIF1, UBE2S, TENT5C, SELENOK, CALM2, FAM177A1, RGCC, HLA-A, DUSP5, SARAF, HSPA8, BRD2, CD3E, FABP5, CCL4, OASL, LEPROTL1, FYN, CALM1, MYADM, SRRT, KPNA2, XCL1, PIK3R1, CD3D, LAG3, HIST1H4C, IDI1, DDX24, CCL4L2, BTG1","",0,7,0
"0","NK","NKG7, GNLY, FCGR3A, KLRD1, XCL1, XCL2","TUBA4A, CD8A, DUSP2, NR4A2, CCL5, CD8B, CXCR4, RGS1, ZFP36, ZFP36L2, GZMK, SRSF7, YPEL5, SRGN, CREM, UBC, CRTAM, ZNF331, H3F3B, EIF1, UBE2S, TENT5C, SELENOK, CALM2, FAM177A1, RGCC, HLA-A, DUSP5, SARAF, HSPA8, BRD2, CD3E, FABP5, CCL4, OASL, LEPROTL1, FYN, CALM1, MYADM, SRRT, KPNA2, XCL1, PIK3R1, CD3D, LAG3, HIST1H4C, IDI1, DDX24, CCL4L2, BTG1","XCL1",1,6,0.166666666666667
"0","MAIT","TRAV1-2, SLC4A10, KLRB1, IL23R, CCL20, DPP4","TUBA4A, CD8A, DUSP2, NR4A2, CCL5, CD8B, CXCR4, RGS1, ZFP36, ZFP36L2, GZMK, SRSF7, YPEL5, SRGN, CREM, UBC, CRTAM, ZNF331, H3F3B, EIF1, UBE2S, TENT5C, SELENOK, CALM2, FAM177A1, RGCC, HLA-A, DUSP5, SARAF, HSPA8, BRD2, CD3E, FABP5, CCL4, OASL, LEPROTL1, FYN, CALM1, MYADM, SRRT, KPNA2, XCL1, PIK3R1, CD3D, LAG3, HIST1H4C, IDI1, DDX24, CCL4L2, BTG1","",0,6,0
"0","GammaDelta_T","TRDC, TRGC1, TRGC2, CD3D, CD3E","TUBA4A, CD8A, DUSP2, NR4A2, CCL5, CD8B, CXCR4, RGS1, ZFP36, ZFP36L2, GZMK, SRSF7, YPEL5, SRGN, CREM, UBC, CRTAM, ZNF331, H3F3B, EIF1, UBE2S, TENT5C, SELENOK, CALM2, FAM177A1, RGCC, HLA-A, DUSP5, SARAF, HSPA8, BRD2, CD3E, FABP5, CCL4, OASL, LEPROTL1, FYN, CALM1, MYADM, SRRT, KPNA2, XCL1, PIK3R1, CD3D, LAG3, HIST1H4C, IDI1, DDX24, CCL4L2, BTG1","CD3E, CD3D",2,5,0.4
"0","B_Cell","CD19, MS4A1, CD79A, CD74, HLA-DRA, CD22","TUBA4A, CD8A, DUSP2, NR4A2, CCL5, CD8B, CXCR4, RGS1, ZFP36, ZFP36L2, GZMK, SRSF7, YPEL5, SRGN, CREM, UBC, CRTAM, ZNF331, H3F3B, EIF1, UBE2S, TENT5C, SELENOK, CALM2, FAM177A1, RGCC, HLA-A, DUSP5, SARAF, HSPA8, BRD2, CD3E, FABP5, CCL4, OASL, LEPROTL1, FYN, CALM1, MYADM, SRRT, KPNA2, XCL1, PIK3R1, CD3D, LAG3, HIST1H4C, IDI1, DDX24, CCL4L2, BTG1","",0,6,0
"0","Plasma_Cell","MZB1, JCHAIN, SDC1, TNFRSF17, DERL3, IGHG1, IGHG3, IGHG4","TUBA4A, CD8A, DUSP2, NR4A2, CCL5, CD8B, CXCR4, RGS1, ZFP36, ZFP36L2, GZMK, SRSF7, YPEL5, SRGN, CREM, UBC, CRTAM, ZNF331, H3F3B, EIF1, UBE2S, TENT5C, SELENOK, CALM2, FAM177A1, RGCC, HLA-A, DUSP5, SARAF, HSPA8, BRD2, CD3E, FABP5, CCL4, OASL, LEPROTL1, FYN, CALM1, MYADM, SRRT, KPNA2, XCL1, PIK3R1, CD3D, LAG3, HIST1H4C, IDI1, DDX24, CCL4L2, BTG1","",0,8,0
"0","Monocyte_Myeloid","LYZ, S100A8, S100A9, CTSS, FCN1, CTSD, LGALS3, FCGR3A, CD14, TREM1","TUBA4A, CD8A, DUSP2, NR4A2, CCL5, CD8B, CXCR4, RGS1, ZFP36, ZFP36L2, GZMK, SRSF7, YPEL5, SRGN, CREM, UBC, CRTAM, ZNF331, H3F3B, EIF1, UBE2S, TENT5C, SELENOK, CALM2, FAM177A1, RGCC, HLA-A, DUSP5, SARAF, HSPA8, BRD2, CD3E, FABP5, CCL4, OASL, LEPROTL1, FYN, CALM1, MYADM, SRRT, KPNA2, XCL1, PIK3R1, CD3D, LAG3, HIST1H4C, IDI1, DDX24, CCL4L2, BTG1","",0,10,0
