Program,Gene
T_Cell,CD3D
T_Cell,CD3E
T_Cell,CD3G
T_Cell,TRBC1
T_Cell,TRBC2
CD8_T,CD8A
CD8_T,CD8B
CD8_T,CD3D
CD8_T,CD3E
CD8_T,TRBC1
CD8_T,TRBC2
CD4_T,CD4
CD4_T,IL7R
CD4_T,LTB
CD4_T,CCR7
CD4_T,SELL
Treg,FOXP3
Treg,IL2RA
Treg,CTLA4
Treg,TNFRSF18
Treg,TNFRSF4
Treg,CCR8
NK,NKG7
NK,GNLY
NK,KLRD1
NK,FCGR3A
NK,XCL1
NK,XCL2
NK,FGFBP2
MAIT,TRAV1-2
MAIT,SLC4A10
MAIT,KLRB1
MAIT,IL23R
MAIT,CCL20
MAIT,DPP4
GammaDelta_T,TRDC
GammaDelta_T,TRGC1
GammaDelta_T,TRGC2
GammaDelta_T,CD3D
GammaDelta_T,CD3E
B_Cell,CD19
B_Cell,MS4A1
B_Cell,CD79A
B_Cell,CD74
B_Cell,HLA-DRA
B_Cell,CD22
Plasma_Cell,MZB1
Plasma_Cell,JCHAIN
Plasma_Cell,SDC1
Plasma_Cell,TNFRSF17
Plasma_Cell,DERL3
Plasma_Cell,IGHG1
Plasma_Cell,IGHG3
Plasma_Cell,IGHG4
Monocyte_Myeloid,LYZ
Monocyte_Myeloid,S100A8
Monocyte_Myeloid,S100A9
Monocyte_Myeloid,FCN1
Monocyte_Myeloid,CD14
Monocyte_Myeloid,CTSS
Monocyte_Myeloid,CTSD
Monocyte_Myeloid,LGALS3
Monocyte_Myeloid,TREM1
Macrophage,LYZ
Macrophage,C1QA
Macrophage,C1QB
Macrophage,C1QC
Macrophage,APOE
Macrophage,TREM2
Macrophage,CD68
Macrophage,MSR1
Dendritic_Cell,FCER1A
Dendritic_Cell,CST3
Dendritic_Cell,CLEC10A
Dendritic_Cell,CD1C
Dendritic_Cell,HLA-DRA
Dendritic_Cell,FCER1G
pDC,GZMB
pDC,CLEC4C
pDC,IRF7
pDC,TCF4
pDC,LILRA4
pDC,PTCRA
