p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,Marker_Rank
0,1.11423906646483,0.722,0.337,0,0,RGS1,1
0,0.9574065268942111,0.824,0.425,0,0,CD8A,2
1.0326e-320,0.8428879221182175,0.863,0.534,1.9541902e-316,0,TUBA4A,3
1.5454871043648282e-287,1.147075869354064,0.587,0.232,2.9248343450104374e-283,0,CD8B,4
6.149131179467373e-270,0.5168100916165304,0.992,0.759,1.1637230757142003e-265,0,DUSP2,5
3.7388710809209642e-252,0.5491944327128997,0.987,0.72,7.075813520642925e-248,0,CXCR4,6
2.6941310590809303e-233,0.7031881983473056,0.865,0.548,5.098643029310661e-229,0,FAM177A1,7
1.5384837598258432e-206,0.5168898651734137,0.967,0.704,2.911580515470408e-202,0,CREM,8
3.039178393831303e-193,0.69528136352735,0.813,0.485,5.7516451103257406e-189,0,GZMK,9
1.3252450471455662e-190,0.7182338445541294,0.751,0.437,2.508026251722984e-186,0,TENT5C,10
0,4.401589604767123,0.779,0.04,0,1,FGFBP2,1
0,4.270220478102333,0.337,0.017,0,1,PRSS23,2
0,3.585605170253319,0.824,0.087,0,1,GNLY,3
0,3.464817630016265,0.277,0.028,0,1,LAIR2,4
0,3.1166516893296317,0.32,0.035,0,1,CX3CR1,5
0,3.079983641768939,0.365,0.043,0,1,ADGRG1,6
0,2.9703461131084197,0.643,0.091,0,1,FCGR3A,7
0,2.852047760294237,0.913,0.177,0,1,GZMB,8
0,2.7995307642682032,0.329,0.051,0,1,C1orf21,9
0,2.5462961143111573,0.591,0.127,0,1,SPON2,10
1.2037527766623123e-280,1.4046771122933648,0.914,0.497,2.278102129833426e-276,10,KLRB1,1
4.516606466075361e-217,0.7735534511035631,0.968,0.78,8.54767773704762e-213,10,S100A4,2
4.469233818497873e-197,3.45765470670543,0.28,0.043,8.458025001507225e-193,10,CCL20,3
2.6291364370725925e-195,2.54753038345823,0.406,0.091,4.9756407071598813e-191,10,TRAV1-2,4
2.516723385596882e-190,1.5982583702395132,0.747,0.322,4.762899007242099e-186,10,IL7R,5
4.0186804567364355e-167,2.9485838373405517,0.308,0.062,7.605352764373705e-163,10,SLC4A10,6
4.1638466397405416e-167,0.47153746373995675,0.982,0.938,7.880079765708975e-163,10,BTG1,7
9.806816282873371e-147,0.3222514122574225,0.992,0.987,1.8559399815337855e-142,10,PTMA,8
1.8402674804549603e-143,0.2764484549277304,1,0.997,3.482706206761012e-139,10,EEF1A1,9
1.0709320222055338e-138,0.28098915147507775,0.994,0.991,2.0267388520239727e-134,10,HLA-C,10
0,15.530622763111007,0.277,0,0,11,RBP7,1
0,12.496693677652503,0.329,0,0,11,CD300E,2
0,12.445019985247109,0.284,0,0,11,HNMT,3
0,12.26162630219387,0.326,0,0,11,LILRA2,4
0,12.103574554099778,0.25,0,0,11,AC020656.1,5
0,11.132346440143213,0.725,0.001,0,11,FCN1,6
0,11.052437556576836,0.711,0,0,11,CSTA,7
0,10.668445744125853,0.574,0,0,11,FPR1,8
0,10.436803785159368,0.485,0,0,11,SMIM25,9
0,10.346865407994807,0.452,0.001,0,11,S100A12,10
0,9.553005836149143,0.432,0.001,0,12,FCER2,1
0,9.526385710342002,0.405,0.001,0,12,VPREB3,2
0,9.093087887411187,0.435,0.001,0,12,LINC00926,3
0,9.024620665414076,0.299,0.001,0,12,FCRL1,4
0,8.824515529892397,0.484,0.002,0,12,FCRLA,5
0,8.733407620165384,0.329,0.001,0,12,LINC02397,6
0,8.701712668786826,0.288,0.001,0,12,CD24,7
0,8.611358570344056,0.288,0.001,0,12,CD22,8
0,8.57611995377948,0.278,0.001,0,12,TCL1A,9
0,8.300916129692613,0.414,0.002,0,12,CD19,10
0,3.8639058499910237,0.628,0.061,0,13,CX3CR1,1
0,3.1838895774526437,0.86,0.119,0,13,FGFBP2,2
5.2151213510738065e-282,2.82536224777946,0.916,0.166,9.869617156907179e-278,13,GNLY,3
9.138983497797148e-212,4.295309143683516,0.333,0.025,1.7295526269581103e-207,13,MYOM2,4
3.796595352930366e-192,2.728956132435299,0.737,0.149,7.185056705420717e-188,13,FCGR3A,5
5.609208392535286e-188,3.9844875381072793,0.368,0.035,1.0615426882873028e-183,13,IGFBP7,6
1.3014938633296225e-165,2.091491145819175,0.923,0.257,2.4630771363513108e-161,13,GZMB,7
6.550991027877946e-160,3.3149552472254236,0.411,0.05,1.2397750520259012e-155,13,PRSS23,8
1.7549880849146993e-142,2.541852727632323,0.695,0.176,3.321314950701068e-138,13,SPON2,9
1.9439674285590978e-140,1.057030686528964,1,0.761,3.6789583585480924e-136,13,NKG7,10
4.5234417700632245e-213,3.3546027141168056,0.64,0.095,8.560613549844652e-209,14,TRDC,1
4.811552681767548e-196,2.667004468612682,0.813,0.171,9.105863450245084e-192,14,FCER1G,2
8.812197360472219e-149,2.060370399432011,0.895,0.29,1.6677083504693675e-144,14,TYROBP,3
6.16652627924017e-140,2.446701374310221,0.742,0.2,1.1670150983462023e-135,14,CD160,4
3.911587939289217e-127,2.6944209786311974,0.573,0.115,7.402680175104843e-123,14,CCL3,5
2.032644762224085e-105,1.9364312386529934,0.809,0.307,3.846780212509081e-101,14,CMC1,6
9.194051659776319e-94,2.6253865952013777,0.476,0.104,1.7399742766126684e-89,14,PTGDR,7
1.6341940582084264e-87,0.9138685119590169,0.97,0.784,3.0927122551594467e-83,14,IFITM2,8
5.37220353633194e-81,2.0423188059200994,0.596,0.174,1.0166895192508197e-76,14,KLRF1,9
7.247681395793871e-78,1.2813004687922902,0.861,0.575,1.3716237041539902e-73,14,GSTP1,10
0,15.420925298298132,0.297,0,0,15,DPEP1,1
0,11.796903985837087,0.56,0,0,15,SDC1,2
0,9.254446785220148,0.303,0.001,0,15,IGF1,3
0,9.01180817148303,0.766,0.001,0,15,TNFRSF17,4
0,8.879289857737788,0.251,0.001,0,15,IGKV3OR2-268,5
0,8.451369384232112,0.337,0.002,0,15,IGHG4,6
0,8.25979932768843,0.977,0.007,0,15,DERL3,7
0,8.145501637317341,0.257,0.001,0,15,AC104699.1,8
0,7.88601112478398,0.354,0.001,0,15,AC012236.1,9
