seurat_clusters,Phase,Cells,Proportion,Percent
0,AC,513,0.17082917082917082,17.08291708291708
0,AR,402,0.13386613386613386,13.386613386613385
0,IA,888,0.2957042957042957,29.570429570429567
0,IT,644,0.21445221445221446,21.445221445221446
0,NL,556,0.18514818514818515,18.514818514818515
1,AC,253,0.1043298969072165,10.43298969072165
1,AR,176,0.07257731958762886,7.257731958762887
1,IA,451,0.18597938144329898,18.5979381443299
1,IT,619,0.2552577319587629,25.52577319587629
1,NL,926,0.3818556701030928,38.18556701030928
2,AC,228,0.10224215246636771,10.22421524663677
2,AR,144,0.06457399103139014,6.457399103139013
2,IA,921,0.41300448430493275,41.300448430493276
2,IT,548,0.24573991031390136,24.573991031390136
2,NL,389,0.17443946188340806,17.443946188340806
3,AC,290,0.1555793991416309,15.557939914163091
3,AR,1295,0.6947424892703863,69.47424892703863
3,IA,158,0.08476394849785408,8.47639484978541
3,IT,64,0.034334763948497854,3.4334763948497855
3,NL,57,0.0305793991416309,3.0579399141630903
4,AC,169,0.10764331210191083,10.764331210191083
4,AR,84,0.0535031847133758,5.35031847133758
4,IA,418,0.2662420382165605,26.62420382165605
4,IT,399,0.25414012738853503,25.414012738853504
4,NL,500,0.3184713375796178,31.84713375796178
5,AC,192,0.12524461839530332,12.524461839530332
5,AR,176,0.11480756686236138,11.480756686236138
5,IA,326,0.2126549249836921,21.26549249836921
5,IT,444,0.2896281800391389,28.962818003913892
5,NL,395,0.2576647097195042,25.766470971950422
6,AC,23,0.016594516594516596,1.6594516594516595
6,AR,35,0.025252525252525252,2.525252525252525
6,IA,957,0.6904761904761905,69.04761904761905
6,IT,46,0.03318903318903319,3.318903318903319
6,NL,325,0.2344877344877345,23.448773448773448
7,AC,107,0.08872305140961857,8.872305140961858
7,AR,216,0.1791044776119403,17.91044776119403
7,IA,641,0.5315091210613598,53.15091210613598
7,IT,205,0.16998341625207297,16.998341625207296
7,NL,37,0.03067993366500829,3.067993366500829
8,AC,160,0.16096579476861167,16.096579476861166
8,AR,451,0.4537223340040241,45.372233400402415
8,IA,182,0.18309859154929578,18.30985915492958
8,IT,74,0.0744466800804829,7.44466800804829
8,NL,127,0.12776659959758552,12.776659959758552
9,AC,111,0.13840399002493767,13.840399002493767
9,AR,54,0.06733167082294264,6.733167082294264
9,IA,316,0.3940149625935162,39.40149625935162
9,IT,169,0.21072319201995013,21.07231920199501
9,NL,152,0.18952618453865336,18.952618453865338
10,AC,9,0.011553273427471117,1.1553273427471118
10,AR,8,0.010269576379974325,1.0269576379974326
10,IA,90,0.11553273427471117,11.553273427471117
10,IT,26,0.03337612323491656,3.3376123234916557
10,NL,646,0.8292682926829268,82.92682926829268
11,AC,87,0.12219101123595505,12.219101123595506
11,AR,43,0.060393258426966294,6.03932584269663
11,IA,275,0.3862359550561798,38.62359550561798
11,IT,223,0.31320224719101125,31.320224719101127
11,NL,84,0.11797752808988764,11.797752808988763
12,AC,123,0.17372881355932204,17.372881355932204
12,AR,41,0.05790960451977401,5.790960451977401
12,IA,280,0.3954802259887006,39.548022598870055
12,IT,125,0.1765536723163842,17.65536723163842
12,NL,139,0.1963276836158192,19.63276836158192
13,AC,47,0.1649122807017544,16.49122807017544
13,AR,87,0.30526315789473685,30.526315789473685
13,IA,98,0.34385964912280703,34.385964912280706
13,IT,30,0.10526315789473684,10.526315789473683
13,NL,23,0.08070175438596491,8.070175438596491
14,AC,90,0.33707865168539325,33.70786516853933
14,AR,81,0.30337078651685395,30.337078651685395
14,IA,16,0.0599250936329588,5.992509363295881
14,IT,9,0.033707865168539325,3.3707865168539324
14,NL,71,0.26591760299625467,26.591760299625467
15,AC,17,0.09714285714285714,9.714285714285714
15,AR,5,0.02857142857142857,2.857142857142857
15,IA,17,0.09714285714285714,9.714285714285714
15,IT,30,0.17142857142857143,17.142857142857142
15,NL,106,0.6057142857142858,60.57142857142858
16,AC,9,0.14754098360655737,14.754098360655737
16,AR,10,0.16393442622950818,16.39344262295082
16,IA,14,0.22950819672131148,22.950819672131146
16,IT,23,0.3770491803278688,37.704918032786885
16,NL,5,0.08196721311475409,8.19672131147541
