seurat_clusters,Phase,Cells
0,AC,513
0,AR,402
0,IA,888
0,IT,644
0,NL,556
1,AC,253
1,AR,176
1,IA,451
1,IT,619
1,NL,926
2,AC,228
2,AR,144
2,IA,921
2,IT,548
2,NL,389
3,AC,290
3,AR,1295
3,IA,158
3,IT,64
3,NL,57
4,AC,169
4,AR,84
4,IA,418
4,IT,399
4,NL,500
5,AC,192
5,AR,176
5,IA,326
5,IT,444
5,NL,395
6,AC,23
6,AR,35
6,IA,957
6,IT,46
6,NL,325
7,AC,107
7,AR,216
7,IA,641
7,IT,205
7,NL,37
8,AC,160
8,AR,451
8,IA,182
8,IT,74
8,NL,127
9,AC,111
9,AR,54
9,IA,316
9,IT,169
9,NL,152
10,AC,9
10,AR,8
10,IA,90
10,IT,26
10,NL,646
11,AC,87
11,AR,43
11,IA,275
11,IT,223
11,NL,84
12,AC,123
12,AR,41
12,IA,280
12,IT,125
12,NL,139
13,AC,47
13,AR,87
13,IA,98
13,IT,30
13,NL,23
14,AC,90
14,AR,81
14,IA,16
14,IT,9
14,NL,71
15,AC,17
15,AR,5
15,IA,17
15,IT,30
15,NL,106
16,AC,9
16,AR,10
16,IA,14
16,IT,23
16,NL,5
