seurat_clusters,Phase,Cells,Proportion,Percent
0,AC,513,0.21128500823723229,21.12850082372323
0,AR,402,0.1215235792019347,12.15235792019347
0,IA,888,0.14682539682539683,14.682539682539684
0,IT,644,0.17509516041326809,17.50951604132681
0,NL,556,0.12252093433230499,12.252093433230499
1,AC,253,0.10420098846787479,10.420098846787479
1,AR,176,0.053204353083434096,5.320435308343409
1,IA,451,0.07457010582010581,7.457010582010581
1,IT,619,0.16829798803697663,16.829798803697663
1,NL,926,0.20405464962538564,20.405464962538563
2,AC,228,0.09390444810543658,9.390444810543658
2,AR,144,0.04353083434099154,4.353083434099154
2,IA,921,0.15228174603174602,15.228174603174601
2,IT,548,0.14899401848830887,14.899401848830887
2,NL,389,0.08572058175407668,8.572058175407667
3,AC,290,0.11943986820428336,11.943986820428336
3,AR,1295,0.3914752116082225,39.14752116082225
3,IA,158,0.026124338624338623,2.6124338624338623
3,IT,64,0.017400761283306143,1.7400761283306143
3,NL,57,0.0125605993829881,1.25605993829881
4,AC,169,0.06960461285008238,6.960461285008238
4,AR,84,0.02539298669891173,2.539298669891173
4,IA,418,0.06911375661375661,6.911375661375661
4,IT,399,0.10848287112561175,10.848287112561176
4,NL,500,0.11018069634200088,11.018069634200089
5,AC,192,0.07907742998352553,7.907742998352553
5,AR,176,0.053204353083434096,5.320435308343409
5,IA,326,0.0539021164021164,5.39021164021164
5,IT,444,0.12071778140293637,12.071778140293638
5,NL,395,0.0870427501101807,8.704275011018069
6,AC,23,0.009472817133443162,0.9472817133443162
6,AR,35,0.010580411124546553,1.0580411124546554
6,IA,957,0.15823412698412698,15.823412698412698
6,IT,46,0.012506797172376292,1.2506797172376292
6,NL,325,0.07161745262230057,7.161745262230057
7,AC,107,0.04406919275123559,4.406919275123559
7,AR,216,0.06529625151148731,6.529625151148731
7,IA,641,0.10598544973544974,10.598544973544973
7,IT,205,0.055736813485589995,5.573681348558999
7,NL,37,0.008153371529308066,0.8153371529308066
8,AC,160,0.06589785831960461,6.589785831960461
8,AR,451,0.13633615477629987,13.633615477629988
8,IA,182,0.03009259259259259,3.009259259259259
8,IT,74,0.02011963023382273,2.011963023382273
8,NL,127,0.027985896870868224,2.7985896870868223
9,AC,111,0.0457166392092257,4.57166392092257
9,AR,54,0.016324062877871828,1.6324062877871828
9,IA,316,0.052248677248677246,5.224867724867725
9,IT,169,0.04594888526373029,4.594888526373029
9,NL,152,0.03349493168796827,3.349493168796827
10,AC,9,0.0037067545304777594,0.37067545304777594
10,AR,8,0.0024183796856106408,0.24183796856106407
10,IA,90,0.01488095238095238,1.488095238095238
10,IT,26,0.0070690592713431215,0.7069059271343121
10,NL,646,0.14235345967386515,14.235345967386515
11,AC,87,0.035831960461285006,3.5831960461285006
11,AR,43,0.012998790810157194,1.2998790810157195
11,IA,275,0.04546957671957672,4.5469576719576725
11,IT,223,0.06063077759651985,6.063077759651985
11,NL,84,0.01851035698545615,1.851035698545615
12,AC,123,0.05065897858319605,5.065897858319604
12,AR,41,0.012394195888754534,1.2394195888754533
12,IA,280,0.046296296296296294,4.62962962962963
12,IT,125,0.033985861881457316,3.3985861881457318
12,NL,139,0.030630233583076247,3.0630233583076247
13,AC,47,0.019357495881383854,1.9357495881383853
13,AR,87,0.02629987908101572,2.629987908101572
13,IA,98,0.016203703703703703,1.6203703703703702
13,IT,30,0.008156606851549755,0.8156606851549755
13,NL,23,0.005068312031732041,0.5068312031732041
14,AC,90,0.03706754530477759,3.706754530477759
14,AR,81,0.02448609431680774,2.448609431680774
14,IA,16,0.0026455026455026454,0.26455026455026454
14,IT,9,0.0024469820554649264,0.24469820554649263
14,NL,71,0.015645658880564125,1.5645658880564124
15,AC,17,0.00700164744645799,0.700164744645799
15,AR,5,0.0015114873035066505,0.15114873035066506
15,IA,17,0.0028108465608465607,0.28108465608465605
15,IT,30,0.008156606851549755,0.8156606851549755
15,NL,106,0.023358307624504186,2.3358307624504184
16,AC,9,0.0037067545304777594,0.37067545304777594
16,AR,10,0.003022974607013301,0.3022974607013301
16,IA,14,0.0023148148148148147,0.23148148148148145
16,IT,23,0.006253398586188146,0.6253398586188146
16,NL,5,0.0011018069634200088,0.11018069634200088
