seurat_clusters,Donor,Cells
0,P191127,391
0,P190801,302
0,P190911,298
0,P190402,250
0,D528848,239
0,D529074,233
0,P191112,225
0,P190808,211
0,P191217,209
0,P190716,193
0,P191126,122
0,P190604,89
0,P190910,77
0,P191028,63
0,Dhc570,59
0,P190326,16
0,D529354,12
0,D529409,12
0,D529351,1
0,P190902,1
1,Dhc570,274
1,P190801,225
1,D529074,211
1,P190808,183
1,P191127,173
1,D529409,166
1,P190402,161
1,D528848,158
1,P191112,128
1,P190326,126
1,P190716,103
1,P190604,101
1,D529354,82
1,P191126,80
1,P191217,73
1,P191028,64
1,P190910,47
1,D529351,35
1,P190911,34
1,P190902,1
2,P190911,435
2,P190808,198
2,P190801,192
2,D529074,186
2,P190402,172
2,P191028,147
2,P191112,138
2,P191127,126
2,P191126,102
2,P190604,93
2,P191217,88
2,D528848,71
2,Dhc570,63
2,P190716,55
2,P190910,46
2,D529354,45
2,P190326,38
2,D529409,20
2,P190719,9
2,D529351,4
2,P190902,1
2,P191008,1
3,P191008,1259
3,P191210,256
3,P190911,54
3,P191112,50
3,P190801,33
3,P191217,25
3,D529074,24
3,P190808,23
3,P191127,20
3,D529354,19
3,P190402,16
3,P191028,16
3,P191126,14
3,P190604,12
3,P190716,11
3,Dhc570,9
3,P190910,8
3,P190326,5
3,P190719,5
3,D528848,3
3,D529409,2
4,P190911,135
4,P190910,134
4,P190402,119
4,P191028,118
4,P190801,110
4,D528848,105
4,P191127,103
4,D529074,99
4,D529354,92
4,P190808,84
4,D529409,75
4,Dhc570,70
4,P191126,66
4,D529351,59
4,P191112,55
4,P190716,46
4,P191217,38
4,P190326,32
4,P190604,30
5,P190402,237
5,D529074,165
5,P191112,144
5,P191127,122
5,D528848,112
5,P190604,108
5,P190911,106
5,Dhc570,100
5,P191217,99
5,P190716,77
5,P190801,74
5,P191126,70
5,P190808,62
5,P190910,35
5,D529354,11
5,D529409,4
5,D529351,3
5,P190326,2
5,P191028,2
6,P191028,863
6,D529354,172
6,D529409,122
6,P190801,43
6,P190911,36
6,P191217,19
6,D529074,17
6,P190808,17
6,P191127,16
6,P190716,15
6,P191112,15
6,P190402,11
6,D528848,10
6,P191126,7
6,P190604,6
6,P190910,6
6,P190326,4
6,D529351,2
6,Dhc570,2
6,P190902,2
6,P191008,1
7,P190911,359
7,P191112,151
7,P191217,139
7,P190910,85
7,P190402,77
7,P191028,77
7,P190716,76
7,P190801,54
7,P191126,54
7,P191127,52
7,P190808,35
7,D529074,22
7,D528848,13
7,P190604,8
7,D529354,2
7,P191008,1
7,P191210,1
8,P191008,426
8,P191210,124
8,P190719,96
8,Dhc570,54
8,P191112,40
8,D529354,36
8,P190402,28
8,D529074,27
8,P191127,23
8,P190808,22
8,P190911,22
8,P190801,21
8,P190604,17
8,P191217,14
8,P191126,13
8,P190716,11
8,D528848,9
8,P190910,4
8,P190326,3
8,P191028,3
8,D529351,1
9,P190911,112
9,P191127,88
9,P191112,81
9,P191028,68
9,P190808,57
9,P190801,55
9,P190402,53
9,Dhc570,45
9,D528848,31
9,D529354,31
9,P190716,30
9,D529074,29
9,P190604,25
9,P191217,24
9,P191126,23
9,P190910,21
9,D529409,13
9,P190326,13
9,D529351,3
10,D529354,436
10,D529409,161
10,P191028,71
10,D529351,15
10,D529074,14
10,P191112,12
10,D528848,11
10,Dhc570,9
10,P190402,9
10,P190326,7
10,P190801,7
10,P191127,6
10,P190604,5
10,P190716,4
10,P191217,4
10,P191126,3
10,P190808,2
10,P190902,2
10,P190910,1
11,P190719,240
11,P190402,119
11,P191127,42
11,P190604,39
11,P190808,33
11,P190910,27
11,P191112,27
11,D529354,25
11,P191126,25
11,P191217,24
11,D528848,22
11,P191210,20
11,P190716,18
11,D529409,15
11,Dhc570,13
11,D529351,5
11,P190902,5
11,D529074,4
11,P190911,4
11,P190801,2
11,P191028,2
11,P191008,1
12,P190719,109
12,P190911,82
12,P191127,66
12,D528848,59
12,P190402,58
12,P191112,58
12,Dhc570,41
12,P190808,31
12,P191210,30
12,P191126,27
12,P190604,25
12,P191028,18
12,D529074,17
12,P191008,16
12,P190801,13
12,P191217,13
12,D529409,12
12,P190716,12
12,D529354,10
12,P190326,7
12,P190910,4
13,P190719,89
13,P191008,81
13,P191210,44
13,P190604,19
13,Dhc570,11
13,D529074,7
13,P191112,5
13,P190402,4
13,P190808,4
13,P190716,3
13,P190801,3
13,P191217,3
13,D529409,2
13,P190910,2
13,P191126,2
13,D528848,1
13,D529351,1
13,D529354,1
13,P190326,1
13,P191028,1
13,P191127,1
14,P191210,78
14,P191008,77
14,Dhc570,51
14,D529354,10
14,D528848,7
14,P191127,7
14,P190801,5
14,P190911,5
14,P191112,5
14,P191126,5
14,P190326,4
14,P190910,3
14,D529409,2
14,P190716,2
14,P191217,2
14,D529074,1
14,P190402,1
14,P190719,1
14,P190808,1
15,D529074,67
15,D529409,33
15,P190719,14
15,P190402,13
15,P191127,10
15,P190910,7
15,P191126,7
15,P190808,5
15,P191217,5
15,P190604,3
15,D529354,2
15,Dhc570,2
15,P190326,2
15,P191112,2
15,D528848,1
15,D529351,1
15,P190801,1
16,P190808,13
16,P191112,8
16,P191008,7
16,P190402,5
16,P191127,5
16,D529354,4
16,P190801,3
16,P191217,3
16,P190326,2
16,P190719,2
16,P190910,2
16,P191126,2
16,P191210,2
16,D529351,1
16,P190604,1
16,P191028,1
