seurat_clusters,GSM,Cells
0,GSM5519508,391
0,GSM5519496,302
0,GSM5519497,298
0,GSM5519472,250
0,GSM5519484,239
0,GSM5519485,233
0,GSM5519502,225
0,GSM5519495,211
0,GSM5519512,209
0,GSM5519475,193
0,GSM5519506,122
0,GSM5519469,89
0,GSM5519494,77
0,GSM5519499,63
0,GSM5519483,59
0,GSM5519471,16
0,GSM5519487,12
0,GSM5519488,12
0,GSM5519486,1
0,GSM5519491,1
1,GSM5519483,274
1,GSM5519496,225
1,GSM5519485,211
1,GSM5519495,183
1,GSM5519508,173
1,GSM5519488,166
1,GSM5519472,161
1,GSM5519484,158
1,GSM5519502,128
1,GSM5519471,126
1,GSM5519475,103
1,GSM5519469,101
1,GSM5519487,82
1,GSM5519506,80
1,GSM5519512,73
1,GSM5519499,64
1,GSM5519494,47
1,GSM5519486,35
1,GSM5519497,34
1,GSM5519491,1
2,GSM5519497,435
2,GSM5519495,198
2,GSM5519496,192
2,GSM5519485,186
2,GSM5519472,172
2,GSM5519499,147
2,GSM5519502,138
2,GSM5519508,126
2,GSM5519506,102
2,GSM5519469,93
2,GSM5519512,88
2,GSM5519484,71
2,GSM5519483,63
2,GSM5519475,55
2,GSM5519494,46
2,GSM5519487,45
2,GSM5519471,38
2,GSM5519488,20
2,GSM5519477,9
2,GSM5519486,4
2,GSM5519491,1
2,GSM5519504,1
3,GSM5519504,1259
3,GSM5519510,256
3,GSM5519497,54
3,GSM5519502,50
3,GSM5519496,33
3,GSM5519512,25
3,GSM5519485,24
3,GSM5519495,23
3,GSM5519508,20
3,GSM5519487,19
3,GSM5519472,16
3,GSM5519499,16
3,GSM5519506,14
3,GSM5519469,12
3,GSM5519475,11
3,GSM5519483,9
3,GSM5519494,8
3,GSM5519471,5
3,GSM5519477,5
3,GSM5519484,3
3,GSM5519488,2
4,GSM5519497,135
4,GSM5519494,134
4,GSM5519472,119
4,GSM5519499,118
4,GSM5519496,110
4,GSM5519484,105
4,GSM5519508,103
4,GSM5519485,99
4,GSM5519487,92
4,GSM5519495,84
4,GSM5519488,75
4,GSM5519483,70
4,GSM5519506,66
4,GSM5519486,59
4,GSM5519502,55
4,GSM5519475,46
4,GSM5519512,38
4,GSM5519471,32
4,GSM5519469,30
5,GSM5519472,237
5,GSM5519485,165
5,GSM5519502,144
5,GSM5519508,122
5,GSM5519484,112
5,GSM5519469,108
5,GSM5519497,106
5,GSM5519483,100
5,GSM5519512,99
5,GSM5519475,77
5,GSM5519496,74
5,GSM5519506,70
5,GSM5519495,62
5,GSM5519494,35
5,GSM5519487,11
5,GSM5519488,4
5,GSM5519486,3
5,GSM5519471,2
5,GSM5519499,2
6,GSM5519499,863
6,GSM5519487,172
6,GSM5519488,122
6,GSM5519496,43
6,GSM5519497,36
6,GSM5519512,19
6,GSM5519485,17
6,GSM5519495,17
6,GSM5519508,16
6,GSM5519475,15
6,GSM5519502,15
6,GSM5519472,11
6,GSM5519484,10
6,GSM5519506,7
6,GSM5519469,6
6,GSM5519494,6
6,GSM5519471,4
6,GSM5519483,2
6,GSM5519486,2
6,GSM5519491,2
6,GSM5519504,1
7,GSM5519497,359
7,GSM5519502,151
7,GSM5519512,139
7,GSM5519494,85
7,GSM5519472,77
7,GSM5519499,77
7,GSM5519475,76
7,GSM5519496,54
7,GSM5519506,54
7,GSM5519508,52
7,GSM5519495,35
7,GSM5519485,22
7,GSM5519484,13
7,GSM5519469,8
7,GSM5519487,2
7,GSM5519504,1
7,GSM5519510,1
8,GSM5519504,426
8,GSM5519510,124
8,GSM5519477,96
8,GSM5519483,54
8,GSM5519502,40
8,GSM5519487,36
8,GSM5519472,28
8,GSM5519485,27
8,GSM5519508,23
8,GSM5519495,22
8,GSM5519497,22
8,GSM5519496,21
8,GSM5519469,17
8,GSM5519512,14
8,GSM5519506,13
8,GSM5519475,11
8,GSM5519484,9
8,GSM5519494,4
8,GSM5519471,3
8,GSM5519499,3
8,GSM5519486,1
9,GSM5519497,112
9,GSM5519508,88
9,GSM5519502,81
9,GSM5519499,68
9,GSM5519495,57
9,GSM5519496,55
9,GSM5519472,53
9,GSM5519483,45
9,GSM5519484,31
9,GSM5519487,31
9,GSM5519475,30
9,GSM5519485,29
9,GSM5519469,25
9,GSM5519512,24
9,GSM5519506,23
9,GSM5519494,21
9,GSM5519471,13
9,GSM5519488,13
9,GSM5519486,3
10,GSM5519487,436
10,GSM5519488,161
10,GSM5519499,71
10,GSM5519486,15
10,GSM5519485,14
10,GSM5519502,12
10,GSM5519484,11
10,GSM5519472,9
10,GSM5519483,9
10,GSM5519471,7
10,GSM5519496,7
10,GSM5519508,6
10,GSM5519469,5
10,GSM5519475,4
10,GSM5519512,4
10,GSM5519506,3
10,GSM5519491,2
10,GSM5519495,2
10,GSM5519494,1
11,GSM5519477,240
11,GSM5519472,119
11,GSM5519508,42
11,GSM5519469,39
11,GSM5519495,33
11,GSM5519494,27
11,GSM5519502,27
11,GSM5519487,25
11,GSM5519506,25
11,GSM5519512,24
11,GSM5519484,22
11,GSM5519510,20
11,GSM5519475,18
11,GSM5519488,15
11,GSM5519483,13
11,GSM5519486,5
11,GSM5519491,5
11,GSM5519485,4
11,GSM5519497,4
11,GSM5519496,2
11,GSM5519499,2
11,GSM5519504,1
12,GSM5519477,109
12,GSM5519497,82
12,GSM5519508,66
12,GSM5519484,59
12,GSM5519472,58
12,GSM5519502,58
12,GSM5519483,41
12,GSM5519495,31
12,GSM5519510,30
12,GSM5519506,27
12,GSM5519469,25
12,GSM5519499,18
12,GSM5519485,17
12,GSM5519504,16
12,GSM5519496,13
12,GSM5519512,13
12,GSM5519475,12
12,GSM5519488,12
12,GSM5519487,10
12,GSM5519471,7
12,GSM5519494,4
13,GSM5519477,89
13,GSM5519504,81
13,GSM5519510,44
13,GSM5519469,19
13,GSM5519483,11
13,GSM5519485,7
13,GSM5519502,5
13,GSM5519472,4
13,GSM5519495,4
13,GSM5519475,3
13,GSM5519496,3
13,GSM5519512,3
13,GSM5519488,2
13,GSM5519494,2
13,GSM5519506,2
13,GSM5519471,1
13,GSM5519484,1
13,GSM5519486,1
13,GSM5519487,1
13,GSM5519499,1
13,GSM5519508,1
14,GSM5519510,78
14,GSM5519504,77
14,GSM5519483,51
14,GSM5519487,10
14,GSM5519484,7
14,GSM5519508,7
14,GSM5519496,5
14,GSM5519497,5
14,GSM5519502,5
14,GSM5519506,5
14,GSM5519471,4
14,GSM5519494,3
14,GSM5519475,2
14,GSM5519488,2
14,GSM5519512,2
14,GSM5519472,1
14,GSM5519477,1
14,GSM5519485,1
14,GSM5519495,1
15,GSM5519485,67
15,GSM5519488,33
15,GSM5519477,14
15,GSM5519472,13
15,GSM5519508,10
15,GSM5519494,7
15,GSM5519506,7
15,GSM5519495,5
15,GSM5519512,5
15,GSM5519469,3
15,GSM5519471,2
15,GSM5519483,2
15,GSM5519487,2
15,GSM5519502,2
15,GSM5519484,1
15,GSM5519486,1
15,GSM5519496,1
16,GSM5519495,13
16,GSM5519502,8
16,GSM5519504,7
16,GSM5519472,5
16,GSM5519508,5
16,GSM5519487,4
16,GSM5519496,3
16,GSM5519512,3
16,GSM5519471,2
16,GSM5519477,2
16,GSM5519494,2
16,GSM5519506,2
16,GSM5519510,2
16,GSM5519469,1
16,GSM5519486,1
16,GSM5519499,1
