HVG,Frequency,Median_Rank
GNLY,23,5
CCL4,23,6
CCL5,23,11
NKG7,23,14
LYZ,23,38
TRBV4-1,23,44
CST3,23,46
IL32,23,47
TRBV5-1,23,48
TRBV20-1,23,52
FOS,23,53
GZMB,23,53
IL7R,23,53
TRBV3-1,23,60
TRBV7-9,23,61
KLRB1,23,63
HLA-DRA,23,66
TRBV4-2,23,72
TRBV29-1,23,73
CD8A,23,82
TRBV9,23,83
VIM,23,86
TYROBP,23,87
S100A4,23,89
IGKV2D-28,23,90
TRBV7-3,23,90
CD74,23,92
ANXA1,23,96
HLA-DRB1,23,98
CRIP1,23,99
GZMK,23,99
CCL20,23,103
TRBV28,23,104
FCER1G,23,107
TRBV19,23,109
DUSP2,23,113
LTB,23,116
TRBV27,23,118
XCL1,23,121
FGFBP2,23,122
CD7,23,124
TRBV25-1,23,124
TRBV6-1,23,124
JUNB,23,129
CD52,23,134
PTGDS,23,140
TRAV12-2,23,142
CST7,23,143
DUSP1,23,150
NFKBIA,23,158
MT2A,23,162
GZMA,23,168
JUN,23,172
CXCR4,23,175
ZFP36,23,188
HLA-DQA1,23,189
CD3E,23,194
CD69,23,195
XCL2,23,195
TRAV29DV5,23,196
KLF6,23,204
IFITM2,23,210
S100A6,23,221
SAT1,23,225
IGHA1,23,228
ZFP36L2,23,232
TRAV1-2,23,235
IFNG,23,236
CD3D,23,240
CCR7,23,249
CCL3,23,250
KLRD1,23,252
HLA-DPB1,23,254
LGALS1,23,256
GPR183,23,267
TRBC1,23,270
DDIT4,23,284
TSC22D3,23,294
S100A10,23,296
LINC02446,23,314
CLIC3,23,316
CD8B,23,324
ZFP36L1,23,345
TRGV2,23,349
S100A11,23,354
LITAF,23,362
ALOX5AP,23,367
TIMP1,23,374
KLRF1,23,389
COTL1,23,393
TAGLN2,23,393
TRGV10,23,430
TXNIP,23,446
SPOCK2,23,450
IER2,23,462
GSTP1,23,477
HIST1H4C,23,491
TRBC2,23,501
SH2D1B,23,605
KLRC3,23,650
CX3CR1,23,656
PRSS23,23,732
TUBA1B,23,737
CD3G,23,937
IGKV3-11,22,11.5
TRBV7-2,22,32.5
IGKV1-39,22,40.5
S100A8,22,49
TRBV10-3,22,51.5
IGLV1-47,22,52.5
TRBV12-3,22,62.5
TRBV13,22,68
TRBV10-2,22,71
TRBV12-4,22,71.5
HSPA1A,22,74
TRBV24-1,22,79.5
TRBV7-6,22,82
TRBV11-2,22,83
TRBV6-6,22,85
TRBV6-5,22,88
CD79A,22,89
TRBV6-2,22,93.5
TRBV30,22,96
IGKV1D-39,22,105
TRDV2,22,106
JCHAIN,22,109
CCL4L2,22,109.5
TRAV38-2DV8,22,112
TRBV2,22,114
HSPA1B,22,115
TRBV14,22,128.5
TRAV21,22,130
IGKC,22,134
G0S2,22,143.5
TRBV15,22,146.5
IGHG1,22,148.5
GZMH,22,151
TRDV1,22,152
C1QB,22,156
TRAV20,22,157
DNAJB1,22,157.5
TRAV30,22,159.5
TRAV12-3,22,168.5
TRBV6-4,22,172.5
C1QA,22,177.5
TRAV3,22,180.5
HSPA6,22,186
TRAV10,22,189.5
KLF2,22,194.5
TRAV14DV4,22,195
TRAV17,22,195.5
PRF1,22,196.5
TRAV12-1,22,197
IGLC2,22,199.5
NR4A2,22,200
IGLC3,22,206
TRAV38-1,22,206
TRAV27,22,213
TRBV11-3,22,220.5
TRAV5,22,228
TRAV9-2,22,236
FCGR3A,22,248.5
ZNF331,22,248.5
RGS1,22,249
HLA-DPA1,22,254.5
CEBPD,22,256
CSF2,22,268.5
TRAV13-2,22,269.5
CTSW,22,270
S100B,22,286.5
EGR1,22,288.5
HLA-DQB1,22,290
HSPE1,22,305.5
SPON2,22,308
IFITM1,22,310
AREG,22,320
GADD45B,22,351
KLRC1,22,362.5
KRT86,22,377.5
CMC1,22,386
KIR2DL1,22,392
KIR3DL1,22,402.5
SPIB,22,411.5
IFITM3,22,426
EMP3,22,428.5
MCL1,22,431.5
IRF1,22,444
ID2,22,449
MYOM2,22,452
TNFRSF4,22,463.5
CD247,22,470
FAM129C,22,479
KIR3DL2,22,493
HOPX,22,529.5
TRGV5,22,530
CD2,22,545.5
ID3,22,547
TAGAP,22,549
H2AFZ,22,580
GZMM,22,624.5
SQSTM1,22,657.5
NEAT1,22,693
C12orf57,22,853.5
SOCS1,22,920
PLAC8,22,1011
VIPR2,22,1217.5
LINC00861,22,1262.5
IGKV3-15,21,9
IGKV4-1,21,24
IGKV1-5,21,26
IGHV1-18,21,27
IGHV4-39,21,29
IGLV2-14,21,47
IGHV3-30,21,51
IGHV3-23,21,58
IGLV3-21,21,58
IGKV2-30,21,68
S100A9,21,68
IL1B,21,78
IGHV3-74,21,88
TRBV5-4,21,100
TRBV5-5,21,106
RGCC,21,124
FTH1,21,125
TRBV18,21,132
FCN1,21,133
TRBV5-6,21,137
CXCL8,21,144
CXCL2,21,155
TRAV23DV6,21,197
LMNA,21,202
TRAV8-4,21,204
TUBA4A,21,206
MS4A1,21,210
TNFAIP3,21,210
SERPINA1,21,220
TRAV13-1,21,220
AIF1,21,233
FOSB,21,242
TRAV8-1,21,243
IGHM,21,249
TRBV21-1,21,259
MAFB,21,261
TRAV6,21,267
TRAV26-2,21,277
TCL1A,21,282
TRAV16,21,294
CPVL,21,296
TRGV9,21,312
FCER2,21,318
VCAM1,21,342
MS4A7,21,349
TRAV2,21,350
FOXP3,21,352
TNF,21,360
SELL,21,372
NR4A1,21,393
CCL3L1,21,422
CCR6,21,426
SLC2A3,21,432
PPP1R15A,21,442
LAIR2,21,454
TRAV8-3,21,462
KIR2DL3,21,483
TRGV8,21,483
TRGV3,21,502
EGR4,21,506
IL2RB,21,513
IER3,21,522
HES4,21,570
CEMIP2,21,579
FCRLA,21,588
LINC00926,21,599
TIGIT,21,614
AKR1C3,21,620
RGS2,21,623
BTG2,21,635
ZNF683,21,653
IGHD,21,673
MIR155HG,21,681
RARRES3,21,745
GIMAP7,21,754
FYN,21,808
ISG20,21,814
TYMS,21,862
NCR3,21,881
TSPYL2,21,884
SAMSN1,21,923
IGFBP3,21,938
CHMP1B,21,963
ARL4C,21,979
ADGRG1,21,983
FYB1,21,1148
CSF1,21,1158
HSP90B1,21,1210
C1orf162,21,1216
IGKV3-20,20,11
IGLV2-23,20,26.5
IGLV1-51,20,30
IGLV1-44,20,31.5
IGHV5-51,20,35
IGHV3-7,20,43
IGHV3-48,20,55.5
IGHV4-34,20,73.5
IGLV3-1,20,75
TRBV12-5,20,76.5
TRBV11-1,20,109
IGKV2-28,20,160.5
C1QC,20,163.5
TRBV7-7,20,185.5
TRAV19,20,194.5
VCAN,20,209
TRAV1-1,20,209.5
TRDV3,20,211
TRAV26-1,20,216
CD83,20,217.5
CREM,20,219.5
MYADM,20,238
IGHG2,20,244
PIK3R1,20,253
TRAV8-6,20,261
TRAV25,20,267
YPEL5,20,271
TRAV24,20,274.5
TRAV22,20,284.5
TRAV41,20,313
BCL2A1,20,316
IGLL5,20,319.5
TRAV35,20,324
EZR,20,340
BANK1,20,347.5
FAM177A1,20,350.5
CXCR6,20,359.5
DNAJA1,20,366
TRGV4,20,393.5
TRBV23-1,20,394.5
REL,20,413.5
ADGRE5,20,425.5
TRAV4,20,431
SYTL3,20,472
TKTL1,20,476.5
ICOS,20,496
SH2D2A,20,514.5
GEM,20,519
BIRC3,20,524
IFI27,20,539
AQP3,20,545.5
SPI1,20,547.5
LST1,20,553
MZB1,20,568.5
ITM2A,20,580.5
LINC01871,20,595
CD160,20,604.5
TRDC,20,614.5
VPS37B,20,627
PHLDA1,20,628
TUBA1A,20,631
CHN1,20,644.5
NFKBIZ,20,659.5
CTLA4,20,669.5
PDCD1,20,672
LEPROTL1,20,685
TUBB4B,20,706
GNG2,20,732
ARL4D,20,790.5
CD40LG,20,814
KLRG1,20,818.5
CYBB,20,820
KRT81,20,879
IRF8,20,885
TRGV7,20,945
RASD1,20,992.5
HIST1H1E,20,1026.5
MT-ND6,20,1052
ZEB2,20,1062.5
RBKS,20,1125
IGLV3-19,19,27
IGHV1-69D,19,45
IGHV4-59,19,78
IGHV1-46,19,100
TRBV10-1,19,137
C5AR1,19,179
HSP90AA1,19,241
SOX4,19,306
SCT,19,317
TRAV39,19,320
CCL18,19,346
TRAV8-2,19,350
MS4A6A,19,397
