"Final_Cell_Type","Cells","Fraction","Percent"
"CD8_T",41281,0.387280471329931,38.7280471329931
"NK",25316,0.237503752626839,23.7503752626839
"MAIT",16945,0.158970654458121,15.8970654458121
"CD4_T",10635,0.0997729660762534,9.97729660762534
"B_Cell",3432,0.0321975382767938,3.21975382767938
"Unresolved_Lymphoid",2831,0.0265592164515161,2.65592164515161
"Monocyte_Myeloid",2489,0.023350720504353,2.3350720504353
"Treg",1534,0.0143913239267487,1.43913239267487
"Dendritic_Cell",1042,0.00977559291504053,0.977559291504053
"Plasma_Cell",812,0.00761783248273792,0.761783248273792
"pDC",275,0.00257993095166617,0.257993095166617
