"Clinical_State","Cell_Type","Cell_Count","Percentage"
"AC","CD8_T",5670,44.3766142286922
"AC","CD4_T",2013,15.7548720356891
"AC","NK",1590,12.4442357360883
"AC","GammaDelta_T",1397,10.9337090083744
"AC","MAIT",1123,8.7892306488221
"AC","B_Cell",568,4.44548798622525
"AC","Inflammatory_Myeloid",318,2.48884714721766
"AC","pDC",50,0.391328167801518
"AC","Plasma_Cell",48,0.375675041089458
"AR","CD8_T",10790,61.9936799770181
"AR","CD4_T",2928,16.8227520827348
"AR","NK",1204,6.91755242746337
"AR","GammaDelta_T",1021,5.86613042229244
"AR","MAIT",966,5.55012927319736
"AR","B_Cell",222,1.27549554725654
"AR","Inflammatory_Myeloid",217,1.24676817006607
"AR","pDC",39,0.224073542085608
"AR","Plasma_Cell",18,0.103418557885665
"IA","CD8_T",15969,50.1869951915522
"IA","CD4_T",5424,17.0464188063736
"IA","NK",2682,8.42892611332852
"IA","GammaDelta_T",2496,7.8443697162073
"IA","MAIT",2182,6.85753794902417
"IA","Inflammatory_Myeloid",1559,4.89958829630095
"IA","B_Cell",1400,4.39988686005217
"IA","Plasma_Cell",55,0.172852698073478
"IA","pDC",52,0.163424369087652
"IT","CD8_T",5933,30.6614987080103
"IT","GammaDelta_T",3506,18.1188630490956
"IT","CD4_T",3051,15.7674418604651
"IT","MAIT",2645,13.6692506459948
"IT","NK",2376,12.2790697674419
"IT","Inflammatory_Myeloid",1118,5.77777777777778
"IT","B_Cell",560,2.89405684754522
"IT","pDC",88,0.454780361757106
"IT","Plasma_Cell",73,0.377260981912145
"NL","MAIT",5946,24.9109723909674
"NL","CD8_T",5867,24.5799991620931
"NL","GammaDelta_T",4977,20.8513134190791
"NL","NK",3199,13.4023210021367
"NL","CD4_T",2389,10.0087980225397
"NL","B_Cell",638,2.67292303825045
"NL","Plasma_Cell",583,2.44249863840127
"NL","Inflammatory_Myeloid",254,1.06414177384893
"NL","pDC",16,0.0670325526833969
