"Phase","Final_Cell_Type","Cells","Fraction","Percent"
"AC","B_Cell",562,0.0437796993066916,4.37796993066916
"AC","CD4_T",1399,0.108981849341747,10.8981849341747
"AC","CD8_T",5473,0.426345719404845,42.6345719404845
"AC","Dendritic_Cell",141,0.0109838747370881,1.09838747370881
"AC","MAIT",1826,0.142245072836332,14.2245072836332
"AC","Monocyte_Myeloid",182,0.014177767391135,1.4177767391135
"AC","NK",3091,0.240788346186804,24.0788346186804
"AC","Plasma_Cell",51,0.00397289086235102,0.397289086235102
"AC","Treg",51,0.00397289086235102,0.397289086235102
"AC","Unresolved_Lymphoid",1,7.78998208304121e-05,0.00778998208304121
"AC","pDC",60,0.00467398924982473,0.467398924982472
"AR","B_Cell",234,0.0131860701003043,1.31860701003043
"AR","CD4_T",785,0.0442353206356362,4.42353206356362
"AR","CD8_T",10163,0.572692437732447,57.2692437732447
"AR","Dendritic_Cell",91,0.00512791615011834,0.512791615011834
"AR","MAIT",3496,0.197002141327623,19.7002141327623
"AR","Monocyte_Myeloid",127,0.00715654231939592,0.715654231939592
"AR","NK",2640,0.148765919080356,14.8765919080356
"AR","Plasma_Cell",24,0.00135241744618506,0.135241744618506
"AR","Treg",142,0.00800180322326158,0.800180322326158
"AR","pDC",44,0.0024794319846726,0.24794319846726
"IA","B_Cell",1425,0.0441326767629843,4.41326767629843
"IA","CD4_T",4243,0.131406980705503,13.1406980705503
"IA","CD8_T",15372,0.47607544364954,47.607544364954
"IA","Dendritic_Cell",86,0.00266344575552046,0.266344575552046
"IA","MAIT",3157,0.097773235467187,9.7773235467187
"IA","Monocyte_Myeloid",1498,0.0463935086252284,4.63935086252284
"IA","NK",5398,0.167177676608133,16.7177676608133
"IA","Plasma_Cell",64,0.00198209916689894,0.198209916689894
"IA","Treg",985,0.0305057449905541,3.05057449905541
"IA","pDC",61,0.00188918826845056,0.188918826845056
"IT","B_Cell",565,0.0289728731859905,2.89728731859905
"IT","CD4_T",2665,0.136659658479052,13.6659658479052
"IT","CD8_T",5852,0.300087175016666,30.0087175016666
"IT","Dendritic_Cell",640,0.0328188298035998,3.28188298035998
"IT","MAIT",2759,0.141479924106456,14.1479924106456
"IT","Monocyte_Myeloid",500,0.0256397107840624,2.56397107840624
"IT","NK",6037,0.309573868006769,30.9573868006769
"IT","Plasma_Cell",77,0.0039485154607456,0.39485154607456
"IT","Treg",309,0.0158453412645505,1.58453412645505
"IT","Unresolved_Lymphoid",4,0.000205117686272499,0.0205117686272499
"IT","pDC",93,0.0047689862058356,0.47689862058356
"NL","B_Cell",646,0.0266732730500846,2.66732730500846
"NL","CD4_T",1543,0.0637103100871217,6.37103100871217
"NL","CD8_T",4421,0.182542631817994,18.2542631817994
"NL","Dendritic_Cell",84,0.00346835129443825,0.346835129443825
"NL","MAIT",5707,0.235641438539989,23.5641438539989
"NL","Monocyte_Myeloid",182,0.00751476113794954,0.751476113794954
"NL","NK",8150,0.336512655353235,33.6512655353235
"NL","Plasma_Cell",596,0.0246087782319666,2.46087782319666
"NL","Treg",47,0.00194062512903093,0.194062512903093
"NL","Unresolved_Lymphoid",2826,0.11668524712003,11.668524712003
"NL","pDC",17,0.000701928238160122,0.0701928238160122
