"Sample","Cell_Type","Cell_Count","Percentage"
"GSM5519469","CD8_T",758,24.795551193981
"GSM5519469","MAIT",613,20.0523388943409
"GSM5519469","GammaDelta_T",555,18.1550539744848
"GSM5519469","CD4_T",541,17.6970886490023
"GSM5519469","NK",227,7.42558063460909
"GSM5519469","Inflammatory_Myeloid",211,6.90219169120052
"GSM5519469","B_Cell",117,3.82728164867517
"GSM5519469","pDC",20,0.654236179260713
"GSM5519469","Plasma_Cell",15,0.490677134445535
"GSM5519471","GammaDelta_T",614,44.5573294629898
"GSM5519471","CD4_T",286,20.7547169811321
"GSM5519471","CD8_T",200,14.5137880986938
"GSM5519471","NK",183,13.2801161103048
"GSM5519471","MAIT",49,3.55587808417997
"GSM5519471","Inflammatory_Myeloid",20,1.45137880986938
"GSM5519471","B_Cell",13,0.943396226415094
"GSM5519471","pDC",11,0.798258345428157
"GSM5519471","Plasma_Cell",2,0.145137880986938
"GSM5519472","CD8_T",2087,29.7632629777524
"GSM5519472","MAIT",1420,20.250998288648
"GSM5519472","GammaDelta_T",1017,14.5037079292641
"GSM5519472","CD4_T",930,13.2629777524244
"GSM5519472","NK",672,9.58357102110667
"GSM5519472","Inflammatory_Myeloid",607,8.65658870507701
"GSM5519472","B_Cell",235,3.35139760410724
"GSM5519472","Plasma_Cell",25,0.356531660011409
"GSM5519472","pDC",19,0.270964061608671
"GSM5519475","CD8_T",1698,49.2031295276731
"GSM5519475","GammaDelta_T",555,16.0822949869603
"GSM5519475","MAIT",501,14.5175311503912
"GSM5519475","CD4_T",304,8.8090408577224
"GSM5519475","NK",280,8.11359026369168
"GSM5519475","B_Cell",62,1.79658070124602
"GSM5519475","Inflammatory_Myeloid",46,1.33294697189221
"GSM5519475","Plasma_Cell",3,0.0869313242538395
"GSM5519475","pDC",2,0.0579542161692263
"GSM5519477","Inflammatory_Myeloid",1416,47.5966386554622
"GSM5519477","B_Cell",570,19.1596638655462
"GSM5519477","CD4_T",524,17.6134453781513
"GSM5519477","NK",383,12.8739495798319
"GSM5519477","Plasma_Cell",48,1.61344537815126
"GSM5519477","CD8_T",27,0.907563025210084
"GSM5519477","pDC",7,0.235294117647059
"GSM5519477","GammaDelta_T",0,0
"GSM5519477","MAIT",0,0
"GSM5519483","GammaDelta_T",1522,36.0407293393322
"GSM5519483","MAIT",702,16.6232536111769
"GSM5519483","NK",677,16.0312573999526
"GSM5519483","CD4_T",590,13.9711105848923
"GSM5519483","CD8_T",528,12.5029599810561
"GSM5519483","B_Cell",170,4.02557423632489
"GSM5519483","Inflammatory_Myeloid",29,0.686715605020128
"GSM5519483","Plasma_Cell",5,0.11839924224485
"GSM5519483","pDC",0,0
"GSM5519484","CD8_T",1582,35.2888690608967
"GSM5519484","GammaDelta_T",943,21.0350211911666
"GSM5519484","MAIT",639,14.2538478697301
"GSM5519484","NK",586,13.0716038367165
"GSM5519484","CD4_T",379,8.45416016060674
"GSM5519484","B_Cell",283,6.31273700646888
"GSM5519484","Inflammatory_Myeloid",65,1.44992192728084
"GSM5519484","pDC",3,0.0669194735668079
"GSM5519484","Plasma_Cell",3,0.0669194735668079
"GSM5519485","CD8_T",1765,29.8848628513376
"GSM5519485","MAIT",1098,18.5912631222486
"GSM5519485","GammaDelta_T",1054,17.8462580426685
"GSM5519485","CD4_T",943,15.9668134100914
"GSM5519485","NK",567,9.60040636640704
"GSM5519485","Plasma_Cell",378,6.40027091093803
"GSM5519485","B_Cell",88,1.49001015916018
"GSM5519485","Inflammatory_Myeloid",10,0.169319336268202
"GSM5519485","pDC",3,0.0507958008804605
"GSM5519486","NK",314,45.5732946298984
"GSM5519486","GammaDelta_T",144,20.899854862119
"GSM5519486","MAIT",107,15.5297532656023
"GSM5519486","CD8_T",40,5.8055152394775
"GSM5519486","Inflammatory_Myeloid",37,5.37010159651669
"GSM5519486","CD4_T",29,4.20899854862119
"GSM5519486","B_Cell",8,1.1611030478955
"GSM5519486","Plasma_Cell",8,1.1611030478955
"GSM5519486","pDC",2,0.290275761973875
"GSM5519487","MAIT",2533,48.636712749616
"GSM5519487","CD8_T",1086,20.852534562212
"GSM5519487","NK",702,13.4792626728111
"GSM5519487","GammaDelta_T",409,7.85330261136713
"GSM5519487","CD4_T",370,7.10445468509985
"GSM5519487","Inflammatory_Myeloid",61,1.17127496159754
"GSM5519487","B_Cell",29,0.556835637480799
"GSM5519487","Plasma_Cell",10,0.192012288786482
"GSM5519487","pDC",8,0.153609831029186
"GSM5519488","GammaDelta_T",905,26.9345238095238
"GSM5519488","MAIT",867,25.8035714285714
"GSM5519488","CD8_T",866,25.7738095238095
"GSM5519488","NK",353,10.5059523809524
"GSM5519488","Plasma_Cell",179,5.32738095238095
"GSM5519488","CD4_T",78,2.32142857142857
"GSM5519488","B_Cell",60,1.78571428571429
"GSM5519488","Inflammatory_Myeloid",52,1.54761904761905
"GSM5519488","pDC",0,0
"GSM5519491","MAIT",24,36.9230769230769
"GSM5519491","CD8_T",23,35.3846153846154
"GSM5519491","Inflammatory_Myeloid",9,13.8461538461538
"GSM5519491","NK",4,6.15384615384615
"GSM5519491","GammaDelta_T",3,4.61538461538462
"GSM5519491","CD4_T",2,3.07692307692308
"GSM5519491","B_Cell",0,0
"GSM5519491","pDC",0,0
"GSM5519491","Plasma_Cell",0,0
"GSM5519494","CD8_T",1004,37.5186846038864
"GSM5519494","NK",787,29.4095665171898
"GSM5519494","GammaDelta_T",237,8.85650224215247
"GSM5519494","CD4_T",228,8.52017937219731
"GSM5519494","MAIT",210,7.847533632287
"GSM5519494","Inflammatory_Myeloid",160,5.97907324364723
"GSM5519494","B_Cell",25,0.93423019431988
"GSM5519494","Plasma_Cell",20,0.747384155455904
"GSM5519494","pDC",5,0.186846038863976
"GSM5519495","CD8_T",1861,36.0519178612941
"GSM5519495","GammaDelta_T",1080,20.9221232080589
"GSM5519495","CD4_T",1064,20.6121658271988
"GSM5519495","NK",503,9.74428516079039
"GSM5519495","MAIT",329,6.37349864393646
"GSM5519495","B_Cell",170,3.2932971716389
"GSM5519495","Inflammatory_Myeloid",111,2.15032932971716
"GSM5519495","pDC",33,0.639287098024022
"GSM5519495","Plasma_Cell",11,0.213095699341341
"GSM5519496","CD8_T",2655,44.1616766467066
"GSM5519496","GammaDelta_T",1228,20.4258150365935
"GSM5519496","CD4_T",1005,16.7165668662675
"GSM5519496","NK",592,9.84697272122422
"GSM5519496","MAIT",459,7.63473053892216
"GSM5519496","B_Cell",54,0.898203592814371
"GSM5519496","Inflammatory_Myeloid",14,0.232867598137059
"GSM5519496","pDC",4,0.0665335994677312
"GSM5519496","Plasma_Cell",1,0.0166333998669328
"GSM5519497","CD8_T",4772,53.9209039548023
"GSM5519497","CD4_T",2329,26.316384180791
"GSM5519497","NK",639,7.22033898305085
"GSM5519497","MAIT",521,5.88700564971751
"GSM5519497","B_Cell",373,4.21468926553672
"GSM5519497","GammaDelta_T",195,2.20338983050847
"GSM5519497","Inflammatory_Myeloid",12,0.135593220338983
"GSM5519497","pDC",9,0.101694915254237
"GSM5519497","Plasma_Cell",0,0
"GSM5519499","CD8_T",5857,73.5434455047715
"GSM5519499","CD4_T",719,9.02812656956303
"GSM5519499","NK",667,8.37518834756404
"GSM5519499","MAIT",322,4.04319437468609
"GSM5519499","GammaDelta_T",286,3.59116022099448
"GSM5519499","B_Cell",104,1.30587644399799
"GSM5519499","pDC",7,0.0878955298844802
"GSM5519499","Inflammatory_Myeloid",2,0.0251130085384229
"GSM5519499","Plasma_Cell",0,0
"GSM5519502","CD8_T",2658,44.1674975074776
"GSM5519502","MAIT",880,14.6227982718511
"GSM5519502","CD4_T",847,14.0744433366567
"GSM5519502","GammaDelta_T",787,13.0774343635759
"GSM5519502","NK",401,6.66334330342306
"GSM5519502","B_Cell",299,4.96842804918578
"GSM5519502","Inflammatory_Myeloid",115,1.91093386507145
"GSM5519502","pDC",25,0.415420405450316
"GSM5519502","Plasma_Cell",6,0.0997008973080758
"GSM5519504","CD8_T",6860,69.7154471544715
"GSM5519504","CD4_T",2136,21.7073170731707
"GSM5519504","NK",715,7.26626016260163
"GSM5519504","B_Cell",95,0.965447154471545
"GSM5519504","pDC",23,0.233739837398374
"GSM5519504","Inflammatory_Myeloid",8,0.0813008130081301
"GSM5519504","GammaDelta_T",3,0.0304878048780488
"GSM5519504","MAIT",0,0
"GSM5519504","Plasma_Cell",0,0
"GSM5519506","CD8_T",1179,36
"GSM5519506","CD4_T",589,17.9847328244275
"GSM5519506","GammaDelta_T",502,15.3282442748092
"GSM5519506","MAIT",386,11.7862595419847
"GSM5519506","NK",372,11.3587786259542
"GSM5519506","B_Cell",141,4.30534351145038
"GSM5519506","Inflammatory_Myeloid",79,2.41221374045802
"GSM5519506","pDC",15,0.458015267175573
"GSM5519506","Plasma_Cell",12,0.366412213740458
"GSM5519508","CD8_T",3092,46.969466808446
"GSM5519508","GammaDelta_T",895,13.5956250949415
"GSM5519508","CD4_T",769,11.6816041318548
"GSM5519508","MAIT",737,11.195503569801
"GSM5519508","NK",611,9.28148260671426
"GSM5519508","B_Cell",279,4.23818927540635
"GSM5519508","Inflammatory_Myeloid",154,2.33935895488379
"GSM5519508","Plasma_Cell",25,0.379766064104512
"GSM5519508","pDC",21,0.31900349384779
"GSM5519510","CD8_T",1399,47.927372387804
"GSM5519510","CD4_T",655,22.4391915039397
"GSM5519510","NK",607,20.7947927372388
"GSM5519510","B_Cell",148,5.07022953066119
"GSM5519510","Inflammatory_Myeloid",85,2.91195614936622
"GSM5519510","pDC",14,0.479616306954436
"GSM5519510","Plasma_Cell",11,0.376841384035629
"GSM5519510","GammaDelta_T",0,0
"GSM5519510","MAIT",0,0
"GSM5519512","CD8_T",2232,54.2537676227516
"GSM5519512","CD4_T",488,11.8619348565873
"GSM5519512","MAIT",465,11.3028682547399
"GSM5519512","GammaDelta_T",463,11.2542537676228
"GSM5519512","NK",209,5.08021390374332
"GSM5519512","Inflammatory_Myeloid",163,3.96208070004861
"GSM5519512","B_Cell",65,1.57997083130773
"GSM5519512","Plasma_Cell",15,0.364608653378707
"GSM5519512","pDC",14,0.340301409820126
