"Phase","Final_Cell_Type","Cells","Fraction","Percent"
"AC","B_Cell",561,0.0491200420278434,4.91200420278434
"AC","CD4_T",1075,0.0941248577182383,9.41248577182383
"AC","CD8_T",4912,0.430084931266964,43.0084931266964
"AC","Dendritic_Cell",135,0.0118203309692671,1.18203309692671
"AC","MAIT",1590,0.139217231415813,13.9217231415813
"AC","Monocyte_Myeloid",176,0.0154102092636372,1.54102092636372
"AC","NK",2836,0.24831450836179,24.831450836179
"AC","Plasma_Cell",51,0.00446545836616759,0.446545836616759
"AC","Treg",26,0.00227650818667367,0.227650818667367
"AC","pDC",59,0.00516592242360564,0.516592242360564
"AR","B_Cell",234,0.0148138769308686,1.48138769308686
"AR","CD4_T",535,0.0338693340086098,3.38693340086098
"AR","CD8_T",9284,0.587743732590529,58.7743732590529
"AR","Dendritic_Cell",86,0.00544441630792606,0.544441630792606
"AR","MAIT",2992,0.18941504178273,18.941504178273
"AR","Monocyte_Myeloid",121,0.00766016713091922,0.766016713091922
"AR","NK",2411,0.152633578121043,15.2633578121043
"AR","Plasma_Cell",24,0.0015193719929096,0.15193719929096
"AR","Treg",66,0.00417827298050139,0.417827298050139
"AR","pDC",43,0.00272220815396303,0.272220815396303
"IA","B_Cell",1420,0.0500758190217583,5.00758190217583
"IA","CD4_T",3190,0.112494269492542,11.2494269492542
"IA","CD8_T",13706,0.483337447543816,48.3337447543816
"IA","Dendritic_Cell",78,0.00275064358006841,0.275064358006841
"IA","MAIT",2694,0.0950029974962091,9.50029974962091
"IA","Monocyte_Myeloid",1490,0.0525443453115633,5.25443453115633
"IA","NK",4991,0.176005924463096,17.6005924463096
"IA","Plasma_Cell",64,0.00225693832210742,0.225693832210742
"IA","Treg",663,0.0233804704305815,2.33804704305815
"IA","pDC",61,0.00215114433825863,0.215114433825863
"IT","B_Cell",564,0.03378054623862,3.378054623862
"IT","CD4_T",1856,0.111164350742693,11.1164350742693
"IT","CD8_T",4886,0.292644944896981,29.2644944896981
"IT","Dendritic_Cell",612,0.0366554863440345,3.66554863440345
"IT","MAIT",2328,0.139434595112602,13.9434595112602
"IT","Monocyte_Myeloid",483,0.0289290848107331,2.89290848107331
"IT","NK",5589,0.334750838524197,33.4750838524197
"IT","Plasma_Cell",77,0.00461188308576905,0.461188308576905
"IT","Treg",207,0.0123981792045999,1.23981792045999
"IT","Unresolved_Lymphoid",1,5.98945855294681e-05,0.00598945855294681
"IT","pDC",93,0.00557019645424054,0.557019645424054
"NL","B_Cell",645,0.0308523868745815,3.08523868745815
"NL","CD4_T",1010,0.0483114895245384,4.83114895245384
"NL","CD8_T",3485,0.16669855543863,16.669855543863
"NL","Dendritic_Cell",67,0.00320482158232086,0.320482158232086
"NL","MAIT",5068,0.242418444465704,24.2418444465704
"NL","Monocyte_Myeloid",178,0.00851430211422558,0.851430211422558
"NL","NK",7702,0.368410982493064,36.8410982493064
"NL","Plasma_Cell",595,0.0284607289773271,2.84607289773271
"NL","Treg",20,0.000956663158901751,0.0956663158901751
"NL","Unresolved_Lymphoid",2120,0.101406294843586,10.1406294843586
"NL","pDC",16,0.000765330527121401,0.07653305271214
