Rank,Gene
1,GNLY
2,CCL4
3,CCL5
4,NKG7
5,IL32
6,LYZ
7,CST3
8,TRBV20-1
9,FOS
10,GZMB
11,TRBV7-9
12,TRBV3-1
13,IL7R
14,KLRB1
15,HLA-DRA
16,S100A4
17,CD8A
18,TRBV7-3
19,TRBV9
20,VIM
21,CD74
22,CRIP1
23,TYROBP
24,ANXA1
25,DUSP2
26,TRBV19
27,GZMK
28,HLA-DRB1
29,FCER1G
30,TRBV28
31,TRBV27
32,XCL1
33,TRBV6-1
34,CD7
35,LTB
36,JUNB
37,CD52
38,CST7
39,DUSP1
40,CXCR4
41,NFKBIA
42,GZMA
43,MT2A
44,ZFP36
45,CD3E
46,JUN
47,XCL2
48,HLA-DQA1
49,IFITM2
50,ZFP36L2
51,KLF6
52,S100A6
53,CD69
54,TRAV1-2
55,IFNG
56,KLRD1
57,CD3D
58,CCL3
59,IFITM1
60,SAT1
61,LGALS1
62,HLA-DPB1
63,GPR183
64,TRBC1
65,DDIT4
66,TSC22D3
67,CLIC3
68,S100A10
69,CD8B
70,TRGV2
71,LITAF
72,ZFP36L1
73,KLRF1
74,S100A11
75,TIMP1
76,COTL1
77,CMC1
78,TXNIP
79,SPOCK2
80,TRBC2
81,IER2
82,HIST1H4C
83,GSTP1
84,HOPX
85,KLRC3
86,CX3CR1
87,HSPA1A
88,TRBV6-2
89,FTH1
90,TRBV2
91,HSPA1B
92,GZMH
93,DNAJB1
94,NR4A2
95,KLF2
96,PRF1
97,CCR7
98,CEBPD
99,RGS1
100,HLA-DPA1
101,CTSW
102,HLA-DQB1
103,EGR1
104,HSPE1
105,SPON2
106,AREG
107,KRT86
108,GADD45B
109,TAGLN2
110,ALOX5AP
111,IFITM3
112,EMP3
113,TNFRSF4
114,TRAV8-3
115,IRF1
116,ID2
117,ID3
118,CD247
119,IL2RB
120,CD2
121,RGS2
122,SQSTM1
123,TUBA1B
124,CD3G
125,ADGRG1
126,PLAC8
127,RGCC
128,TUBA4A
129,LMNA
130,TNFAIP3
131,AIF1
132,FOSB
133,ZNF331
134,TRGV9
135,FOXP3
136,TNF
137,SELL
138,CXCR6
139,CCR6
140,NR4A1
141,PPP1R15A
142,SLC2A3
143,MCL1
144,HES4
145,LST1
146,CEMIP2
147,TAGAP
148,TIGIT
149,MIR155HG
150,GZMM
151,H2AFZ
152,HCST
153,NEAT1
154,LINC01871
155,KRT81
156,GIMAP7
157,ISG20
158,NCR3
159,TSPYL2
160,IRF8
161,CD38
162,SOCS1
163,CHMP1B
164,SAMSN1
165,C12orf57
166,RBKS
167,ARL4C
168,VIPR2
169,LINC00861
170,C1orf162
171,IL1B
172,CREM
173,CD83
174,MYADM
175,PIK3R1
176,CPVL
177,BCL2A1
178,YPEL5
179,EZR
180,FAM177A1
181,TRGV4
182,MS4A6A
183,REL
184,ADGRE5
185,ICOS
186,SYTL3
187,BIRC3
188,AQP3
189,SH2D2A
190,ITM2A
191,CD160
192,PHLDA1
193,CHN1
194,NFKBIZ
195,PDCD1
196,CTLA4
197,CITED2
198,TUBA1A
199,HSPH1
200,H1FX
201,KLRG1
202,RARRES3
203,TRAT1
204,FEZ1
205,CXCR3
206,DTHD1
207,HSP90AA1
208,DNAJA1
209,MT1E
210,LDHA
211,THBS1
212,HSPD1
213,TNFRSF9
214,C15orf48
215,NFKB1
216,ATF3
217,PLD4
218,GBP5
219,LEPROTL1
220,CDKN1A
221,HLA-DMA
222,TUBB4B
223,GNG2
224,FYN
225,STMN1
226,TNFSF9
227,HIST1H1E
228,NINJ1
229,GADD45G
230,ITM2C
231,SLC4A10
232,ZEB2
233,ABLIM1
234,TRAF1
235,FYB1
236,CRTAM
237,MYC
238,DUSP4
239,HSP90AB1
240,DUSP5
241,YBX3
242,ATP1B3
243,IFNGR1
244,ENC1
245,SH3BGRL3
246,VPS37B
247,BTG2
248,SRSF7
249,IL4I1
250,NEU1
251,AHNAK
252,SATB1
253,S1PR1
254,DYNLL1
255,LEF1
256,SDCBP
257,KDM6B
258,CD5
259,SPRY1
260,LAG3
261,RORA
262,SLC7A5
263,CD27
264,GLUL
265,UCP2
266,GPR171
267,SH2D1A
268,HNRNPLL
269,HMGB2
270,TC2N
271,HSP90B1
272,IFI30
273,CD55
274,PLAUR
275,INSIG1
276,FABP5
277,LGALS3
278,MT1X
279,ITGB2
280,NR4A3
281,SERPINB9
282,IRF4
283,PDE4B
284,FASLG
285,TNFSF14
286,FXYD5
287,GPR65
288,ARID5B
289,OASL
290,LMNB1
