Cluster,SingleR_Label,SingleR_Best_Score,SingleR_Delta_Next
0,Effector memory CD8 T cells,0.7066159305103938,0.057440243734379504
1,Non-Vd2 gd T cells,0.7008101928469457,0.12048257508677607
10,MAIT cells,0.7039642017699894,0.4503909145075264
11,Classical monocytes,0.7816374103708335,0.2315480299907351
12,Non-switched memory B cells,0.6951702007677716,0.00655906589378441
13,Natural killer cells,0.6961680768190109,0.11042699962871039
14,Natural killer cells,0.6390121238588997,0.06267891808727172
15,Plasmablasts,0.7091932639802201,0.09336856198407195
16,Plasmacytoid dendritic cells,0.7074644305482548,0.17074821170168086
2,Th1/Th17 cells,0.7003066728903014,0.07660522285259941
3,Effector memory CD8 T cells,0.7479438807444123,0.06958564964509928
4,Natural killer cells,0.6557932656574179,0.21020710043344548
5,MAIT cells,0.7108073937921053,0.8043908764235176
6,Effector memory CD8 T cells,0.7073079156460517,0.1035481557663025
7,Effector memory CD8 T cells,0.7122690077899689,0.05496321231583201
8,MAIT cells,0.7153131493820475,0.07484758632962774
9,Effector memory CD8 T cells,0.7114698707502913,0.008412017595208265
