GSM,Donor,Phase,Original_Cells,Minimum_Allocation,Proportional_Exact,Proportional_Base,Proportional_Remainder,Sketch_Cells,Sketch_Fraction,Sketch_Percent
GSM5519469,P190604,IT,3085,20,565.5293080156109,565,0.5293080156109227,585,0.18962722852512157,18.962722852512158
GSM5519471,P190326,IT,1379,20,252.79251726208344,253,0.792517262083436,273,0.19796954314720813,19.796954314720814
GSM5519472,P190402,IT,7110,20,1303.375487841489,1303,0.37548784148907544,1323,0.1860759493670886,18.60759493670886
GSM5519475,P190716,AR,3460,20,634.2727409186431,634,0.2727409186430805,654,0.18901734104046242,18.90173410404624
GSM5519477,P190719,IA,3006,20,551.0473581507056,551,0.04735815070557692,571,0.18995342648037258,18.99534264803726
GSM5519483,Dhc570,NL,4243,20,777.8090288201741,778,0.8090288201741487,798,0.18807447560688192,18.807447560688193
GSM5519484,D528848,NL,4733,20,867.6337811468028,868,0.6337811468027894,888,0.18761884639763363,18.761884639763363
GSM5519485,D529074,NL,5956,20,1091.8290303212248,1092,0.8290303212247636,1112,0.18670248488918736,18.670248488918737
GSM5519486,D529351,NL,690,20,126.4879165415791,126,0.4879165415790965,146,0.21159420289855072,21.15942028985507
GSM5519487,D529354,NL,5233,20,959.291691684179,959,0.2916916841789998,979,0.18708197974393273,18.708197974393272
GSM5519488,D529409,NL,3364,20,616.6744220954669,617,0.6744220954668663,637,0.18935790725326992,18.935790725326992
GSM5519491,P190902,IT,66,20,12.098844190933654,12,0.09884419093365437,32,0.48484848484848486,48.484848484848484
GSM5519494,P190910,IT,2693,20,493.669506154308,494,0.6695061543080101,514,0.1908652060898626,19.08652060898626
GSM5519495,P190808,IT,5168,20,947.3761633143199,947,0.37616331431991057,967,0.18711300309597523,18.711300309597522
GSM5519496,P190801,IA,6069,20,1112.5437181026718,1113,0.5437181026718463,1133,0.18668643928159498,18.668643928159497
GSM5519497,P190911,IA,9082,20,1664.8742870009005,1665,0.8742870009004946,1685,0.18553182118476105,18.553182118476105
GSM5519499,P191028,IA,8062,20,1477.8921495046534,1478,0.8921495046533892,1498,0.18580997271148597,18.580997271148597
GSM5519502,P191112,IA,6070,20,1112.7270339237466,1113,0.72703392374660325,1133,0.18665568369028007,18.66556836902801
GSM5519504,P191008,AR,10164,20,1863.2220054037828,1863,0.22200540378275946,1883,0.18526170798898073,18.52617079889807
GSM5519506,P191126,AC,3293,20,603.6589987991593,604,0.6589987991593489,624,0.18949286365016701,18.9492863650167
GSM5519508,P191127,AC,6625,20,1214.4673146202342,1214,0.46731462023421955,1234,0.18626415094339624,18.626415094339624
GSM5519510,P191210,AC,2919,20,535.0988817172021,535,0.09888171720206174,555,0.19013360739979446,19.013360739979447
GSM5519512,P191217,AR,4122,20,755.627814470129,756,0.6278144701290103,776,0.18825812712275594,18.825812712275596
