"Final_Cell_Type","Cells","Mean_Agreement","Median_Agreement","Q1_Agreement","Q3_Agreement","Fraction_High","Fraction_Intermediate","Fraction_Low"
"Plasma_Cell",812,0.999220032840722,1,1,1,0.998768472906404,0,0.00123152709359606
"B_Cell",3432,0.998630536130536,1,1,1,0.997668997668998,0,0.00233100233100233
"pDC",275,0.995272727272727,1,1,1,0.989090909090909,0,0.0109090909090909
"Monocyte_Myeloid",2489,0.991455738583099,1,1,1,0.983527521092808,0,0.0164724789071916
"Dendritic_Cell",1042,0.965994881637876,1,1,1,0.938579654510557,0,0.0614203454894434
"NK",25316,0.963513193237478,1,1,1,0.92941222942013,0,0.0705877705798704
"CD8_T",41281,0.936790936912058,1,0.966666666666667,1,0.87868510937235,0,0.12131489062765
"MAIT",16945,0.928641683879217,1,0.933333333333333,1,0.865860135733255,0,0.134139864266745
"Unresolved_Lymphoid",2831,0.873978570587543,0.933333333333333,0.766666666666667,1,0.749205227834687,0,0.250794772165313
"CD4_T",10635,0.861219244632503,0.966666666666667,0.766666666666667,1,0.720827456511519,0,0.279172543488481
"Treg",1534,0.829313342025206,0.9,0.666666666666667,1,0.640156453715776,0,0.359843546284224
