"Atlas_Cluster","SingleR_Label","SingleR_Delta_Next"
"0","Effector memory CD8 T cells",0.0532976688148183
"1","Natural killer cells",0.0886184105919765
"10","MAIT cells",0.122438504282067
"11","T regulatory cells",0.0751000573612404
"12","Natural killer cells",0.232890316239403
"13","Natural killer cells",0.29333063312444
"14","Natural killer cells",0.438232960363429
"15","Classical monocytes",0.14452777762094
"16","Classical monocytes",0.0766070606654079
"17","Myeloid dendritic cells",0.0562260053762822
"18","Plasmablasts",0.0661175193288407
"19","Plasmacytoid dendritic cells",0.122929172923676
"2","Th17 cells",0.060423753350824
"3","MAIT cells",0.534767575099999
"4","Effector memory CD8 T cells",0.0940080318546745
"5","Natural killer cells",0.292838132812598
"6","MAIT cells",0.613989259864694
"7","Effector memory CD8 T cells",0.109776558591962
"8","Effector memory CD8 T cells",0.0717455129763545
"9","Exhausted B cells",0.00221034985972324
