"Atlas_Cluster","Program","Score","Rank"
"0","CD8_T",0.599321969045074,1
"0","T_Cell",0.493570466283298,2
"0","GammaDelta_T",0.458510964985155,3
"1","NK",1.14079159848257,1
"1","GammaDelta_T",0.123347410784412,2
"1","T_Cell",0.050949642342786,3
"10","T_Cell",0.495376349921213,1
"10","GammaDelta_T",0.495106083736361,2
"10","CD8_T",0.474163084772452,3
"11","Treg",0.664651470028234,1
"11","T_Cell",0.51033214806193,2
"11","GammaDelta_T",0.400841987043506,3
"12","NK",1.40042220210156,1
"12","T_Cell",0.442719240207827,2
"12","GammaDelta_T",0.396614795431607,3
"13","NK",1.12331026849895,1
"13","MAIT",0.202745703979506,2
"13","Dendritic_Cell",0.172792647177181,3
"14","NK",1.21141377906624,1
"14","B_Cell",0.235158321495411,2
"14","Plasma_Cell",0.0933758275441351,3
"15","Monocyte_Myeloid",1.79841642963441,1
"15","Dendritic_Cell",1.37827379394113,2
"15","B_Cell",0.84860807115878,3
"16","Monocyte_Myeloid",2.16771516600982,1
"16","Dendritic_Cell",1.4052203369919,2
"16","B_Cell",0.821022915765205,3
"17","Dendritic_Cell",2.11173925736213,1
"17","B_Cell",1.39732805577335,2
"17","Macrophage",1.08917524392003,3
"18","Plasma_Cell",1.75762367570483,1
"18","B_Cell",0.530600348310974,2
"18","pDC",0.0314953002536121,3
"19","pDC",1.94325137154013,1
"19","Dendritic_Cell",1.37611883062678,2
"19","B_Cell",1.18102092629548,3
"2","CD4_T",0.947729393309894,1
"2","T_Cell",0.379186129345076,2
"2","GammaDelta_T",0.356837884182305,3
"3","MAIT",0.889220144650518,1
"3","CD4_T",0.491920327856102,2
"3","GammaDelta_T",0.45428337139254,3
"4","CD8_T",0.967056018644768,1
"4","T_Cell",0.916881602146704,2
"4","GammaDelta_T",0.697817564838884,3
"5","NK",0.617837116265503,1
"5","MAIT",0.0954647609422448,2
"5","B_Cell",0.0584330182410239,3
"6","CD4_T",0.667620711700365,1
"6","T_Cell",0.6597448240451,2
"6","GammaDelta_T",0.551201508404946,3
"7","CD8_T",0.567853354253944,1
"7","T_Cell",0.437789166349164,2
"7","GammaDelta_T",0.363258192168551,3
"8","CD8_T",0.634827069777597,1
"8","T_Cell",0.464098385208671,2
"8","GammaDelta_T",0.45879832625905,3
"9","B_Cell",2.59729178692883,1
"9","Dendritic_Cell",0.458177185070743,2
"9","CD4_T",0.449601768408307,3
