"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.550060845981378,0.904,0.594,0,"0","SELENOK"
0,0.557195899403293,0.839,0.535,0,"0","FAM177A1"
0,0.523831647336088,0.894,0.594,0,"0","YPEL5"
0,0.467225970179329,0.966,0.667,0,"0","CREM"
0,0.506353797946665,0.987,0.693,0,"0","CXCR4"
0,0.677767997682342,0.692,0.421,0,"0","RGCC"
0,0.653450737101952,0.65,0.385,0,"0","SDCBP"
0,1.48877583608411,0.257,0.079,0,"0","GPR183"
2.29963692192752e-291,0.481717130628394,0.781,0.52,4.35206287474782e-287,"0","NDUFS5"
9.26795577384581e-291,0.486444471789684,0.802,0.548,1.75396063020032e-286,"0","HIST1H4C"
3.84418879441602e-285,0.707199661740569,0.456,0.252,7.27512729343232e-281,"0","PDCL3"
8.34970509244677e-283,0.4919359505897,0.76,0.474,1.58018168874555e-278,"0","TENT5C"
1.34930715744017e-280,0.506452204883747,0.733,0.484,2.55356379545552e-276,"0","RGS1"
7.74324762658734e-279,0.902834857588044,0.368,0.193,1.46540961333165e-274,"0","LMNA"
1.88236260135784e-277,0.537429135057473,0.66,0.414,3.56237122306972e-273,"0","SAMSN1"
4.05243671170665e-262,0.718323160974032,0.425,0.234,7.66923647690483e-258,"0","MT1X"
1.26491065033671e-251,0.416321600819683,0.846,0.588,2.39384340576223e-247,"0","LEPROTL1"
1.54361439737058e-245,0.438337451027754,0.854,0.604,2.92129024702383e-241,"0","LDHA"
4.01139813694276e-245,0.614981819444884,0.492,0.292,7.59157097416416e-241,"0","AMD1"
4.24701424748748e-244,0.536056117248647,0.619,0.396,8.03747446337006e-240,"0","RBM38"
6.37708591842037e-242,0.460557995772944,0.713,0.468,1.20686351006105e-237,"0","UBE2B"
2.75175451846516e-235,0.620943150723381,0.451,0.262,5.20769542619532e-231,"0","ISCA1"
4.77911839356202e-234,0.418287688639992,0.855,0.612,9.04448155981613e-230,"0","TUBA4A"
4.10997166666107e-229,0.530098315357352,0.611,0.398,7.77812137915608e-225,"0","MYADM"
6.37228117521453e-217,0.588758139142943,0.484,0.297,1.20595421240935e-212,"0","EIF4A1"
4.65277729964672e-214,0.503291546431532,0.558,0.355,8.80538103958141e-210,"0","GTF2B"
7.89833366391582e-214,0.5576568238261,0.491,0.3,1.49475964589607e-209,"0","KPNA2"
4.2650391430234e-212,0.459184298809625,0.662,0.437,8.07158657817178e-208,"0","ATP1B3"
1.04275150573791e-206,0.624745940984853,0.423,0.252,1.973407224609e-202,"0","JMJD6"
8.20918663548281e-199,0.454817898603587,0.674,0.497,1.55358857076512e-194,"0","ANXA1"
1.15496487489999e-193,0.537017871010453,0.438,0.259,2.18577102574823e-189,"0","CD5"
2.46376422183113e-191,0.503532634024489,0.505,0.319,4.66267378981542e-187,"0","BCAS2"
1.42711130187381e-188,0.455384553396158,0.59,0.383,2.70080813879619e-184,"0","SYAP1"
2.93445475304744e-186,0.331151165122761,0.929,0.712,5.55345562014227e-182,"0","CALM2"
6.55275647522092e-184,0.459259307035727,0.557,0.36,1.24010916293556e-179,"0","JUND"
7.63776877963036e-178,0.357011738295408,0.845,0.609,1.44544774154505e-173,"0","EZR"
1.01208257753856e-176,0.669334365609196,0.316,0.175,1.91536627799172e-172,"0","ENC1"
1.4913964023101e-174,0.509942478521701,0.448,0.28,2.82246769137186e-170,"0","SS18L2"
9.73335732393704e-172,0.599951035391072,0.31,0.168,1.84203787355508e-167,"0","CD28"
9.27186700454719e-170,0.440791811559614,0.545,0.36,1.75470083061056e-165,"0","MAGOH"
4.01803672765835e-167,0.568841703801928,0.382,0.231,7.60413450709343e-163,"0","ALG13"
4.26069398079837e-164,0.370972601655932,0.762,0.537,8.06336335866092e-160,"0","PDCD4"
7.39595045742229e-161,0.379804444368665,0.68,0.459,1.39968362406717e-156,"0","DNAJB6"
7.63987956610561e-161,0.664950129710532,0.284,0.158,1.44584720788549e-156,"0","DCTN6"
2.25091487833052e-160,0.463652453795935,0.497,0.324,4.2598564072405e-156,"0","GABARAPL1"
