"CD8_Cluster","Cluster_Cells","Donors_Represented","Clinical_States_Represented","Largest_Donor_Count","Largest_Donor_Fraction","Program_Naive_Memory","Program_Cytotoxic","Program_Activation","Program_Dysfunction_Associated","Program_Immediate_Early_Response","Program_NK_Like","Program_Nonconventional_T","Program_Tissue_Resident_Associated","Program_Proliferation","Cells","Top50_Genes","Lineage_Conventional_T_CD8_MeanExpression","Lineage_Conventional_T_CD8_PositiveFraction","Lineage_NK_Associated_MeanExpression","Lineage_NK_Associated_PositiveFraction","Lineage_GammaDelta_T_MeanExpression","Lineage_GammaDelta_T_PositiveFraction","Lineage_Treg_Associated_MeanExpression","Lineage_Treg_Associated_PositiveFraction","Lineage_B_Cell_Associated_MeanExpression","Lineage_B_Cell_Associated_PositiveFraction","Lineage_Myeloid_Associated_MeanExpression","Lineage_Myeloid_Associated_PositiveFraction","Program_Naive_Memory_ProgramMatrix","Program_Cytotoxic_ProgramMatrix","Program_Activation_ProgramMatrix","Program_Dysfunction_Associated_ProgramMatrix","Program_Immediate_Early_Response_ProgramMatrix","Program_NK_Like_ProgramMatrix","Program_Nonconventional_T_ProgramMatrix","Program_Tissue_Resident_Associated_ProgramMatrix","Program_Proliferation_ProgramMatrix","Program_Naive_Memory_Z","Program_Cytotoxic_Z","Program_Activation_Z","Program_Dysfunction_Associated_Z","Program_Immediate_Early_Response_Z","Program_NK_Like_Z","Program_Nonconventional_T_Z","Program_Tissue_Resident_Associated_Z","Program_Proliferation_Z","Potential_Noncanonical_Lineage","CD8_Lineage_Evidence","Annotation_Status"
"0",8765,20,5,1230,0.140330861380491,0.0159123850052099,0.711567272462315,0.134453835416491,0.192374452359026,0.447455114659143,0.0521411760401073,-0.0777218030456746,0.00933188753727467,0.0193770371835357,8765,"GPR183;LMNA;ANXA1;FTH1;CXCR4;RGCC;IL7R;MT1X;TUBB2A;SELENOK;PDCL3;YBX3;PLK3;CD5;MT1E;SC5D;VIM;CDKN1A;FAM177A1;LDHA;ENC1;SDCBP;NANS;SYPL1;DHCR7;METRNL;NDUFS5;CREM;S100A10;YPEL5;TAGLN2;HIST1H4C;EIF1AY;ISCA1;RGS1;ZFP36L2;ALG13;CD28;TUBA4A;GZMK;RBM38;CRIP1;UAP1;AMD1;MYADM;SVIP;MCUB;DCTN6;AUTS2;LEPROTL1",1.8849190311392,0.999543639475185,0.446471389897265,0.948545350827153,0.123524725133191,0.460581859669139,0.190128937079712,0.521277809469481,1.20615245894167,0.993496862521392,0.0582293919549965,0.167940673131774,0.0159123850052099,0.711567272462315,0.134453835416491,0.192374452359026,0.447455114659143,0.0521411760401073,-0.0777218030456746,0.00933188753727467,0.0193770371835357,0.471677695288216,-0.524206380020606,-0.180370761775987,0.457529286038506,-0.0447866739373852,-1.16431264842585,-0.826476677943126,-0.369776337155978,1.00944202903912,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"1",6100,22,5,4697,0.77,-0.0553398666496241,1.06228561195551,0.197977668341218,-0.176590147558557,0.138140149310104,0.258051135362642,-0.0257004575159839,-0.0541142451919634,-0.0270681317465292,6100,"SIT1;GIMAP4;GIMAP1;RCSD1;TXNIP;GIMAP2;LINC00861;GIMAP7;TRAF3IP3;PRMT9;PYCARD;GIMAP6;RGS19;CD27;TRG-AS1;DENND2D;PPP1R18;AC116366.3;PTPN6;SASH3;CISD3;TRAC;AC243960.1;POLR2G;ZYX;ARPC5L;PLEKHF1;PTGDR;SIRPG;BATF;CD52;BLOC1S1;LIME1;LCP2;DUSP23;POLD4;UBE2L6;MRPS34;PGLS;C11orf98;NDUFB3;PDLIM2;LSM2;NT5C;HSPA1A;RGS10;GSTO1;CORO1B;PTPRCAP;HLA-DQB1",2.06992524364118,0.999180327868852,0.529262870708939,0.970819672131148,0.158229841337829,0.525245901639344,0.0753409813185696,0.248688524590164,1.35314082185069,0.993770491803279,0.140981509755869,0.311639344262295,-0.0553398666496241,1.06228561195551,0.197977668341218,-0.176590147558557,0.138140149310104,0.258051135362642,-0.0257004575159839,-0.0541142451919634,-0.0270681317465292,0.0559345645873872,1.0522323133673,0.312968294327989,-0.832290816008926,-1.40150136569873,-0.268902530734843,-0.583671892360634,-0.952184822278236,-0.514749481261285,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"2",5632,21,5,3708,0.658380681818182,-0.0989622392501703,0.579073694921611,0.236434605760822,0.329683967991561,0.429915101899946,0.0905777316103908,-0.0597642719458647,0.0385669016003529,0.0100284293346322,5632,"CD38;PDE4D;ATP8A1;PDCD1;ISG15;SRRT;TENT5C;ITK;TNFRSF9;STAT1;LEPROTL1;SURF2;ITGA4;MYH9;NUP98;GSPT1;DYNLT1;ISG20;ETS1;RGS1;MSN;TAF15;SARAF;HIST1H1E;COTL1;AATF;SAT1;GPR18;TBCC;CD28;TRAT1;DCTN6;PPM1G;NONO;NCKAP1L;STK10;HLA-DQA1;SH2D2A;CREM;CHIC2;SPTAN1;AKIRIN1;EPB41;ISCA1;TMX4;MTHFD2;HNRNPLL;SLA2;SDHA;MRPL47",1.55813071136998,0.990944602272727,0.37607748092639,0.890092329545455,0.0940820682232945,0.317826704545455,0.14034067465929,0.368607954545455,1.04254958248401,0.948686079545455,0.0375722150847485,0.0793678977272727,-0.0989622392501703,0.579073694921611,0.236434605760822,0.329683967991561,0.429915101899946,0.0905777316103908,-0.0597642719458647,0.0385669016003529,0.0100284293346322,-0.198593556732955,-1.11974980829522,0.611632722051028,0.937533529005992,-0.121720529941513,-0.99716929673923,-0.742661573895274,-0.101411355389977,0.70264868444214,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"3",3545,22,5,573,0.16163610719323,-0.0161812316450817,0.609053057434962,0.225619565631604,0.0129437414567521,1.14012177359566,0.197817404999018,-0.0256029546258907,0.191240445795543,-0.00523761395673614,3545,"TNF;EGR1;CCL4L2;HSPA1B;ATF3;FOSB;NR4A1;HSPA1A;CCL3;FOS;JUN;PPP1R15A;AC020916.1;CCL4;IFNG;NEU1;DNAJB1;DUSP1;RASGEF1B;KLF6;CITED2;KLF2;DNAJA1;ZFAND2A;TUBB4B;GADD45B;UBE2S;HSPH1;TAGAP;KCNA3;CD69;TNFSF9;IER5;SNHG12;NFKBIA;HSP90AA1;SERTAD1;TXNIP;HSP90AB1;ZFP36L1;TSC22D3;H2AFX;MRPL18;XCL1;RSRP1;RHOB;PTGDR;XCL2;FAM53C;PNP",1.41528870124575,0.977997179125529,0.506917014717215,0.904654442877292,0.155125390180243,0.492524682651622,0.183598960437963,0.463751763046544,1.02492696870365,0.952045133991537,0.0772364946615545,0.189562764456982,-0.0161812316450817,0.609053057434962,0.225619565631604,0.0129437414567521,1.14012177359566,0.197817404999018,-0.0256029546258907,0.191240445795543,-0.00523761395673614,0.284417638913572,-0.984996013733341,0.527640912309357,-0.169721506850867,2.99338198244163,-0.530832025409647,-0.583216806701435,1.30006677681446,0.201662809773051,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"4",3362,16,5,2111,0.6279000594884,-0.210209094356275,0.371175376206863,0.373683477950994,0.596786736713005,0.556452543600535,0.0341407740715242,-0.102984090832109,0.0231556112757166,0.0405547362843225,3362,"GEM;LAYN;SNX9;NBL1;DUSP4;TNFRSF9;AKAP5;VCAM1;CD200R1;ASB2;ID3;CTLA4;PLEKHO1;NAB1;LDLRAD4;GFOD1;PDCD1;LIMS1;SNAP47;GTF3C1;TOX2;RHOB;NFATC1;SLC7A5;PHLDA1;CRTAM;AD000671.2;MIR155HG;HAVCR2;STX11;ICOS;ITM2A;BANP;PTPN11;BCL2L11;LAG3;RGCC;RNF19A;SLA;TIGIT;NR3C1;PDP1;CD82;LGALS3;SRRT;IGFLR1;PRDM1;ITGAE;UTS2;TGIF1",2.0305009851398,1,0.426857796307833,0.972635336109459,0.11572548142595,0.4738251041047,0.273901469523507,0.734681737061273,1.29455588055749,0.996728138013087,0.0591070369284895,0.186198691255205,-0.210209094356275,0.371175376206863,0.373683477950994,0.596786736713005,0.556452543600535,0.0341407740715242,-0.102984090832109,0.0231556112757166,0.0405547362843225,-0.847697476234081,-2.05422889594663,1.67753548547321,1.87126679362379,0.433296929428295,-1.24258832823369,-0.944386053543717,-0.242880438936095,1.70443076351267,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"5",3106,17,5,844,0.271732131358661,-0.0465299351352508,0.628933969413118,0.281260249547431,0.266807698017586,0.44931084916115,0.0408683200835172,-0.0894503319742736,0.181956627274459,-0.0383229997467085,3106,"HIST1H1D;UTY;PDE3B;P2RY8;RELL1;SYNE2;AUTS2;TGFBR3;MTMR6;HSPA13;GPCPD1;STAT4;SPTBN1;CEMIP2;PBX4;GOLGB1;B4GALT1;ITPR1;SYTL3;RNF19A;RALGAPA1;PDE4B;CYP51A1;SLC38A1;SUCO;PTPN22;EML4;MACF1;RFTN1;RANBP2;ATP2B1;DDX3Y;MALAT1;CEP350;VPS13C;PDE4D;KIAA1109;RNF125;CDK17;BRAF;RCOR1;TRPM7;PTPRC;SACM1L;FBXO34;SPAG9;TNFAIP3;BTAF1;HGSNAT;MAP3K2",1.53707375177359,0.977784932388925,0.39847362424509,0.885705086928525,0.14318764288427,0.463618802318094,0.228113779247632,0.533161622665808,1.07049650070902,0.957823567289118,0.0681640791071666,0.16709594333548,-0.0465299351352508,0.628933969413118,0.281260249547431,0.266807698017586,0.44931084916115,0.0408683200835172,-0.0894503319742736,0.181956627274459,-0.0383229997467085,0.107338813912566,-0.895633595596056,0.959757823713944,0.717731745928944,-0.0366470669188908,-1.21333324612795,-0.881218494455373,1.21484527554362,-0.884100581722469,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"6",1942,18,5,256,0.131822863027806,-0.197452989256222,0.719146926704126,0.0896259118758919,0.11501570187933,0.352852883865698,0.583742619273925,0.214550539462536,-0.0839794465853757,0.0341514689360728,1942,"KIR2DL3;KLRF1;KRT86;KIR2DL4;KIR3DL2;TYROBP;TRDC;TRDV1;LYN;TRGV9;FCGR3A;S1PR5;AREG;PLAC8;KLRC3;IFITM3;PRR7;PDE4A;CHPT1;BLVRB;PLCG2;CYSTM1;IFNGR1;MAFF;CMC1;XCL1;VCAM1;PGRMC2;UPP1;CD300A;TERF1;METRNL;FAM177A1;TENT4B;FOSL2;ELL2;KLRB1;IFITM2;CD160;IL2RB;GLUL;FBXO34;KLRD1;CDKN1A;PIK3R1;MOB4;PTP4A1;LITAF;XCL2;IDI1",1.32425206528265,0.97167868177137,0.918718903345256,0.998455200823893,0.391346629763484,0.816683831101957,0.0368960649388949,0.134912461380021,1.05564872693696,0.952626158599382,0.184959450250551,0.429969104016478,-0.197452989256222,0.719146926704126,0.0896259118758919,0.11501570187933,0.352852883865698,0.583742619273925,0.214550539462536,-0.0839794465853757,0.0341514689360728,-0.773268065981403,-0.490136703919383,-0.528513568473852,0.187099896714242,-0.459730180618458,1.14738374749787,0.537677261787176,-1.22633465542311,1.49429468358836,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"7",1703,9,5,1662,0.975924838520258,-0.242848618931559,0.964490747232194,0.108851057039064,0.108846180311768,0.197277125631826,0.244590137655496,0.272477903514435,0.0504122213150789,-0.0203057493338496,1703,"TRBV12-2;TRDV1;S1PR5;KLRB1;ENC1;PCNT;AP002387.2;GZMB;APBA2;TRGV2;TRGV4;GZMH;MGAT4A;TNIP3;KLRF1;CMC1;ADRB2;EOMES;VCAM1;SPON2;SLC25A4;LINC01871;RORA;KLF3;SKAP2;IFNGR1;LMNB1;SATB1;CDKN2D;DHCR7;PRNP;POP4;ARRDC3;KLRD1;PDLIM1;KLRG1;USP36;FCRL6;MYBL1;HLA-DRB5;SH2D2A;ARNTL;C16orf54;PLEK;DYNLT3;HIST1H4C;CXCR4;TERF1;ST3GAL5;FLOT1",1.88103684708316,1,0.699335254883668,0.999412800939518,0.4020622919219,0.974163241338814,0.0412515033686154,0.179095713446858,1.11633736565753,0.998825601879037,0.08357673063043,0.231356429829712,-0.242848618931559,0.964490747232194,0.108851057039064,0.108846180311768,0.197277125631826,0.244590137655496,0.272477903514435,0.0504122213150789,-0.0203057493338496,-1.0381427999447,0.612655617756649,-0.37920716595403,0.165532589336695,-1.14211525901137,-0.327438376115271,0.808047838802583,0.00732363623329023,-0.292828319163003,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"8",1530,19,5,651,0.425490196078431,-0.0238977000641278,0.824570874671965,0.0390177628069472,0.00611416112661787,0.601103525767712,0.462571541905953,0.0411785735742334,0.15128958990833,-0.00709597258412497,1530,"GNLY;ZNF683;KIR2DL3;KLRC2;LINC02446;KIR3DL2;KLRC3;TYROBP;CD300A;TRDV1;XCL1;NCR3;LYN;IFITM3;HOPX;DUSP5;PDE4A;MAFF;RRAS2;DGKD;CDIP1;CD55;PHLDA1;IKZF2;AUTS2;GLUL;LINC01871;CDKN1A;PLCG2;ZFP36L2;SLC16A3;RAB11FIP1;ARL4A;RGCC;MYADM;HIC1;FOSL2;IRF4;LMNA;SEPT11;CHPT1;CD7;LGALS1;ZFP36;LGALS3;CRIP1;TPM4;FAM129A;FBXO34;INSIG1",1.6267537363604,0.994117647058824,0.850440453840237,0.994117647058824,0.343229624609542,0.827450980392157,0.11733061369825,0.360130718954248,0.961012552119548,0.966013071895425,0.0602976148580414,0.172549019607843,-0.0238977000641278,0.824570874671965,0.0390177628069472,0.00611416112661787,0.601103525767712,0.462571541905953,0.0411785735742334,0.15128958990833,-0.00709597258412497,0.239393535618857,-0.0162681545119778,-0.921546786768906,-0.19359623629733,0.62914469075282,0.620465044761141,-0.271520243100484,0.933334929565285,0.140677038632362,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"9",1098,17,5,1006,0.916211293260474,-0.263915566849976,0.871374105989627,0.239221197667571,0.0720085237766605,0.665641680836268,0.386758407859881,0.030275380745889,0.0397461770593835,0.0220202674384015,1098,"KIR3DL2;IRF8;TYROBP;HIC1;MAFF;S1PR5;TUBA4A;ICAM1;GLUL;PRR7;DNAJB6;PLCG2;DUSP5;SLC1A5;IFNGR1;HSPH1;YPEL5;ISG20;CMIP;YES1;TRBV11-2;SMAP2;CHPT1;MCL1;LMNB1;AHSA1;TENT4B;TSC22D3;GABARAPL1;SPON2;CHORDC1;DEDD2;CYSTM1;HSP90AA1;CSRNP1;SERTAD1;JMJD6;AUTS2;HNRNPL;HSPD1;CCNH;STIP1;PER1;ELF1;SLC7A5;TBPL1;CACYBP;ARL4A;MYADM;KLRC3",1.56614134385141,0.989071038251366,0.767091441360762,0.994535519125683,0.154437968650585,0.57103825136612,0.0210376082086607,0.0810564663023679,1.15846343457373,0.992714025500911,0.111624780595845,0.272313296903461,-0.263915566849976,0.871374105989627,0.239221197667571,0.0720085237766605,0.665641680836268,0.386758407859881,0.030275380745889,0.0397461770593835,0.0220202674384015,-1.16106437334763,0.194106999896447,0.633273963735102,0.0367561432442666,0.912221402097441,0.290787706656358,-0.322409880227224,-0.090586108773813,1.09618493916401,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
