"cluster","CD8_State","n_cells","fraction"
"0","CD8_Memory_GPR183",9657,0.218340907549345
"1","CD8_Naive_Memory",6220,0.140631712225011
"2","CD8_PD1_Dysfunctional",5597,0.126545931402473
"3","NK_like",3471,0.0784779217255647
"4","CD8_Activated",3157,0.0713785073142056
"5","CD8_Immediate_Early_Stress",3003,0.0678966289086346
"6","CD8_Memory_P2RY8",2824,0.0638495105021592
"7","GammaDelta_T_like",1704,0.0385267584616428
"8","NK_like",1646,0.0372154016595446
"9","Ig_Associated_Ambiguous",1612,0.0364466752583147
"10","Treg_like",1147,0.0259332112414931
"11","GammaDelta_NK_like_TRM",975,0.022044360035271
"12","Cytotoxic_GammaDelta_like",918,0.020755612833209
"13","GammaDelta_Nonconventional",762,0.0172285152275656
"14","GammaDelta_IL7R",650,0.014696240023514
"15","CD8_Cytotoxic_Effector",480,0.0108526080173642
"16","NK_like_Nonconventional",406,0.0091794976146872
