"CD8_Cluster","Lineage_Conventional_T_CD8_MeanExpression","Lineage_Conventional_T_CD8_PositiveFraction","Lineage_NK_Associated_MeanExpression","Lineage_NK_Associated_PositiveFraction","Lineage_GammaDelta_T_MeanExpression","Lineage_GammaDelta_T_PositiveFraction","Lineage_Treg_Associated_MeanExpression","Lineage_Treg_Associated_PositiveFraction","Lineage_B_Cell_Associated_MeanExpression","Lineage_B_Cell_Associated_PositiveFraction","Lineage_Myeloid_Associated_MeanExpression","Lineage_Myeloid_Associated_PositiveFraction"
"0",1.8849190311392,0.999543639475185,0.446471389897265,0.948545350827153,0.123524725133191,0.460581859669139,0.190128937079712,0.521277809469481,1.20615245894167,0.993496862521392,0.0582293919549965,0.167940673131774
"1",2.06992524364118,0.999180327868852,0.529262870708939,0.970819672131148,0.158229841337829,0.525245901639344,0.0753409813185696,0.248688524590164,1.35314082185069,0.993770491803279,0.140981509755869,0.311639344262295
"10",1.72113729234117,0.994974874371859,1.08818329200074,0.992964824120603,0.437970680759181,0.807035175879397,0.0663260080556774,0.222110552763819,1.06188450341249,0.973869346733668,0.127620169792942,0.283417085427136
"11",1.33505444087622,0.993736951983299,0.76063289212409,0.996868475991649,0.692393427440169,0.995824634655532,0.34411704270383,0.842379958246347,1.0614146498275,0.990605427974948,0.0493167380201543,0.15553235908142
"12",2.28439017415398,1,0.423140577804174,0.991169977924945,0.147863555349262,0.561810154525386,0.214373898657479,0.690949227373068,1.18719032416017,0.998896247240618,0.140232090076337,0.355408388520971
"13",2.00520268752979,0.998714652956298,0.780458206895997,1,0.34673342245097,0.877892030848329,0.0260282313992248,0.0874035989717224,1.15274547208244,0.984575835475578,0.201478781599006,0.437017994858612
"14",1.8661389563817,1,0.982760537875926,1,0.203604843763306,0.766544117647059,0.0398268304792616,0.176470588235294,1.26102858803728,0.998161764705882,0.0434206821900957,0.139705882352941
"15",1.41336917319383,0.993690851735016,0.843229719780221,0.996845425867508,0.827852479554125,1,0.198861815246874,0.577287066246057,1.14544117556009,0.987381703470032,0.0737825746415917,0.189274447949527
"2",1.55813071136998,0.990944602272727,0.37607748092639,0.890092329545455,0.0940820682232945,0.317826704545455,0.14034067465929,0.368607954545455,1.04254958248401,0.948686079545455,0.0375722150847485,0.0793678977272727
"3",1.41528870124575,0.977997179125529,0.506917014717215,0.904654442877292,0.155125390180243,0.492524682651622,0.183598960437963,0.463751763046544,1.02492696870365,0.952045133991537,0.0772364946615545,0.189562764456982
"4",2.0305009851398,1,0.426857796307833,0.972635336109459,0.11572548142595,0.4738251041047,0.273901469523507,0.734681737061273,1.29455588055749,0.996728138013087,0.0591070369284895,0.186198691255205
"5",1.53707375177359,0.977784932388925,0.39847362424509,0.885705086928525,0.14318764288427,0.463618802318094,0.228113779247632,0.533161622665808,1.07049650070902,0.957823567289118,0.0681640791071666,0.16709594333548
"6",1.32425206528265,0.97167868177137,0.918718903345256,0.998455200823893,0.391346629763484,0.816683831101957,0.0368960649388949,0.134912461380021,1.05564872693696,0.952626158599382,0.184959450250551,0.429969104016478
"7",1.88103684708316,1,0.699335254883668,0.999412800939518,0.4020622919219,0.974163241338814,0.0412515033686154,0.179095713446858,1.11633736565753,0.998825601879037,0.08357673063043,0.231356429829712
"8",1.6267537363604,0.994117647058824,0.850440453840237,0.994117647058824,0.343229624609542,0.827450980392157,0.11733061369825,0.360130718954248,0.961012552119548,0.966013071895425,0.0602976148580414,0.172549019607843
"9",1.56614134385141,0.989071038251366,0.767091441360762,0.994535519125683,0.154437968650585,0.57103825136612,0.0210376082086607,0.0810564663023679,1.15846343457373,0.992714025500911,0.111624780595845,0.272313296903461
