"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.60946779768943,0.839,0.228,0,"4","DUSP4"
0,2.5452703610317,0.724,0.176,0,"4","TNFRSF9"
0,3.02857919805588,0.575,0.082,0,"4","SNX9"
0,1.68065144073474,0.749,0.266,0,"4","PDCD1"
0,1.18720602090869,0.883,0.463,0,"4","RGCC"
0,1.16549070908795,0.769,0.366,0,"4","SRRT"
0,2.16000441901908,0.508,0.116,0,"4","VCAM1"
0,3.50694063269873,0.425,0.036,0,"4","GEM"
0,1.52716209527594,0.675,0.288,0,"4","SLC7A5"
0,1.1862683032093,0.803,0.417,0,"4","RNF19A"
0,1.18253052989869,0.773,0.395,0,"4","SLA"
0,1.1771582737778,0.847,0.476,0,"4","NR3C1"
0,1.18067643741718,0.706,0.343,0,"4","TIGIT"
0,1.25601725671461,0.904,0.546,0,"4","ITM2A"
0,3.11451796021023,0.384,0.033,0,"4","LAYN"
0,1.96228972453056,0.427,0.081,0,"4","CTLA4"
0,1.36937920542446,0.525,0.183,0,"4","ICOS"
0,1.21630339790921,0.667,0.329,0,"4","LAG3"
0,1.03850791357901,0.825,0.5,0,"4","TNFRSF1B"
0,2.49403062189036,0.381,0.058,0,"4","AKAP5"
0,1.6304597683954,0.458,0.154,0,"4","LIMS1"
0,0.872121252127378,0.907,0.603,0,"4","COTL1"
0,1.78013840429261,0.382,0.102,0,"4","GFOD1"
0,1.54989611849862,0.401,0.124,0,"4","RHOB"
0,1.88319190172271,0.377,0.105,0,"4","PLEKHO1"
0,2.83921438824686,0.314,0.044,0,"4","NBL1"
0,0.702222798581684,0.993,0.723,0,"4","CREM"
0,1.52378599544986,0.405,0.139,0,"4","PHLDA1"
0,1.9725229492165,0.34,0.075,0,"4","ASB2"
0,1.8752882191859,0.341,0.078,0,"4","NAB1"
0,1.59801288229104,0.373,0.112,0,"4","GTF3C1"
0,1.98908501783139,0.337,0.089,0,"4","CD200R1"
0,1.96563252650208,0.291,0.076,0,"4","ID3"
5.0597296819171e-309,1.39358669763691,0.443,0.172,1.23720510182237e-304,"4","STX11"
1.48939014834091e-308,0.587595240589785,0.998,0.948,3.6418567907232e-304,"4","UBC"
3.02781419380393e-297,0.931261620136815,0.682,0.345,7.40361126668938e-293,"4","LYST"
2.46019265477232e-296,1.45111448233451,0.304,0.092,6.01566307944927e-292,"4","AD000671.2"
5.11787240037698e-292,1.03076922494514,0.496,0.205,1.25142215934018e-287,"4","PDE4D"
2.10902847671093e-291,0.92318662348261,0.818,0.515,5.15699643125357e-287,"4","CEMIP2"
4.87635526986489e-284,0.604381231929644,0.985,0.753,1.19236639058736e-279,"4","CD8A"
8.11014336993425e-283,1.83864598310222,0.202,0.047,1.98309225681632e-278,"4","LDLRAD4"
7.04831348766245e-277,1.59018687955651,0.236,0.063,1.72345361400322e-272,"4","TOX2"
2.65834342337104e-267,1.49705963235429,0.522,0.25,6.50018133882687e-263,"4","CRTAM"
7.90822744086697e-262,1.54191390172471,0.269,0.082,1.93371977384079e-257,"4","NFATC1"
8.58658955416199e-260,1.03469187371459,0.617,0.322,2.09959287778369e-255,"4","ZBTB1"
2.17137697096332e-259,1.00457402896755,0.532,0.243,5.30945096939951e-255,"4","TOX"
6.61321047521976e-257,1.40231695044893,0.222,0.059,1.61706222540073e-252,"4","HAVCR2"
