"CD8_Cluster","Phase","Cells"
"0","AC",1272
"0","AR",1363
"0","IA",2680
"0","IT",2741
"0","NL",709
"1","AC",931
"1","AR",4760
"1","IA",239
"1","IT",71
"1","NL",99
"10","AC",212
"10","AR",669
"10","IA",42
"10","IT",27
"10","NL",45
"11","AC",71
"11","AR",95
"11","IA",449
"11","IT",271
"11","NL",72
"12","AC",38
"12","AR",770
"12","IA",74
"12","IT",20
"12","NL",4
"13","AC",1
"13","AR",775
"13","IA",1
"13","NL",1
"14","AR",1
"14","IA",10
"14","IT",528
"14","NL",5
"15","AC",91
"15","AR",166
"15","IA",31
"15","IT",19
"15","NL",10
"2","AC",76
"2","AR",155
"2","IA",4053
"2","IT",168
"2","NL",1180
"3","AC",276
"3","AR",428
"3","IA",1675
"3","IT",604
"3","NL",562
"4","AC",24
"4","AR",100
"4","IA",3023
"4","IT",205
"4","NL",10
"5","AC",330
"5","AR",708
"5","IA",1530
"5","IT",470
"5","NL",68
"6","AC",414
"6","AR",89
"6","IA",571
"6","IT",472
"6","NL",396
"7","AC",1694
"7","AR",1
"7","IA",3
"7","IT",3
"7","NL",2
"8","AC",36
"8","AR",78
"8","IA",953
"8","IT",227
"8","NL",236
"9","AC",7
"9","AR",5
"9","IA",38
"9","IT",26
"9","NL",1022
