"CD8_Cluster","Phase","Cells","Proportion_Within_CD8"
"0","AC",1272,0.232413667093002
"0","AR",1363,0.134113942733445
"0","IA",2680,0.174342961228207
"0","IT",2741,0.468386876281613
"0","NL",709,0.160370956797105
"1","AC",931,0.170107801936781
"1","AR",4760,0.468365640066909
"1","IA",239,0.0155477491543065
"1","IT",71,0.0121326042378674
"1","NL",99,0.0223931237276634
"10","AC",212,0.038735611182167
"10","AR",669,0.0658270195808324
"10","IA",42,0.00273224043715847
"10","IT",27,0.00461380724538619
"10","NL",45,0.0101786926034834
"11","AC",71,0.0129727754430842
"11","AR",95,0.00934763357276395
"11","IA",449,0.0292089513400989
"11","IT",271,0.046308954203691
"11","NL",72,0.0162859081655734
"12","AC",38,0.00694317558925635
"12","AR",770,0.0757650300108236
"12","IA",74,0.00481394743689826
"12","IT",20,0.00341763499658236
"12","NL",4,0.000904772675865189
"13","AC",1,0.000182715147085693
"13","AR",775,0.0762570107251796
"13","IA",1,6.50533437418683e-05
"13","NL",1,0.000226193168966297
"14","AR",1,9.83961428711994e-05
"14","IA",10,0.000650533437418683
"14","IT",528,0.0902255639097744
"14","NL",5,0.00113096584483149
"15","AC",91,0.0166270783847981
"15","AR",166,0.0163337597166191
"15","IA",31,0.00201665365599792
"15","IT",19,0.00324675324675325
"15","NL",10,0.00226193168966297
"2","AC",76,0.0138863511785127
"2","AR",155,0.0152514021450359
"2","IA",4053,0.263661202185792
"2","IT",168,0.0287081339712919
"2","NL",1180,0.266907939380231
"3","AC",276,0.0504293805956514
"3","AR",428,0.0421135491488734
"3","IA",1675,0.108964350767629
"3","IT",604,0.103212576896787
"3","NL",562,0.127120560959059
"4","AC",24,0.00438516353005664
"4","AR",100,0.00983961428711994
"4","IA",3023,0.196656258131668
"4","IT",205,0.0350307587149692
"4","NL",10,0.00226193168966297
"5","AC",330,0.0602959985382788
"5","AR",708,0.0696644691528092
"5","IA",1530,0.0995316159250585
"5","IT",470,0.0803144224196856
"5","NL",68,0.0153811354897082
"6","AC",414,0.0756440708934771
"6","AR",89,0.00875725671553675
"6","IA",571,0.0371454592766068
"6","IT",472,0.0806561859193438
"6","NL",396,0.0895724949106537
"7","AC",1694,0.309519459163165
"7","AR",1,9.83961428711994e-05
"7","IA",3,0.000195160031225605
"7","IT",3,0.000512645249487355
"7","NL",2,0.000452386337932594
"8","AC",36,0.00657774529508496
"8","AR",78,0.00767489914395356
"8","IA",953,0.0619958365860005
"8","IT",227,0.0387901572112098
"8","NL",236,0.0533815878760461
"9","AC",7,0.00127900602959985
"9","AR",5,0.000491980714355997
"9","IA",38,0.002472027062191
"9","IT",26,0.00444292549555707
"9","NL",1022,0.231169418683556
