"cluster","n_cells","fraction"
"0",9657,0.218340907549345
"1",6220,0.140631712225011
"2",5597,0.126545931402473
"3",3471,0.0784779217255647
"4",3157,0.0713785073142056
"5",3003,0.0678966289086346
"6",2824,0.0638495105021592
"7",1704,0.0385267584616428
"8",1646,0.0372154016595446
"9",1612,0.0364466752583147
"10",1147,0.0259332112414931
"11",975,0.022044360035271
"12",918,0.020755612833209
"13",762,0.0172285152275656
"14",650,0.014696240023514
"15",480,0.0108526080173642
"16",406,0.0091794976146872
