"Donor","Phase","CD8_Cluster","Cells","Total_CD8_Cells","Proportion_of_Donor_CD8","Percentage_of_Donor_CD8"
"D528848","NL","0",201,1634,0.123011015911873,12.3011015911873
"D528848","NL","1",9,1634,0.00550795593635251,0.550795593635251
"D528848","NL","10",8,1634,0.00489596083231334,0.489596083231334
"D528848","NL","11",13,1634,0.00795593635250918,0.795593635250918
"D528848","NL","14",1,1634,0.000611995104039168,0.0611995104039168
"D528848","NL","15",1,1634,0.000611995104039168,0.0611995104039168
"D528848","NL","2",27,1634,0.0165238678090575,1.65238678090575
"D528848","NL","3",190,1634,0.116279069767442,11.6279069767442
"D528848","NL","4",4,1634,0.00244798041615667,0.244798041615667
"D528848","NL","5",27,1634,0.0165238678090575,1.65238678090575
"D528848","NL","6",29,1634,0.0177478580171359,1.77478580171359
"D528848","NL","8",118,1634,0.0722154222766218,7.22154222766218
"D528848","NL","9",1006,1634,0.615667074663403,61.5667074663403
"D529074","NL","0",173,472,0.366525423728814,36.6525423728814
"D529074","NL","1",37,472,0.0783898305084746,7.83898305084746
"D529074","NL","10",6,472,0.0127118644067797,1.27118644067797
"D529074","NL","11",6,472,0.0127118644067797,1.27118644067797
"D529074","NL","12",1,472,0.00211864406779661,0.211864406779661
"D529074","NL","14",3,472,0.00635593220338983,0.635593220338983
"D529074","NL","2",71,472,0.150423728813559,15.0423728813559
"D529074","NL","3",73,472,0.154661016949153,15.4661016949153
"D529074","NL","4",2,472,0.00423728813559322,0.423728813559322
"D529074","NL","5",36,472,0.076271186440678,7.6271186440678
"D529074","NL","6",56,472,0.11864406779661,11.864406779661
"D529074","NL","8",6,472,0.0127118644067797,1.27118644067797
"D529074","NL","9",2,472,0.00423728813559322,0.423728813559322
"D529351","NL","0",1,25,0.04,4
"D529351","NL","1",1,25,0.04,4
"D529351","NL","2",12,25,0.48,48
"D529351","NL","3",6,25,0.24,24
"D529351","NL","8",2,25,0.08,8
"D529351","NL","9",3,25,0.12,12
"D529354","NL","0",103,979,0.105209397344229,10.5209397344229
"D529354","NL","1",25,979,0.0255362614913177,2.55362614913177
"D529354","NL","10",14,979,0.0143003064351379,1.43003064351379
"D529354","NL","11",7,979,0.00715015321756895,0.715015321756895
"D529354","NL","12",1,979,0.00102145045965271,0.102145045965271
"D529354","NL","14",1,979,0.00102145045965271,0.102145045965271
"D529354","NL","2",486,979,0.496424923391216,49.6424923391216
"D529354","NL","3",113,979,0.115423901940756,11.5423901940756
"D529354","NL","4",4,979,0.00408580183861083,0.408580183861083
"D529354","NL","5",3,979,0.00306435137895812,0.306435137895812
"D529354","NL","6",160,979,0.163432073544433,16.3432073544433
"D529354","NL","7",1,979,0.00102145045965271,0.102145045965271
"D529354","NL","8",61,979,0.0623084780388151,6.23084780388151
"D529409","NL","0",58,846,0.0685579196217494,6.85579196217494
"D529409","NL","1",7,846,0.008274231678487,0.8274231678487
"D529409","NL","10",1,846,0.00118203309692671,0.118203309692671
"D529409","NL","11",4,846,0.00472813238770686,0.472813238770686
"D529409","NL","12",2,846,0.00236406619385343,0.236406619385343
"D529409","NL","2",574,846,0.678486997635934,67.8486997635934
"D529409","NL","3",53,846,0.0626477541371158,6.26477541371158
"D529409","NL","6",133,846,0.157210401891253,15.7210401891253
"D529409","NL","8",7,846,0.008274231678487,0.8274231678487
"D529409","NL","9",7,846,0.008274231678487,0.8274231678487
"Dhc570","NL","0",173,465,0.372043010752688,37.2043010752688
"Dhc570","NL","1",20,465,0.043010752688172,4.3010752688172
"Dhc570","NL","10",16,465,0.0344086021505376,3.44086021505376
"Dhc570","NL","11",42,465,0.0903225806451613,9.03225806451613
"Dhc570","NL","13",1,465,0.0021505376344086,0.21505376344086
"Dhc570","NL","15",9,465,0.0193548387096774,1.93548387096774
"Dhc570","NL","2",10,465,0.021505376344086,2.1505376344086
"Dhc570","NL","3",127,465,0.273118279569892,27.3118279569892
