"Donor","Phase","CD8_State","n_cells","donor_total","proportion","percentage"
"D528848","NL","CD8_Activated",6,1582,0.00379266750948167,0.379266750948167
"D528848","NL","CD8_Immediate_Early_Stress",46,1582,0.0290771175726928,2.90771175726928
"D528848","NL","CD8_Memory_GPR183",358,1582,0.22629582806574,22.629582806574
"D528848","NL","CD8_Memory_P2RY8",30,1582,0.0189633375474083,1.89633375474083
"D528848","NL","CD8_Naive_Memory",9,1582,0.0056890012642225,0.56890012642225
"D528848","NL","CD8_PD1_Dysfunctional",31,1582,0.0195954487989886,1.95954487989886
"D528848","NL","Cytotoxic_GammaDelta_like",2,1582,0.00126422250316056,0.126422250316056
"D528848","NL","GammaDelta_IL7R",9,1582,0.0056890012642225,0.56890012642225
"D528848","NL","GammaDelta_NK_like_TRM",4,1582,0.00252844500632111,0.252844500632111
"D528848","NL","NK_like",1069,1582,0.675726927939317,67.5726927939317
"D528848","NL","NK_like_Nonconventional",13,1582,0.00821744627054362,0.821744627054361
"D528848","NL","Treg_like",5,1582,0.00316055625790139,0.316055625790139
"D529074","NL","CD8_Cytotoxic_Effector",1,1765,0.00056657223796034,0.056657223796034
"D529074","NL","CD8_Immediate_Early_Stress",16,1765,0.00906515580736544,0.906515580736544
"D529074","NL","CD8_Memory_GPR183",38,1765,0.0215297450424929,2.15297450424929
"D529074","NL","CD8_Memory_P2RY8",49,1765,0.0277620396600567,2.77620396600567
"D529074","NL","CD8_Naive_Memory",6,1765,0.00339943342776204,0.339943342776204
"D529074","NL","CD8_PD1_Dysfunctional",20,1765,0.0113314447592068,1.13314447592068
"D529074","NL","Cytotoxic_GammaDelta_like",1,1765,0.00056657223796034,0.056657223796034
"D529074","NL","GammaDelta_IL7R",4,1765,0.00226628895184136,0.226628895184136
"D529074","NL","GammaDelta_NK_like_TRM",2,1765,0.00113314447592068,0.113314447592068
"D529074","NL","Ig_Associated_Ambiguous",1598,1765,0.905382436260623,90.5382436260623
"D529074","NL","NK_like",14,1765,0.00793201133144476,0.793201133144476
"D529074","NL","NK_like_Nonconventional",6,1765,0.00339943342776204,0.339943342776204
"D529074","NL","Treg_like",10,1765,0.0056657223796034,0.56657223796034
"D529351","NL","CD8_Immediate_Early_Stress",20,40,0.5,50
"D529351","NL","CD8_Memory_GPR183",1,40,0.025,2.5
"D529351","NL","CD8_PD1_Dysfunctional",12,40,0.3,30
"D529351","NL","NK_like",7,40,0.175,17.5
"D529354","NL","CD8_Activated",1,1086,0.000920810313075506,0.0920810313075506
"D529354","NL","CD8_Immediate_Early_Stress",132,1086,0.121546961325967,12.1546961325967
"D529354","NL","CD8_Memory_GPR183",94,1086,0.0865561694290976,8.65561694290976
"D529354","NL","CD8_Memory_P2RY8",3,1086,0.00276243093922652,0.276243093922652
"D529354","NL","CD8_Naive_Memory",37,1086,0.0340699815837937,3.40699815837937
"D529354","NL","CD8_PD1_Dysfunctional",505,1086,0.465009208103131,46.5009208103131
"D529354","NL","Cytotoxic_GammaDelta_like",1,1086,0.000920810313075506,0.0920810313075506
"D529354","NL","GammaDelta_IL7R",7,1086,0.00644567219152855,0.644567219152855
"D529354","NL","GammaDelta_NK_like_TRM",18,1086,0.0165745856353591,1.65745856353591
"D529354","NL","GammaDelta_T_like",1,1086,0.000920810313075506,0.0920810313075506
"D529354","NL","Ig_Associated_Ambiguous",1,1086,0.000920810313075506,0.0920810313075506
"D529354","NL","NK_like",257,1086,0.236648250460405,23.6648250460405
"D529354","NL","NK_like_Nonconventional",3,1086,0.00276243093922652,0.276243093922652
"D529354","NL","Treg_like",26,1086,0.0239410681399632,2.39410681399632
"D529409","NL","CD8_Immediate_Early_Stress",32,866,0.0369515011547344,3.69515011547344
"D529409","NL","CD8_Memory_GPR183",56,866,0.0646651270207852,6.46651270207852
"D529409","NL","CD8_Naive_Memory",8,866,0.0092378752886836,0.92378752886836
"D529409","NL","CD8_PD1_Dysfunctional",585,866,0.675519630484988,67.5519630484988
"D529409","NL","Cytotoxic_GammaDelta_like",3,866,0.00346420323325635,0.346420323325635
"D529409","NL","GammaDelta_IL7R",5,866,0.00577367205542725,0.577367205542725
"D529409","NL","GammaDelta_NK_like_TRM",1,866,0.00115473441108545,0.115473441108545
"D529409","NL","Ig_Associated_Ambiguous",3,866,0.00346420323325635,0.346420323325635
"D529409","NL","NK_like",165,866,0.190531177829099,19.0531177829099
"D529409","NL","NK_like_Nonconventional",1,866,0.00115473441108545,0.115473441108545
"D529409","NL","Treg_like",7,866,0.00808314087759815,0.808314087759815
"Dhc570","NL","CD8_Cytotoxic_Effector",1,528,0.00189393939393939,0.189393939393939
"Dhc570","NL","CD8_Immediate_Early_Stress",175,528,0.331439393939394,33.1439393939394
"Dhc570","NL","CD8_Memory_GPR183",197,528,0.373106060606061,37.3106060606061
"Dhc570","NL","CD8_Memory_P2RY8",2,528,0.00378787878787879,0.378787878787879
"Dhc570","NL","CD8_Naive_Memory",22,528,0.0416666666666667,4.16666666666667
"Dhc570","NL","CD8_PD1_Dysfunctional",8,528,0.0151515151515152,1.51515151515152
"Dhc570","NL","Cytotoxic_GammaDelta_like",13,528,0.0246212121212121,2.46212121212121
"Dhc570","NL","GammaDelta_IL7R",31,528,0.0587121212121212,5.87121212121212
"Dhc570","NL","GammaDelta_NK_like_TRM",13,528,0.0246212121212121,2.46212121212121
"Dhc570","NL","GammaDelta_T_like",1,528,0.00189393939393939,0.189393939393939
"Dhc570","NL","NK_like",64,528,0.121212121212121,12.1212121212121
"Dhc570","NL","NK_like_Nonconventional",1,528,0.00189393939393939,0.189393939393939
"P190326","IT","CD8_Activated",12,200,0.06,6
"P190326","IT","CD8_Immediate_Early_Stress",35,200,0.175,17.5
"P190326","IT","CD8_Memory_GPR183",64,200,0.32,32
"P190326","IT","CD8_Naive_Memory",5,200,0.025,2.5
"P190326","IT","CD8_PD1_Dysfunctional",33,200,0.165,16.5
"P190326","IT","Cytotoxic_GammaDelta_like",4,200,0.02,2
"P190326","IT","GammaDelta_IL7R",16,200,0.08,8
"P190326","IT","NK_like",27,200,0.135,13.5
"P190326","IT","Treg_like",4,200,0.02,2
"P190402","IT","CD8_Activated",25,2087,0.0119789171058936,1.19789171058936
"P190402","IT","CD8_Cytotoxic_Effector",62,2087,0.0297077144226162,2.97077144226162
"P190402","IT","CD8_Immediate_Early_Stress",196,2087,0.093914710110206,9.3914710110206
"P190402","IT","CD8_Memory_GPR183",1163,2087,0.557259223766172,55.7259223766172
"P190402","IT","CD8_Memory_P2RY8",180,2087,0.0862482031624341,8.62482031624341
"P190402","IT","CD8_Naive_Memory",18,2087,0.00862482031624341,0.862482031624341
"P190402","IT","CD8_PD1_Dysfunctional",33,2087,0.0158121705797796,1.58121705797796
"P190402","IT","Cytotoxic_GammaDelta_like",8,2087,0.00383325347388596,0.383325347388596
"P190402","IT","GammaDelta_IL7R",21,2087,0.0100622903689506,1.00622903689506
"P190402","IT","GammaDelta_NK_like_TRM",6,2087,0.00287494010541447,0.287494010541447
"P190402","IT","NK_like",307,2087,0.147101102060374,14.7101102060374
"P190402","IT","NK_like_Nonconventional",22,2087,0.0105414470531864,1.05414470531864
"P190402","IT","Treg_like",46,2087,0.0220412074748443,2.20412074748443
"P190604","IT","CD8_Activated",28,758,0.0369393139841689,3.69393139841689
"P190604","IT","CD8_Cytotoxic_Effector",1,758,0.00131926121372032,0.131926121372032
"P190604","IT","CD8_Immediate_Early_Stress",55,758,0.0725593667546174,7.25593667546174
"P190604","IT","CD8_Memory_GPR183",407,758,0.536939313984169,53.6939313984169
"P190604","IT","CD8_Memory_P2RY8",19,758,0.025065963060686,2.5065963060686
"P190604","IT","CD8_Naive_Memory",25,758,0.0329815303430079,3.29815303430079
"P190604","IT","CD8_PD1_Dysfunctional",26,758,0.0343007915567282,3.43007915567282
"P190604","IT","Cytotoxic_GammaDelta_like",6,758,0.0079155672823219,0.79155672823219
"P190604","IT","GammaDelta_IL7R",43,758,0.0567282321899736,5.67282321899736
"P190604","IT","GammaDelta_NK_like_TRM",8,758,0.0105540897097625,1.05540897097625
"P190604","IT","NK_like",127,758,0.16754617414248,16.754617414248
"P190604","IT","Treg_like",13,758,0.0171503957783641,1.71503957783641
"P190716","AR","CD8_Activated",5,1698,0.00294464075382803,0.294464075382803
"P190716","AR","CD8_Cytotoxic_Effector",62,1698,0.0365135453474676,3.65135453474676
"P190716","AR","CD8_Immediate_Early_Stress",126,1698,0.0742049469964664,7.42049469964664
"P190716","AR","CD8_Memory_GPR183",933,1698,0.549469964664311,54.9469964664311
"P190716","AR","CD8_Memory_P2RY8",216,1698,0.127208480565371,12.7208480565371
"P190716","AR","CD8_Naive_Memory",17,1698,0.0100117785630153,1.00117785630153
"P190716","AR","CD8_PD1_Dysfunctional",77,1698,0.0453474676089517,4.53474676089517
"P190716","AR","Cytotoxic_GammaDelta_like",4,1698,0.00235571260306243,0.235571260306243
"P190716","AR","GammaDelta_IL7R",61,1698,0.035924617196702,3.5924617196702
"P190716","AR","GammaDelta_NK_like_TRM",4,1698,0.00235571260306243,0.235571260306243
"P190716","AR","GammaDelta_T_like",1,1698,0.000588928150765607,0.0588928150765607
"P190716","AR","NK_like",148,1698,0.0871613663133098,8.71613663133098
