"Phase","CD8_State","n_donors","mean_percentage","median_percentage","sd_percentage"
"AC","CD8_Activated",2,0.41616055880891,0.41616055880891,0.131161652067264
"AC","CD8_Cytotoxic_Effector",3,1.60058797184533,0.74385510996119,2.09337070061789
"AC","CD8_Immediate_Early_Stress",3,4.98748167225393,4.52781371280724,2.5325720214987
"AC","CD8_Memory_GPR183",2,30.7095549871786,30.7095549871786,8.02879227255041
"AC","CD8_Memory_P2RY8",2,9.5988087126262,9.5988087126262,6.57687817284753
"AC","CD8_Naive_Memory",3,23.268616356175,1.86598812553011,37.7924424095864
"AC","CD8_PD1_Dysfunctional",2,1.7677702835411,1.7677702835411,0.258851263951144
"AC","Cytotoxic_GammaDelta_like",3,5.21180025073725,0.508905852417303,8.36324426581222
"AC","GammaDelta_IL7R",2,1.16945204292014,1.16945204292014,1.10500103445251
"AC","GammaDelta_NK_like_TRM",3,5.44922320944308,1.27226463104326,8.30248498093251
"AC","GammaDelta_T_like",2,28.3277757478601,28.3277757478601,35.8632655634731
"AC","NK_like",2,15.1147260104875,15.1147260104875,12.0906719527861
"AC","NK_like_Nonconventional",3,1.06802566783808,0.485122897800776,1.05870050299757
"AC","Treg_like",2,0.517148964138486,0.517148964138486,0.228242999094275
"AR","CD8_Activated",2,2.32017110579176,2.32017110579176,2.86478235579887
"AR","CD8_Cytotoxic_Effector",3,1.71966789245104,1.47849462365591,1.82310357571771
"AR","CD8_Immediate_Early_Stress",3,5.19298438917307,5.28673835125448,2.27583608940893
"AR","CD8_Memory_GPR183",2,51.9358638246134,51.9358638246134,4.25838462016292
"AR","CD8_Memory_P2RY8",2,17.068309332928,17.068309332928,6.14823869896393
"AR","CD8_Naive_Memory",3,24.0383352919962,2.68817204301075,38.4498005914202
"AR","CD8_PD1_Dysfunctional",2,3.99228377471282,3.99228377471282,0.767158512144492
"AR","Cytotoxic_GammaDelta_like",3,3.14202974979197,0.896057347670251,4.47434001138642
"AR","GammaDelta_IL7R",2,2.40106956951252,2.40106956951252,1.68488293685783
"AR","GammaDelta_NK_like_TRM",3,3.15954161885091,0.235571260306243,5.23054528050772
"AR","GammaDelta_Nonconventional",1,11.1078717201166,11.1078717201166,NA
"AR","GammaDelta_T_like",1,0.0588928150765607,0.0588928150765607,NA
"AR","NK_like",2,6.53100738376585,6.53100738376585,3.09023941744472
"AR","NK_like_Nonconventional",3,0.497483665593381,0.403225806451613,0.521881630584515
"AR","Treg_like",3,2.36189921952943,1.53121319199058,2.82658961721759
"IA","CD8_Activated",4,17.7152733256136,12.4279756666794,20.3911320657856
"IA","CD8_Cytotoxic_Effector",4,1.213398232122,1.06688376809889,0.320963690222613
"IA","CD8_Immediate_Early_Stress",5,7.92432626888874,7.94726930320151,3.76150050112453
"IA","CD8_Memory_GPR183",4,23.8522511211365,26.3477083211132,14.9117643799875
"IA","CD8_Memory_P2RY8",4,8.68383155514348,7.97720301886554,7.19622493857603
"IA","CD8_Naive_Memory",5,13.4588513604587,2.29755178907721,25.6214075503617
"IA","CD8_PD1_Dysfunctional",4,18.4607287813589,4.10088747448629,30.0730578423538
"IA","Cytotoxic_GammaDelta_like",5,6.88638828832306,0.376647834274953,14.7848095860253
"IA","GammaDelta_IL7R",4,2.17703567964492,1.81100785166611,1.39567447938911
"IA","GammaDelta_NK_like_TRM",5,1.01346904334896,0.225988700564972,1.55531482421523
"IA","GammaDelta_T_like",2,0.0481000594766184,0.0481000594766184,0.0383880992462503
"IA","Ig_Associated_Ambiguous",1,0.0341471743213249,0.0341471743213249,NA
"IA","NK_like",4,11.3984325271204,8.66573614008959,8.7507549618024
"IA","NK_like_Nonconventional",4,0.91426855254536,0.453856109472298,1.11990632045767
