"CD8_Cluster","CD8_Biological_Annotation","CD8_Biological_Class","CD8_Annotation_Confidence","Donor_Representation_Note"
0,"GZMK-associated memory-like CD8 T-cell","Conventional_CD8_associated","Moderate","Broad donor representation"
1,"Memory-associated conventional T-cell","Conventional_T_associated","Moderate","Broad donor representation with donor concentration"
2,"Activated/dysfunction-associated CD8 T-cell","Conventional_CD8_associated","High","Broad donor representation with donor concentration"
3,"Immediate-early-response CD8-associated population","Transcriptional_program","High","Broad donor representation"
4,"Activated/dysfunction-associated CD8 T-cell","Conventional_CD8_associated","High","Broad donor representation with donor concentration"
5,"Activation/tissue-associated CD8-associated population","Conventional_CD8_associated","Moderate","Broad donor representation"
6,"NK-like cytotoxic nonconventional T-cell population","Noncanonical_T_associated","High","Broad donor representation"
7,"Gamma-delta-like cytotoxic T-cell population","GammaDelta_associated","High","Strongly donor concentrated"
8,"NK-like/nonconventional cytotoxic T-cell population","Noncanonical_T_associated","High","Broad donor representation"
9,"NK-like cytotoxic population","NK_associated","High","Strongly donor concentrated"
10,"NK/gamma-delta-like nonconventional T-cell population","Noncanonical_T_associated","High","Broad donor representation with donor concentration"
11,"Gamma-delta-like T-cell population","GammaDelta_associated","High","Broad donor representation"
12,"Activated/dysfunction-associated tissue-associated CD8 T-cell","Conventional_CD8_associated","High","Donor concentrated"
13,"Gamma-delta-like cytotoxic T-cell population","GammaDelta_associated","High","Extremely donor concentrated"
14,"NK-like cytotoxic population","NK_associated","High","Strongly donor concentrated"
15,"Gamma-delta-like nonconventional T-cell population","GammaDelta_associated","High","Moderately donor concentrated"
