"CD8_Cluster","Cells","Cluster_Cells","Donors_Represented","Clinical_States_Represented","Largest_Donor_Count","Largest_Donor_Fraction"
"0",8765,8765,20,5,1230,0.140330861380491
"1",6100,6100,22,5,4697,0.77
"2",5632,5632,21,5,3708,0.658380681818182
"3",3545,3545,22,5,573,0.16163610719323
"4",3362,3362,16,5,2111,0.6279000594884
"5",3106,3106,17,5,844,0.271732131358661
"6",1942,1942,18,5,256,0.131822863027806
"7",1703,1703,9,5,1662,0.975924838520258
"8",1530,1530,19,5,651,0.425490196078431
"9",1098,1098,17,5,1006,0.916211293260474
"10",995,995,20,5,662,0.665326633165829
"11",958,958,18,5,214,0.223382045929019
"12",906,906,15,5,723,0.798013245033113
"13",778,778,4,4,775,0.996143958868895
"14",544,544,12,4,523,0.961397058823529
"15",317,317,17,5,159,0.501577287066246
