"Donor","Phase","CD8_Cluster","CD8_Biological_Annotation","Cells","Total_CD8_Cells","Fraction_of_Donor_CD8"
"D528848","NL","0","GZMK-associated memory-like CD8 T-cell",201,1634,0.123011015911873
"D528848","NL","1","Memory-associated conventional T-cell",9,1634,0.00550795593635251
"D528848","NL","10","NK/gamma-delta-like nonconventional T-cell population",8,1634,0.00489596083231334
"D528848","NL","11","Gamma-delta-like T-cell population",13,1634,0.00795593635250918
"D528848","NL","14","NK-like cytotoxic population",1,1634,0.000611995104039168
"D528848","NL","15","Gamma-delta-like nonconventional T-cell population",1,1634,0.000611995104039168
"D528848","NL","2","Activated/dysfunction-associated CD8 T-cell",27,1634,0.0165238678090575
"D528848","NL","3","Immediate-early-response CD8-associated population",190,1634,0.116279069767442
"D528848","NL","4","Activated/dysfunction-associated CD8 T-cell",4,1634,0.00244798041615667
"D528848","NL","5","Activation/tissue-associated CD8-associated population",27,1634,0.0165238678090575
"D528848","NL","6","NK-like cytotoxic nonconventional T-cell population",29,1634,0.0177478580171359
"D528848","NL","8","NK-like/nonconventional cytotoxic T-cell population",118,1634,0.0722154222766218
"D528848","NL","9","NK-like cytotoxic population",1006,1634,0.615667074663403
"D529074","NL","0","GZMK-associated memory-like CD8 T-cell",173,472,0.366525423728814
"D529074","NL","1","Memory-associated conventional T-cell",37,472,0.0783898305084746
"D529074","NL","10","NK/gamma-delta-like nonconventional T-cell population",6,472,0.0127118644067797
"D529074","NL","11","Gamma-delta-like T-cell population",6,472,0.0127118644067797
"D529074","NL","12","Activated/dysfunction-associated tissue-associated CD8 T-cell",1,472,0.00211864406779661
"D529074","NL","14","NK-like cytotoxic population",3,472,0.00635593220338983
"D529074","NL","2","Activated/dysfunction-associated CD8 T-cell",71,472,0.150423728813559
"D529074","NL","3","Immediate-early-response CD8-associated population",73,472,0.154661016949153
"D529074","NL","4","Activated/dysfunction-associated CD8 T-cell",2,472,0.00423728813559322
"D529074","NL","5","Activation/tissue-associated CD8-associated population",36,472,0.076271186440678
"D529074","NL","6","NK-like cytotoxic nonconventional T-cell population",56,472,0.11864406779661
"D529074","NL","8","NK-like/nonconventional cytotoxic T-cell population",6,472,0.0127118644067797
"D529074","NL","9","NK-like cytotoxic population",2,472,0.00423728813559322
"D529351","NL","0","GZMK-associated memory-like CD8 T-cell",1,25,0.04
"D529351","NL","1","Memory-associated conventional T-cell",1,25,0.04
"D529351","NL","2","Activated/dysfunction-associated CD8 T-cell",12,25,0.48
"D529351","NL","3","Immediate-early-response CD8-associated population",6,25,0.24
"D529351","NL","8","NK-like/nonconventional cytotoxic T-cell population",2,25,0.08
"D529351","NL","9","NK-like cytotoxic population",3,25,0.12
"D529354","NL","0","GZMK-associated memory-like CD8 T-cell",103,979,0.105209397344229
"D529354","NL","1","Memory-associated conventional T-cell",25,979,0.0255362614913177
"D529354","NL","10","NK/gamma-delta-like nonconventional T-cell population",14,979,0.0143003064351379
