"Gene","Category"
"HSPA1A","Stress_Immediate_Early"
"TRBV7-2","TCR"
"CCL4","Other"
"TRBV4-1","TCR"
"CXCR4","Other"
"GNLY","Other"
"TRBV12-5","TCR"
"CCL2","Other"
"TRBV4-2","TCR"
"CGA","Other"
"TRBV5-1","TCR"
"TRBV10-3","TCR"
"TRBV7-9","TCR"
"TRBV12-3","TCR"
"TRBV20-1","TCR"
"TRBV3-1","TCR"
"FOS","Stress_Immediate_Early"
"TRBV10-2","TCR"
"TRBV13","TCR"
"CREM","Other"
"TRBV11-2","TCR"
"TRBV7-3","TCR"
"TRBV12-4","TCR"
"TRBV9","TCR"
"TRBV29-1","TCR"
"TRBV6-6","TCR"
"TRBV11-1","TCR"
"HSPA1B","Stress_Immediate_Early"
"TRBV7-6","TCR"
"TRBV28","TCR"
"TRBV16","TCR"
"TRBV6-5","TCR"
"IL17A","Other"
"TRBV6-7","TCR"
"TRBV14","TCR"
"TRBV24-1","TCR"
"TRBV6-1","TCR"
"TRBV6-2","TCR"
"TRBV2","TCR"
"TRBV30","TCR"
"TRBV5-5","TCR"
"ZFP36","Other"
"TRBV27","TCR"
"TRBV5-4","TCR"
"TRBV19","TCR"
"HSPA6","Other"
"RGCC","Other"
"TRAV38-2DV8","TCR"
"TRBV15","TCR"
"ANXA1","Other"
"TRBV25-1","TCR"
"TRDV2","TCR"
"TRBV5-6","TCR"
"DUSP2","Stress_Immediate_Early"
"CCL4L2","Other"
"JUNB","Stress_Immediate_Early"
"TRAV21","TCR"
"CRIP1","Other"
"TRBV18","TCR"
"DNAJB1","Other"
"GZMK","Other"
"ORM1","Other"
"KLRB1","Other"
"TRBV10-1","TCR"
"TRAV12-2","TCR"
"DUSP1","Stress_Immediate_Early"
"TRAV20","TCR"
"DHRS9","Other"
"TRBV12-2","TCR"
"IL7R","Other"
"XCL1","Other"
"JUN","Stress_Immediate_Early"
"CD8A","Other"
"NR4A2","Other"
"TPSAB1","Other"
"VIM","Other"
"TPSB2","Other"
"IGLV10-54","Immunoglobulin"
"TUBA4A","Other"
"TRAV29DV5","TCR"
"NEGR1","Stress_Immediate_Early"
"TRAV3","TCR"
"IL3","Other"
"IGHV2-26","Immunoglobulin"
"ZFP36L2","Other"
"TRDV1","TCR"
"GZMH","Other"
"TRAV17","TCR"
"TRAV30","TCR"
"TRAV14DV4","TCR"
"TRAV12-3","TCR"
"RHEX","Other"
"CD52","Other"
"TRAV19","TCR"
"TRBV6-8","TCR"
"MYADM","Other"
"TYROBP","Other"
"GZMB","Other"
"CXCL10","Other"
"TNFAIP3","Other"
"CD177","Other"
"TRAV1-1","TCR"
"TSC22D3","Other"
"TRAV8-4","TCR"
"FOSB","Stress_Immediate_Early"
"TRAV10","TCR"
"CCL20","Other"
"TRBV7-7","TCR"
"GLT8D2","Other"
"TRAV38-1","TCR"
"TRAV12-1","TCR"
"RGS1","Other"
"S100A4","Other"
"TRAV13-1","TCR"
"AC107241.1","Other"
"IFITM2","Other"
"CD69","Other"
"NUDT12","Other"
"CPA3","Other"
"LINC00494","Other"
"TRDV3","TCR"
"TRBV6-4","TCR"
"PPP1R2C","Other"
"KLF2","Other"
"TRAV5","TCR"
"AC114730.3","Other"
"IL22","Other"
"XCL2","Other"
"CCDC110","Other"
"LMNA","Other"
"KLF6","Other"
"TRAV13-2","TCR"
"TRBV7-5","TCR"
"PMCH","Other"
"ZNF331","Other"
"FOXP3","Other"
"TRGV9","TCR"
"DUSP4","Other"
"ITGA8","Other"
"EZR","Other"
"TRAV26-2","TCR"
"RBPMS2","Other"
"TRAV23DV6","TCR"
"TRBV11-3","TCR"
"AC027607.1","Other"
"PIK3R1","Other"
"FGFBP2","Other"
"TRAV26-1","TCR"
"TRAV34","TCR"
"DNAJA1","Other"
"TRBV21-1","TCR"
"TRAV27","TCR"
"HBB","Other"
"YPEL5","Other"
"PCDHGB1","Other"
"CD180","Other"
"ESRP2","Other"
"AL358472.3","Other"
"CCR8","Other"
"CTSW","Other"
"SAT1","Other"
"AC254562.3","Other"
"TRAV6","TCR"
"HDC","Other"
