"Rank","Gene"
1,"TRBV7-2"
2,"HSPA1A"
3,"TRBV4-1"
4,"CCL4"
5,"TRBV12-5"
6,"CXCR4"
7,"TRBV4-2"
8,"TRBV10-3"
9,"TRBV5-1"
10,"GNLY"
11,"TRBV7-9"
12,"TRBV12-3"
13,"TRBV20-1"
14,"TRBV3-1"
15,"TRBV10-2"
16,"TRBV13"
17,"FOS"
18,"CREM"
19,"TRBV11-2"
20,"TRBV9"
21,"TRBV7-3"
22,"TRBV12-4"
23,"TRBV29-1"
24,"CGA"
25,"TRBV6-6"
26,"TRBV11-1"
27,"TRBV7-6"
28,"HSPA1B"
29,"TRBV16"
30,"TRBV28"
31,"TRBV6-5"
32,"TRBV14"
33,"TRBV6-2"
34,"TRBV24-1"
35,"TRBV6-7"
36,"TRBV6-1"
37,"TRBV2"
38,"TRBV30"
39,"TRBV5-5"
40,"TRBV27"
41,"RGCC"
42,"TRBV19"
43,"TRBV5-4"
44,"ZFP36"
45,"ANXA1"
46,"HSPA6"
47,"TRAV38-2DV8"
48,"TRBV15"
49,"CCL4L2"
50,"TRBV25-1"
51,"IGKV1D-8"
52,"TRBV5-6"
53,"TRAV21"
54,"CRIP1"
55,"JUNB"
56,"TRBV18"
57,"TRDV2"
58,"KLRB1"
59,"TRAV20"
60,"DNAJB1"
61,"XCL1"
62,"TRBV10-1"
63,"DUSP2"
64,"TRAV12-2"
65,"TRBV12-2"
66,"DUSP1"
67,"VIM"
68,"JUN"
69,"GZMK"
70,"TRAV29DV5"
71,"TUBA4A"
72,"ORM1"
73,"NR4A2"
74,"IL7R"
75,"TRAV3"
76,"GZMH"
77,"TRAV30"
78,"MYCN"
79,"TRDV1"
80,"TRAV14DV4"
81,"IGLV10-54"
82,"CD8A"
83,"TRAV12-3"
84,"TRAV17"
85,"MYADM"
86,"ZFP36L2"
87,"TRAV19"
88,"TYROBP"
89,"TNFAIP3"
90,"TSC22D3"
91,"CD52"
92,"TRAV8-4"
93,"RGS1"
94,"TRAV1-1"
95,"TRBV7-7"
96,"MS4A3"
97,"TRAV12-1"
98,"TRAV13-1"
99,"TRAV38-1"
100,"FOSB"
101,"IFITM2"
102,"IGHV3-66"
103,"KLF2"
104,"TRAV10"
105,"TRDV3"
106,"XCL2"
107,"GZMB"
108,"TRAV5"
109,"AL050349.1"
110,"CD69"
111,"ZNF462"
112,"KLF6"
113,"IGHV4-34"
114,"PPP1R2C"
115,"S100A4"
116,"DUSP4"
117,"EZR"
118,"LMNA"
119,"ZNF331"
120,"TRBV6-4"
121,"TRAV23DV6"
122,"TRGV9"
123,"TRBV11-3"
124,"PAX5"
125,"PIK3R1"
126,"TRAV13-2"
127,"TRAV26-2"
128,"GPR158"
129,"TRAV34"
130,"ZNF521"
131,"DNAJA1"
132,"HBB"
133,"YPEL5"
134,"STPG3"
135,"TRBV21-1"
136,"IGHV3-43"
137,"TMIGD1"
138,"SAT1"
139,"TRAV26-1"
140,"TRBV6-8"
141,"TRAV27"
142,"TRAV6"
143,"MT2A"
144,"TRAV24"
145,"TRBV7-5"
146,"MYO1A"
147,"LDHA"
148,"CTSW"
149,"AL139120.1"
150,"TRAV22"
151,"DDIT4"
152,"MPRIP-AS1"
153,"TRAV8-6"
154,"TRAV9-2"
155,"CD7"
156,"IGKV3-11"
157,"DCST2"
158,"APCS"
159,"HOXC10"
160,"LITAF"
161,"HSPE1"
162,"CD163L1"
163,"IGLVI-70"
164,"IL3"
165,"IGHV1-69-2"
166,"CD163"
167,"TRAV8-1"
168,"IFNG"
169,"SYT14"
170,"HLA-DRB1"
171,"HP"
172,"VCAM1"
173,"IGHV4-39"
174,"SLC2A3"
175,"FAM177A1"
176,"IGHV3-73"
177,"ZFP36L1"
178,"DUSP5"
179,"IL13"
180,"AC010536.3"
181,"SOX4"
182,"MCL1"
183,"CXCL13"
184,"TAGLN2"
185,"LINC02446"
186,"TCTE1"
187,"HSPD1"
188,"AC005393.1"
189,"IGLV1-50"
190,"TRBC1"
191,"IL21"
192,"P2RY12"
193,"TRAV1-2"
194,"AC138028.1"
195,"HLA-DRA"
196,"BCAR1"
197,"HSPH1"
198,"TXNIP"
199,"CCL3"
200,"AREG"
201,"TNF"
202,"AC015961.2"
203,"TRAV35"
204,"IL17A"
205,"IGLV5-45"
206,"CMC1"
207,"HIST1H4C"
208,"TRBC2"
209,"AC016590.3"
210,"CD8B"
211,"AC022087.1"
212,"MEIS1"
213,"SLCO1B3"
214,"ITM2A"
215,"DEFA3"
216,"GEM"
217,"AC055855.1"
218,"HBA2"
219,"TRAV25"
220,"KCNJ1"
221,"CD1E"
222,"SMC2-AS1"
223,"AL645929.2"
224,"GRIN2D"
225,"GOLGA6L7"
226,"CATSPERD"
227,"TRAV4"
228,"COTL1"
229,"HSPA5"
230,"UTS2B"
231,"AC068724.3"
232,"TRPM8"
233,"ALOX5AP"
234,"TRAV8-2"
235,"AL357153.1"
236,"CD300LB"
237,"TRAV41"
238,"TRIM31"
239,"AC053503.5"
240,"FCER1A"
241,"ADAM11"
242,"IGHV3-11"
243,"GADD45B"
244,"TRAV16"
245,"AL138689.2"
246,"Z92544.1"
247,"AL670729.3"
248,"TRGV8"
249,"TENT5C"
250,"AL138831.2"
251,"SGK2"
252,"ATP1B3"
253,"AC020661.1"
254,"NPTX2"
255,"MEDAG"
256,"HDC"
257,"CRTAM"
258,"AC091180.5"
259,"EGR1"
260,"TNFRSF9"
261,"AC133919.2"
262,"IGHV5-51"
263,"KLRD1"
264,"CEMIP2"
265,"RBP7"
266,"GPR183"
267,"TRGV10"
268,"AC002470.1"
269,"AL162253.1"
270,"AL355816.1"
271,"ANGPTL4"
272,"LINC01971"
273,"SYTL3"
274,"HLA-DQA1"
275,"TMLHE-AS1"
276,"HSP90AB1"
277,"PAQR9-AS1"
278,"LGALS1"
279,"AC016745.2"
280,"IGSF9"
281,"AC007220.1"
282,"SIGLEC15"
283,"TRGV2"
284,"RSPH6A"
285,"IGHV5-10-1"
286,"AC025175.1"
287,"CCL18"
288,"NFKBIA"
289,"TGFB1"
290,"KCTD14"
291,"OLAH"
292,"TRDC"
293,"AP001029.2"
294,"TRAV2"
295,"Z82243.1"
296,"IER2"
297,"LINC02099"
298,"TIMP3"
299,"AC026150.3"
300,"IGHV3-74"
301,"GNAT1"
302,"LINC01829"
303,"CXCR6"
304,"AC097461.1"
305,"ADGRE5"
306,"IL10"
307,"REL"
308,"KLRC1"
309,"IRF1"
310,"AKR1C4"
311,"ARHGAP8"
312,"CPB2"
313,"AC005046.1"
314,"AC064807.4"
315,"TUBB4B"
316,"STAT1"
317,"CLEC17A"
318,"AC114730.3"
319,"ILDR1"
320,"PLSCR4"
321,"FCN3"
322,"LTB"
323,"AL596220.1"
324,"CLEC12B"
325,"IGLV1-47"
326,"VPS37B"
327,"GAL"
328,"TAGAP"
329,"AC123912.4"
330,"AC024901.1"
331,"RNF19A"
332,"AP005131.1"
333,"SCRG1"
334,"COBLL1"
335,"FTH1"
336,"MUC6"
337,"AL359922.2"
338,"SELENOK"
339,"HBA1"
340,"TBC1D3D"
341,"HSP90AA1"
342,"IGHV4-61"
343,"IGLV8-61"
344,"AC004832.6"
345,"MGST1"
346,"PTTG2"
347,"BTG1"
348,"AL353608.2"
349,"TRBV7-1"
350,"IGLV3-19"
351,"ATF3"
352,"AL353804.1"
353,"TRGV3"
354,"AL161452.1"
355,"TRAV36DV7"
356,"AC090627.1"
357,"LINC01786"
358,"TSPYL2"
359,"TRGV4"
360,"SENP3-EIF4A1"
361,"ID2"
362,"MAPK10"
363,"AC024475.1"
364,"AC068987.4"
365,"LINC02291"
366,"IGKV2D-29"
367,"S100B"
368,"RRAD"
369,"TRBV23-1"
370,"WDR31"
371,"AC008149.1"
372,"MKRN2OS"
373,"HSPB6"
374,"NKD2"
375,"AL121845.4"
376,"H2AFZ"
377,"ADORA2A-AS1"
378,"TRAV40"
379,"FAM153C"
380,"BHMT"
381,"ZNF683"
382,"SLC12A5-AS1"
383,"C5orf58"
384,"AC244034.2"
385,"NPTX1"
386,"AC244093.5"
387,"AC008280.3"
388,"PDCD1"
389,"IGLV2-8"
390,"AHSP"
391,"PLAC8L1"
392,"ADAM23"
393,"SAA1"
394,"UBE2S"
395,"IGHV2-70"
396,"AC008534.1"
397,"MFSD6L"
398,"PIK3IP1-AS1"
399,"AC083829.2"
400,"DLG3-AS1"
401,"AL096870.1"
402,"ARL2-SNX15"
403,"NR3C1"
404,"AC008555.2"
405,"FCER1G"
406,"LINC02042"
407,"AC010609.1"
408,"CD300LF"
409,"DLEU7-AS1"
410,"SELENBP1"
411,"S100A10"
412,"LINC00562"
413,"ADCY6"
414,"MIF-AS1"
415,"AC090921.1"
416,"PPP1R15A"
417,"MT1A"
418,"DLL4"
419,"IGKV1-6"
420,"GIMAP7"
421,"S1PR3"
422,"AL359317.2"
423,"TRAV39"
424,"SLC24A4"
425,"PKLR"
426,"FAM166A"
427,"JPH3"
428,"GLT8D2"
429,"OR1I1"
430,"TMEM225B"
431,"MET"
432,"AL451074.6"
433,"C5orf49"
434,"IGLV7-43"
435,"AL596094.1"
436,"BICDL2"
437,"TFPI"
438,"AC018362.2"
439,"FGA"
440,"KREMEN1"
441,"LINC01132"
442,"AC006483.2"
443,"OR2L2"
444,"MEIOB"
445,"ADAMTS2"
446,"LRRC66"
447,"SDCBP"
448,"TPSB2"
