"CD8_Cluster","Panel","Top50_Overlap_Count","Top50_Overlap_Genes"
"4","Conventional_T_CD8",0,""
"4","Naive_Memory",0,""
"4","Cytotoxic",0,""
"4","Activation",2,"DUSP4;TNFRSF9"
"4","Dysfunction_Associated",6,"LAYN;CTLA4;PDCD1;HAVCR2;LAG3;TIGIT"
"4","NK_Associated",0,""
"4","GammaDelta_T",0,""
"4","Treg_Associated",2,"CTLA4;ICOS"
"4","Proliferation",0,""
"0","Conventional_T_CD8",0,""
"0","Naive_Memory",1,"IL7R"
"0","Cytotoxic",1,"GZMK"
"0","Activation",0,""
"0","Dysfunction_Associated",2,"CXCR4;RGS1"
"0","NK_Associated",0,""
"0","GammaDelta_T",0,""
"0","Treg_Associated",1,"IL7R"
"0","Proliferation",0,""
"2","Conventional_T_CD8",0,""
"2","Naive_Memory",0,""
"2","Cytotoxic",0,""
"2","Activation",1,"TNFRSF9"
"2","Dysfunction_Associated",2,"PDCD1;RGS1"
"2","NK_Associated",0,""
"2","GammaDelta_T",0,""
"2","Treg_Associated",0,""
"2","Proliferation",0,""
"5","Conventional_T_CD8",0,""
"5","Naive_Memory",0,""
"5","Cytotoxic",0,""
"5","Activation",0,""
"5","Dysfunction_Associated",0,""
"5","NK_Associated",0,""
"5","GammaDelta_T",0,""
"5","Treg_Associated",0,""
"5","Proliferation",0,""
"6","Conventional_T_CD8",0,""
"6","Naive_Memory",0,""
"6","Cytotoxic",0,""
"6","Activation",0,""
"6","Dysfunction_Associated",0,""
"6","NK_Associated",4,"KLRF1;TYROBP;S1PR5;KLRD1"
"6","GammaDelta_T",3,"TRDC;TRDV1;TRGV9"
"6","Treg_Associated",0,""
"6","Proliferation",0,""
"11","Conventional_T_CD8",1,"TRBC1"
"11","Naive_Memory",2,"IL7R;LTB"
"11","Cytotoxic",1,"GZMB"
"11","Activation",0,""
"11","Dysfunction_Associated",0,""
"11","NK_Associated",2,"KLRC1;NCR3"
"11","GammaDelta_T",4,"TRDV2;TRGV9;TRDC;TRGC1"
"11","Treg_Associated",1,"IL7R"
"11","Proliferation",0,""
"8","Conventional_T_CD8",0,""
"8","Naive_Memory",0,""
"8","Cytotoxic",1,"GNLY"
"8","Activation",0,""
"8","Dysfunction_Associated",0,""
"8","NK_Associated",4,"GNLY;KLRC2;TYROBP;NCR3"
"8","GammaDelta_T",1,"TRDV1"
"8","Treg_Associated",0,""
"8","Proliferation",0,""
"1","Conventional_T_CD8",0,""
"1","Naive_Memory",0,""
"1","Cytotoxic",0,""
"1","Activation",0,""
"1","Dysfunction_Associated",0,""
"1","NK_Associated",0,""
"1","GammaDelta_T",0,""
"1","Treg_Associated",0,""
"1","Proliferation",0,""
"3","Conventional_T_CD8",0,""
"3","Naive_Memory",0,""
"3","Cytotoxic",0,""
"3","Activation",5,"TNF;NR4A1;FOS;JUN;CD69"
"3","Dysfunction_Associated",0,""
"3","NK_Associated",0,""
"3","GammaDelta_T",0,""
"3","Treg_Associated",0,""
"3","Proliferation",0,""
"12","Conventional_T_CD8",1,"CD8B"
"12","Naive_Memory",0,""
"12","Cytotoxic",1,"GZMB"
"12","Activation",1,"DUSP16"
"12","Dysfunction_Associated",6,"HAVCR2;CTLA4;LAYN;PDCD1;RGS1;TIGIT"
"12","NK_Associated",0,""
"12","GammaDelta_T",0,""
"12","Treg_Associated",2,"CTLA4;ICOS"
"12","Proliferation",0,""
"7","Conventional_T_CD8",0,""
"7","Naive_Memory",0,""
"7","Cytotoxic",2,"GZMB;GZMH"
"7","Activation",0,""
"7","Dysfunction_Associated",1,"CXCR4"
"7","NK_Associated",3,"S1PR5;KLRF1;KLRD1"
"7","GammaDelta_T",3,"TRDV1;TRGV2;TRGV4"
"7","Treg_Associated",0,""
"7","Proliferation",0,""
"10","Conventional_T_CD8",0,""
"10","Naive_Memory",0,""
"10","Cytotoxic",2,"GNLY;CTSW"
"10","Activation",0,""
"10","Dysfunction_Associated",0,""
"10","NK_Associated",5,"GNLY;TYROBP;NCR3;KLRF1;KLRD1"
"10","GammaDelta_T",3,"TRDC;TRDV1;TRGC2"
"10","Treg_Associated",0,""
"10","Proliferation",0,""
"15","Conventional_T_CD8",0,""
"15","Naive_Memory",2,"IL7R;LTB"
"15","Cytotoxic",0,""
"15","Activation",1,"TNF"
"15","Dysfunction_Associated",0,""
"15","NK_Associated",3,"KLRC1;NCR3;TYROBP"
"15","GammaDelta_T",4,"TRDV2;TRDC;TRGV9;TRGC1"
"15","Treg_Associated",1,"IL7R"
"15","Proliferation",0,""
"14","Conventional_T_CD8",0,""
"14","Naive_Memory",0,""
"14","Cytotoxic",1,"CTSW"
"14","Activation",0,""
"14","Dysfunction_Associated",0,""
"14","NK_Associated",5,"TYROBP;KLRC2;NCR3;KLRD1;S1PR5"
"14","GammaDelta_T",1,"TRGV5"
"14","Treg_Associated",0,""
"14","Proliferation",0,""
"9","Conventional_T_CD8",0,""
"9","Naive_Memory",0,""
"9","Cytotoxic",0,""
"9","Activation",0,""
"9","Dysfunction_Associated",0,""
"9","NK_Associated",2,"TYROBP;S1PR5"
"9","GammaDelta_T",0,""
"9","Treg_Associated",0,""
"9","Proliferation",0,""
"13","Conventional_T_CD8",0,""
"13","Naive_Memory",0,""
"13","Cytotoxic",2,"CTSW;GZMH"
"13","Activation",0,""
"13","Dysfunction_Associated",0,""
"13","NK_Associated",1,"KLRD1"
"13","GammaDelta_T",2,"TRGV8;TRGC2"
"13","Treg_Associated",0,""
"13","Proliferation",0,""
