"CD8_Cluster","Cluster_Cells","Donors_Represented","Largest_Donor_Fraction","Potential_Noncanonical_Lineage","CD8_Lineage_Evidence","Annotation_Status"
"0",8765,20,0.140330861380491,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"1",6100,22,0.77,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"2",5632,21,0.658380681818182,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"3",3545,22,0.16163610719323,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"4",3362,16,0.6279000594884,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"5",3106,17,0.271732131358661,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"6",1942,18,0.131822863027806,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"7",1703,9,0.975924838520258,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"8",1530,19,0.425490196078431,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"9",1098,17,0.916211293260474,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"10",995,20,0.665326633165829,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"11",958,18,0.223382045929019,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"12",906,15,0.798013245033113,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"13",778,4,0.996143958868895,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"14",544,12,0.961397058823529,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
"15",317,17,0.501577287066246,"No_dominant_noncanonical_signal","CD8_T_evidence_present","REVIEW_REQUIRED"
