"Phase","Donor","GSM","Cells","Median_nCount_RNA","Median_nFeature_RNA","Median_percent_mt","Median_RNA_complexity","Doublet_Rate"
"NL","D528848","GSM5519484",1582,2215.1169667244,1083,1.6492023977958,0.488296885783136,0
"NL","D529074","GSM5519485",1765,2215.03018045425,1079,1.73124434246329,0.486812444700392,0
"NL","D529351","GSM5519486",40,1600.93971943855,593.5,2.39652497164191,0.374734750626582,0
"NL","D529354","GSM5519487",1086,1834.16935503483,732,1.92256930428579,0.399537356431983,0
"NL","D529409","GSM5519488",866,1732.57362353802,678,2.46040496796812,0.392034682940227,0
"NL","Dhc570","GSM5519483",528,2122.27412509918,1045,2.04491193575481,0.49519418017242,0
"IT","P190326","GSM5519471",200,1956.1033270359,860,2.03584359555376,0.441882230683166,0
"IT","P190402","GSM5519472",2087,2423.28434491157,1281,1.69175909749054,0.529346700323358,0
"IT","P190604","GSM5519469",758,2246.35808253288,1152.5,2.07620147528025,0.512952502983653,0
"IT","P190808","GSM5519495",1861,2532.79811441898,1424,1.67379097624574,0.56249078647215,0
"IT","P190902","GSM5519491",23,1474.98852133751,561,2.70040057432907,0.38141479042218,0
"IT","P190910","GSM5519494",1004,2572.90311098099,1401,1.69296252667993,0.545792122391308,0
"IA","P190719","GSM5519477",27,1992.74599575996,892,1.93518438974559,0.447623531497712,0
"IA","P190801","GSM5519496",2655,2398.23098552227,1260,1.97952761836709,0.525436641109393,0
"IA","P190911","GSM5519497",4772,2448.5150051713,1276,1.71596299948658,0.519639267905134,0
"IA","P191028","GSM5519499",5857,1757.42508172989,684,1.94607228957132,0.38891505660542,0
"IA","P191112","GSM5519502",2658,2484.7299683094,1325,1.57234193425457,0.533168498053614,0
"AR","P190716","GSM5519475",1698,2154.27926671505,1016,1.93294954729844,0.47206858699781,0
"AR","P191008","GSM5519504",6860,2157.9642188549,1005,1.90216747168935,0.465263578424716,0
"AR","P191217","GSM5519512",2232,2416.31817752123,1271,1.63011411680686,0.52464486667107,0
"AC","P191126","GSM5519506",1179,2419.31176733971,1298,1.74681025191861,0.533193600389861,0
"AC","P191127","GSM5519508",3092,2487.34706437588,1332,1.49716899923671,0.53481997184455,0
"AC","P191210","GSM5519510",1399,1856.45672941208,758,2.14328174204346,0.40934612075989,0
