"feature","mean","variance"
"HSPA1A",2.29159179341579e-15,1
"TRBV7-2",3.18737602777285e-16,1
"CCL4",-3.42076443345437e-15,0.999999999999999
"TRBV4-1",6.07380779177689e-16,1
"CXCR4",2.14571593941926e-16,1
"GNLY",-2.33533652345749e-16,1
"TRBV12-5",-0.00837050333694374,0.818020698277102
"CCL2",-0.010003010575345,0.0135950648949864
"TRBV4-2",-1.10620675285912e-16,1
"CGA",-0.010832679688259,0.0158638971093884
"TRBV5-1",6.19484818212581e-16,1
"TRBV10-3",-0.000472547862522202,0.990264705444203
"TRBV7-9",3.12235007771087e-16,1
"TRBV12-3",-0.000539398202787788,0.988899869735302
"TRBV20-1",-1.89236057393758e-16,1
"TRBV3-1",1.10186415901209e-16,1
"FOS",-3.72285989445632e-15,1
"TRBV10-2",-0.00639397933812751,0.862492369356095
"TRBV13",-6.46961172542121e-05,0.998682813151796
"CREM",-5.24911501916222e-15,0.999999999999999
"TRBV11-2",1.95435549390113e-17,1
"TRBV7-3",2.01628765961834e-16,1
"TRBV12-4",3.44760533651347e-16,0.999999999999999
"TRBV9",-1.32793005604287e-16,0.999999999999999
"TRBV29-1",4.12722127357318e-17,0.999999999999999
"TRBV6-6",-0.00109320549142007,0.977425977255121
"TRBV11-1",-0.0244675350535362,0.284816063878208
"HSPA1B",-2.27910871873298e-17,0.999999999999998
"TRBV7-6",-1.08153178319653e-16,1
"TRBV28",-1.08316339360149e-16,1
"TRBV16",-0.0246935782468493,0.273404756931635
"TRBV6-5",2.06875648498682e-16,1
"IL17A",-0.0181132289449358,0.061306078247327
"TRBV6-7",-0.0115200085419163,0.0181330678374407
"TRBV14",-4.3094882082665e-07,0.999991372614261
"TRBV24-1",-0.00682118417764157,0.852239245489668
"TRBV6-1",-2.66755750360432e-17,0.999999999999999
"TRBV6-2",-4.61564965933886e-06,0.99990724637262
"TRBV2",-3.03655874753355e-16,1
"TRBV30",-5.47417841710765e-17,0.999999999999999
"TRBV5-5",-0.00653393571990551,0.858170457412304
"ZFP36",-1.3320679533826e-15,0.999999999999998
"TRBV27",-7.91814254098716e-17,1
"TRBV5-4",7.80060383758425e-17,0.999999999999999
"TRBV19",-1.55752901714283e-16,1
"HSPA6",-7.06597752817911e-16,1
"RGCC",-1.35922434360985e-15,1
"TRAV38-2DV8",2.094485725988e-17,0.999999999999998
"TRBV15",-0.000755907954207898,0.984358896349454
"ANXA1",8.71216260684487e-16,0.999999999999997
"TRBV25-1",-0.0138313135107403,0.682486532401416
"TRDV2",5.60809597880643e-17,1
"TRBV5-6",-5.87084800825009e-17,1
"DUSP2",-2.46994030480111e-14,1
"CCL4L2",-5.0479641267863e-16,0.999999999999998
"JUNB",-1.11703641003638e-14,0.999999999999997
"TRAV21",1.28978802511479e-16,1
"CRIP1",-9.59321730177491e-15,0.999999999999997
"TRBV18",1.76434191139517e-16,1
"DNAJB1",-1.21442752926851e-14,1
"GZMK",-1.84445398620047e-14,1
"ORM1",-0.0118997514502541,0.0204017102500359
"KLRB1",-2.05219814954641e-15,1
"TRBV10-1",-0.0177979226339069,0.562409931489492
"TRAV12-2",6.3804752428123e-17,0.999999999999999
"DUSP1",3.42550219275169e-15,0.999999999999999
"TRAV20",-1.16210823550264e-16,0.999999999999999
"DHRS9",-0.0101545654274774,0.0135954765659211
"TRBV12-2",1.21994254893356e-17,0.999999999999998
"IL7R",-2.21702092248484e-15,1
"XCL1",-1.1032648337905e-15,0.999999999999999
"JUN",-5.57960617850857e-15,1
"CD8A",7.39503322336173e-15,1
"NR4A2",1.47767873148151e-14,0.999999999999999
"TPSAB1",-0.0167823093587628,0.0499341805974302
"VIM",8.8620286111524e-15,0.999999999999999
"TPSB2",-0.00744494669949791,0.00679359779814274
"IGLV10-54",-0.0126506138930218,0.0226724799410368
"TUBA4A",-1.23153837270444e-14,1
"TRAV29DV5",-5.13088758790568e-16,1
"NEGR1",-0.00709825839574716,0.00679312710455154
"TRAV3",3.09136203086604e-16,1
"IL3",-0.00626383076087715,0.004527893806739
"IGHV2-26",-0.0074886322159897,0.0067936571104803
"ZFP36L2",1.74162843944414e-14,1
"TRDV1",1.09054329297158e-16,1
"GZMH",1.05871120151342e-15,1
"TRAV17",2.02391230054917e-16,1
"TRAV30",-0.00535070512904477,0.884942230210567
"TRAV14DV4",1.43716009722979e-16,1
"TRAV12-3",-1.0741267821279e-16,1
"RHEX",-0.00625404199727034,0.00452788494779601
"CD52",-2.91685219869067e-15,1
"TRAV19",-2.52234417756356e-16,0.999999999999999
"TRBV6-8",-0.0138607958812969,0.0294833494480349
"MYADM",-1.77926298854846e-15,1
"TYROBP",6.41750024815545e-16,0.999999999999997
"GZMB",2.32524564064533e-16,0.999999999999998
"CXCL10",-0.0100005648280818,0.0135950582516141
"TNFAIP3",-2.08869664676273e-16,1
"CD177",-0.0149293254067657,0.0340280489754818
"TRAV1-1",-6.95819083465811e-18,1
"TSC22D3",3.00290327261575e-15,1
"TRAV8-4",6.16121190608525e-17,1
"FOSB",-1.15842958158194e-15,1
"TRAV10",-0.000493896688416245,0.98976907028975
"CCL20",-0.0143968281290239,0.649696917025789
"TRBV7-7",-0.0198276749742381,0.492976318352136
"GLT8D2",-0.00755663127638031,0.00679374943411645
"TRAV38-1",7.25188070754952e-18,1
"TRAV12-1",2.28306223625267e-16,1
"RGS1",-5.15608686929648e-15,0.999999999999998
"S100A4",1.13644692597314e-15,0.999999999999998
"TRAV13-1",-4.77714190126276e-16,1
"AC107241.1",-0.00752912488779594,0.00679371208808645
"IFITM2",-4.39374463711512e-15,1
"CD69",1.97872924318126e-16,1
"NUDT12",-0.00627116025495641,0.00452790044002062
"CPA3",-0.0100411689565559,0.0135951685446371
"LINC00494",-0.00627206587353794,0.00452790125961683
"TRDV3",-7.91470802119951e-06,0.999840224635904
"TRBV6-4",-0.0102577856535889,0.76953846933705
"PPP1R2C",-0.00418905828217363,0.909307860335255
"KLF2",-1.39142103723927e-15,1
"TRAV5",-1.50439499676309e-16,1
"AC114730.3",-0.00627129390724508,0.00452790056097762
"IL22",-0.00626957700304907,0.00452789900715791
"XCL2",-5.03033018356355e-16,1
"CCDC110",-0.00626759217199405,0.00452789721086137
"LMNA",2.64707702776739e-15,1
"KLF6",-2.23580201333077e-16,0.999999999999995
"TRAV13-2",1.20218937264276e-16,1
"TRBV7-5",-0.0114398328970514,0.0181327774070996
"PMCH",-0.0200174398823092,0.0817891680681505
"ZNF331",-4.90040724341582e-15,0.999999999999999
"FOXP3",-0.0121371828689008,0.725702322580803
"TRGV9",-1.08103351448056e-15,0.999999999999999
