"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","CD8_State"
0,1.48877583608411,0.257,0.079,0,"0","GPR183","CD8_Memory_GPR183"
7.74324762658734e-279,0.902834857588044,0.368,0.193,1.46540961333165e-274,"0","LMNA","CD8_Memory_GPR183"
4.05243671170665e-262,0.718323160974032,0.425,0.234,7.66923647690483e-258,"0","MT1X","CD8_Memory_GPR183"
3.84418879441602e-285,0.707199661740569,0.456,0.252,7.27512729343232e-281,"0","PDCL3","CD8_Memory_GPR183"
2.31806341695156e-131,0.681819628318372,0.255,0.147,4.38693501658084e-127,"0","METRNL","CD8_Memory_GPR183"
0,0.677767997682342,0.692,0.421,0,"0","RGCC","CD8_Memory_GPR183"
1.01208257753856e-176,0.669334365609196,0.316,0.175,1.91536627799172e-172,"0","ENC1","CD8_Memory_GPR183"
7.63987956610561e-161,0.664950129710532,0.284,0.158,1.44584720788549e-156,"0","DCTN6","CD8_Memory_GPR183"
0,0.653450737101952,0.65,0.385,0,"0","SDCBP","CD8_Memory_GPR183"
1.29071756153437e-152,0.626789889873175,0.284,0.158,2.4426829852038e-148,"0","SC5D","CD8_Memory_GPR183"
1.04275150573791e-206,0.624745940984853,0.423,0.252,1.973407224609e-202,"0","JMJD6","CD8_Memory_GPR183"
2.75175451846516e-235,0.620943150723381,0.451,0.262,5.20769542619532e-231,"0","ISCA1","CD8_Memory_GPR183"
6.96105502891547e-110,0.617956382554898,0.277,0.174,1.31737966422225e-105,"0","YBX3","CD8_Memory_GPR183"
4.01139813694276e-245,0.614981819444884,0.492,0.292,7.59157097416416e-241,"0","AMD1","CD8_Memory_GPR183"
3.95085148316245e-157,0.606656713319747,0.336,0.2,7.47698643188495e-153,"0","OAT","CD8_Memory_GPR183"
9.73335732393704e-172,0.599951035391072,0.31,0.168,1.84203787355508e-167,"0","CD28","CD8_Memory_GPR183"
5.10244453955009e-154,0.595576978981744,0.371,0.231,9.65637629109855e-150,"0","LINC01871","CD8_Memory_GPR183"
6.37228117521453e-217,0.588758139142943,0.484,0.297,1.20595421240935e-212,"0","EIF4A1","CD8_Memory_GPR183"
1.15986514262604e-117,0.576670301066916,0.259,0.153,2.19504478241978e-113,"0","OSER1","CD8_Memory_GPR183"
1.47167547415572e-136,0.571582983896259,0.348,0.217,2.7851458348397e-132,"0","CDKN1A","CD8_Memory_GPR183"
4.01803672765835e-167,0.568841703801928,0.382,0.231,7.60413450709343e-163,"0","ALG13","CD8_Memory_GPR183"
7.89833366391582e-214,0.5576568238261,0.491,0.3,1.49475964589607e-209,"0","KPNA2","CD8_Memory_GPR183"
0,0.557195899403293,0.839,0.535,0,"0","FAM177A1","CD8_Memory_GPR183"
0,0.550060845981378,0.904,0.594,0,"0","SELENOK","CD8_Memory_GPR183"
1.88236260135784e-277,0.537429135057473,0.66,0.414,3.56237122306972e-273,"0","SAMSN1","CD8_Memory_GPR183"
1.15496487489999e-193,0.537017871010453,0.438,0.259,2.18577102574823e-189,"0","CD5","CD8_Memory_GPR183"
4.24701424748748e-244,0.536056117248647,0.619,0.396,8.03747446337006e-240,"0","RBM38","CD8_Memory_GPR183"
3.48191848689194e-134,0.530873813041923,0.345,0.214,6.589530736443e-130,"0","MARCKSL1","CD8_Memory_GPR183"
4.10997166666107e-229,0.530098315357352,0.611,0.398,7.77812137915608e-225,"0","MYADM","CD8_Memory_GPR183"
5.73355612418924e-108,0.526660027201883,0.269,0.165,1.08507549650281e-103,"0","GRPEL1","CD8_Memory_GPR183"
0,0.523831647336088,0.894,0.594,0,"0","YPEL5","CD8_Memory_GPR183"
2.7866717242692e-114,0.521657036373519,0.302,0.189,5.27377623817946e-110,"0","MED4","CD8_Memory_GPR183"
3.45225411234197e-134,0.520616172754904,0.376,0.24,6.53339090760717e-130,"0","CSRNP1","CD8_Memory_GPR183"
1.4913964023101e-174,0.509942478521701,0.448,0.28,2.82246769137186e-170,"0","SS18L2","CD8_Memory_GPR183"
1.60445095389457e-109,0.507401668036325,0.29,0.179,3.03642343024547e-105,"0","RNF139","CD8_Memory_GPR183"
1.34930715744017e-280,0.506452204883747,0.733,0.484,2.55356379545552e-276,"0","RGS1","CD8_Memory_GPR183"
0,0.506353797946665,0.987,0.693,0,"0","CXCR4","CD8_Memory_GPR183"
4.474678906161e-144,0.505958528305448,0.402,0.256,8.46832982990969e-140,"0","ARID5A","CD8_Memory_GPR183"
2.46376422183113e-191,0.503532634024489,0.505,0.319,4.66267378981542e-187,"0","BCAS2","CD8_Memory_GPR183"
4.65277729964672e-214,0.503291546431532,0.558,0.355,8.80538103958141e-210,"0","GTF2B","CD8_Memory_GPR183"
7.96122066890253e-114,0.49528779813248,0.317,0.2,1.5066610115898e-109,"0","PAF1","CD8_Memory_GPR183"
8.34970509244677e-283,0.4919359505897,0.76,0.474,1.58018168874555e-278,"0","TENT5C","CD8_Memory_GPR183"
1.80958304765484e-116,0.490602424344246,0.362,0.236,3.42463591768678e-112,"0","OASL","CD8_Memory_GPR183"
