"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","CD8_State"
0,3.3418624376447,0.439,0.035,0,"4","GEM","CD8_Activated"
0,2.91628659135214,0.379,0.034,0,"4","LAYN","CD8_Activated"
0,2.74600058082277,0.318,0.041,0,"4","NBL1","CD8_Activated"
0,2.58134815231043,0.575,0.082,0,"4","SNX9","CD8_Activated"
0,2.44675412470486,0.381,0.055,0,"4","AKAP5","CD8_Activated"
0,2.02591075435974,0.727,0.166,0,"4","TNFRSF9","CD8_Activated"
0,1.99425919407662,0.506,0.108,0,"4","VCAM1","CD8_Activated"
0,1.93984134146678,0.844,0.224,0,"4","DUSP4","CD8_Activated"
0,1.8280401157398,0.344,0.084,0,"4","CD200R1","CD8_Activated"
0,1.80904085824663,0.334,0.074,0,"4","ASB2","CD8_Activated"
0,1.79793211675924,0.419,0.083,0,"4","CTLA4","CD8_Activated"
0,1.78887818504818,0.343,0.076,0,"4","NAB1","CD8_Activated"
0,1.75545961480953,0.296,0.072,0,"4","ID3","CD8_Activated"
0,1.73635670629473,0.389,0.096,0,"4","GFOD1","CD8_Activated"
0,1.70630051538924,0.374,0.1,0,"4","PLEKHO1","CD8_Activated"
0,5.53180954122345,0.438,0.01,0,"15","PRSS23","CD8_Cytotoxic_Effector"
0,4.78243031395567,0.794,0.032,0,"15","FGFBP2","CD8_Cytotoxic_Effector"
0,4.51924768157008,0.49,0.022,0,"15","CX3CR1","CD8_Cytotoxic_Effector"
0,3.85973652867412,0.275,0.019,0,"15","VCL","CD8_Cytotoxic_Effector"
0,3.53988186160901,0.765,0.075,0,"15","GNLY","CD8_Cytotoxic_Effector"
2.65807317462591e-321,3.10681817318116,0.462,0.053,5.03040348297953e-317,"15","ADGRG1","CD8_Cytotoxic_Effector"
1.08370855042927e-195,3.08264153827522,0.315,0.039,2.05091843168739e-191,"15","GK5","CD8_Cytotoxic_Effector"
7.57934535198264e-172,2.87890282662177,0.31,0.043,1.43439110786272e-167,"15","S1PR1","CD8_Cytotoxic_Effector"
8.58013595883505e-200,2.87476172582411,0.379,0.056,1.62379073020953e-195,"15","CEP78","CD8_Cytotoxic_Effector"
5.08493806756792e-305,2.81525362839973,0.635,0.109,9.62324529287229e-301,"15","FCGR3A","CD8_Cytotoxic_Effector"
1.98369239541452e-166,2.75275164384244,0.342,0.053,3.75413785832198e-162,"15","C1orf21","CD8_Cytotoxic_Effector"
6.65894484891434e-116,2.72407354000535,0.267,0.045,1.26020531265704e-111,"15","FGL2","CD8_Cytotoxic_Effector"
2.1427259234151e-163,2.67613753102036,0.392,0.071,4.05510881006307e-159,"15","HSH2D","CD8_Cytotoxic_Effector"
0,2.49725968056262,0.906,0.2,0,"15","GZMB","CD8_Cytotoxic_Effector"
7.49601929306884e-169,2.46028342607602,0.515,0.118,1.41862165121328e-164,"15","SPON2","CD8_Cytotoxic_Effector"
0,2.90618426992376,0.323,0.066,0,"5","TNF","CD8_Immediate_Early_Stress"
0,2.88520124088141,0.353,0.078,0,"5","EGR1","CD8_Immediate_Early_Stress"
4.75341344816811e-276,2.36322543632998,0.258,0.077,8.99583495065815e-272,"5","ATF3","CD8_Immediate_Early_Stress"
0,2.18317650959336,0.697,0.24,0,"5","HSPA1B","CD8_Immediate_Early_Stress"
0,2.09851758632005,0.447,0.161,0,"5","NR4A1","CD8_Immediate_Early_Stress"
0,2.07147196278853,0.702,0.264,0,"5","FOSB","CD8_Immediate_Early_Stress"
0,1.78899607243762,0.694,0.301,0,"5","PPP1R15A","CD8_Immediate_Early_Stress"
0,1.69582477217545,0.64,0.298,0,"5","HSPA1A","CD8_Immediate_Early_Stress"
1.01028315077833e-279,1.62592840567706,0.437,0.197,1.91196086284799e-275,"5","NEU1","CD8_Immediate_Early_Stress"
0,1.56058611559983,0.83,0.46,0,"5","FOS","CD8_Immediate_Early_Stress"
6.41790176957302e-161,1.55762866177746,0.293,0.13,1.21458790989169e-156,"5","RASGEF1B","CD8_Immediate_Early_Stress"
0,1.52860167172388,0.77,0.445,0,"5","JUN","CD8_Immediate_Early_Stress"
2.04365570911052e-198,1.52653852159209,0.354,0.159,3.86761842949165e-194,"5","IL7R","CD8_Immediate_Early_Stress"
1.22780718802396e-188,1.52257804313219,0.438,0.248,2.32362510333534e-184,"5","CCL4L2","CD8_Immediate_Early_Stress"
6.20277779559419e-124,1.48505088713263,0.27,0.129,1.1738756978162e-119,"5","ZFAND2A","CD8_Immediate_Early_Stress"
0,1.48877583608411,0.257,0.079,0,"0","GPR183","CD8_Memory_GPR183"
7.74324762658734e-279,0.902834857588044,0.368,0.193,1.46540961333165e-274,"0","LMNA","CD8_Memory_GPR183"
4.05243671170665e-262,0.718323160974032,0.425,0.234,7.66923647690483e-258,"0","MT1X","CD8_Memory_GPR183"
3.84418879441602e-285,0.707199661740569,0.456,0.252,7.27512729343232e-281,"0","PDCL3","CD8_Memory_GPR183"
2.31806341695156e-131,0.681819628318372,0.255,0.147,4.38693501658084e-127,"0","METRNL","CD8_Memory_GPR183"
0,0.677767997682342,0.692,0.421,0,"0","RGCC","CD8_Memory_GPR183"
1.01208257753856e-176,0.669334365609196,0.316,0.175,1.91536627799172e-172,"0","ENC1","CD8_Memory_GPR183"
7.63987956610561e-161,0.664950129710532,0.284,0.158,1.44584720788549e-156,"0","DCTN6","CD8_Memory_GPR183"
0,0.653450737101952,0.65,0.385,0,"0","SDCBP","CD8_Memory_GPR183"
1.29071756153437e-152,0.626789889873175,0.284,0.158,2.4426829852038e-148,"0","SC5D","CD8_Memory_GPR183"
1.04275150573791e-206,0.624745940984853,0.423,0.252,1.973407224609e-202,"0","JMJD6","CD8_Memory_GPR183"
2.75175451846516e-235,0.620943150723381,0.451,0.262,5.20769542619532e-231,"0","ISCA1","CD8_Memory_GPR183"
6.96105502891547e-110,0.617956382554898,0.277,0.174,1.31737966422225e-105,"0","YBX3","CD8_Memory_GPR183"
4.01139813694276e-245,0.614981819444884,0.492,0.292,7.59157097416416e-241,"0","AMD1","CD8_Memory_GPR183"
3.95085148316245e-157,0.606656713319747,0.336,0.2,7.47698643188495e-153,"0","OAT","CD8_Memory_GPR183"
1.10374472699962e-209,1.35485740590578,0.398,0.174,2.08883689584679e-205,"6","P2RY8","CD8_Memory_P2RY8"
1.21089662077321e-123,1.26225433045304,0.278,0.125,2.2916218548133e-119,"6","SUCO","CD8_Memory_P2RY8"
3.90696854016035e-139,1.18016963820481,0.355,0.173,7.39393796225346e-135,"6","GOLGB1","CD8_Memory_P2RY8"
3.05304551230409e-111,1.16068662872245,0.28,0.13,5.77788863203549e-107,"6","SEL1L","CD8_Memory_P2RY8"
2.41922009744644e-136,1.1499298936278,0.345,0.166,4.57837403441739e-132,"6","AUTS2","CD8_Memory_P2RY8"
1.43581825842806e-177,1.14750269966797,0.432,0.21,2.7172860540751e-173,"6","GPCPD1","CD8_Memory_P2RY8"
7.04444483791508e-101,1.12247640767691,0.28,0.137,1.33316118557543e-96,"6","TGFBR3","CD8_Memory_P2RY8"
