"Phase","CD8_State","n_cells","phase_total","proportion","percentage"
"AC","CD8_Activated",16,5670,0.00282186948853616,0.282186948853616
"AC","CD8_Cytotoxic_Effector",71,5670,0.0125220458553792,1.25220458553792
"AC","CD8_Immediate_Early_Stress",269,5670,0.0474426807760141,4.74426807760141
"AC","CD8_Memory_GPR183",1203,5670,0.212169312169312,21.2169312169312
"AC","CD8_Memory_P2RY8",321,5670,0.0566137566137566,5.66137566137566
"AC","CD8_Naive_Memory",990,5670,0.174603174603175,17.4603174603175
"AC","CD8_PD1_Dysfunctional",72,5670,0.0126984126984127,1.26984126984127
"AC","Cytotoxic_GammaDelta_like",222,5670,0.0391534391534392,3.91534391534392
"AC","GammaDelta_IL7R",35,5670,0.00617283950617284,0.617283950617284
"AC","GammaDelta_NK_like_TRM",227,5670,0.0400352733686067,4.00352733686067
"AC","GammaDelta_T_like",1695,5670,0.298941798941799,29.8941798941799
"AC","NK_like",482,5670,0.0850088183421517,8.50088183421517
"AC","NK_like_Nonconventional",48,5670,0.00846560846560847,0.846560846560847
"AC","Treg_like",19,5670,0.00335097001763668,0.335097001763668
"AR","CD8_Activated",102,10790,0.00945319740500463,0.945319740500463
"AR","CD8_Cytotoxic_Effector",97,10790,0.00898980537534754,0.898980537534754
"AR","CD8_Immediate_Early_Stress",441,10790,0.0408711770157553,4.08711770157553
"AR","CD8_Memory_GPR183",2025,10790,0.187673772011121,18.7673772011121
"AR","CD8_Memory_P2RY8",694,10790,0.0643188137164041,6.43188137164041
"AR","CD8_Naive_Memory",4771,10790,0.442168674698795,44.2168674698795
"AR","CD8_PD1_Dysfunctional",154,10790,0.0142724745134384,1.42724745134384
"AR","Cytotoxic_GammaDelta_like",593,10790,0.0549582947173309,5.49582947173309
"AR","GammaDelta_IL7R",88,10790,0.00815569972196478,0.815569972196478
"AR","GammaDelta_NK_like_TRM",636,10790,0.0589434661723818,5.89434661723818
"AR","GammaDelta_Nonconventional",762,10790,0.0706209453197405,7.06209453197405
"AR","GammaDelta_T_like",1,10790,9.2678405931418e-05,0.0092678405931418
"AR","NK_like",245,10790,0.0227062094531974,2.27062094531974
"AR","NK_like_Nonconventional",29,10790,0.00268767377201112,0.268767377201112
"AR","Treg_like",152,10790,0.0140871177015755,1.40871177015755
"IA","CD8_Activated",2870,15969,0.179723213726595,17.9723213726595
"IA","CD8_Cytotoxic_Effector",184,15969,0.011522324503726,1.1522324503726
"IA","CD8_Immediate_Early_Stress",1319,15969,0.0825975327196443,8.25975327196443
"IA","CD8_Memory_GPR183",3111,15969,0.194814953973323,19.4814953973323
"IA","CD8_Memory_P2RY8",1240,15969,0.0776504477425011,7.76504477425011
"IA","CD8_Naive_Memory",291,15969,0.0182228066879579,1.82228066879579
"IA","CD8_PD1_Dysfunctional",4043,15969,0.253178032437848,25.3178032437848
"IA","Cytotoxic_GammaDelta_like",46,15969,0.00288058112593149,0.288058112593149
"IA","GammaDelta_IL7R",319,15969,0.0199762038950467,1.99762038950467
"IA","GammaDelta_NK_like_TRM",40,15969,0.00250485315298391,0.250485315298391
"IA","GammaDelta_T_like",3,15969,0.000187863986473793,0.0187863986473793
"IA","Ig_Associated_Ambiguous",2,15969,0.000125242657649195,0.0125242657649195
"IA","NK_like",1484,15969,0.0929300519757029,9.29300519757029
"IA","NK_like_Nonconventional",184,15969,0.011522324503726,1.1522324503726
"IA","Treg_like",833,15969,0.0521635669108899,5.21635669108899
"IT","CD8_Activated",162,5933,0.0273049047699309,2.73049047699309
"IT","CD8_Cytotoxic_Effector",126,5933,0.0212371481543907,2.12371481543907
"IT","CD8_Immediate_Early_Stress",553,5933,0.0932074835664925,9.32074835664925
"IT","CD8_Memory_GPR183",2574,5933,0.433844598011124,43.3844598011124
"IT","CD8_Memory_P2RY8",485,5933,0.0817461655149166,8.17461655149166
"IT","CD8_Naive_Memory",86,5933,0.014495196359346,1.4495196359346
"IT","CD8_PD1_Dysfunctional",167,5933,0.0281476487443115,2.81476487443115
"IT","Cytotoxic_GammaDelta_like",37,5933,0.00623630541041632,0.623630541041632
"IT","GammaDelta_IL7R",152,5933,0.0256194168211697,2.56194168211697
"IT","GammaDelta_NK_like_TRM",34,5933,0.00573065902578797,0.573065902578797
"IT","GammaDelta_T_like",3,5933,0.00050564638462835,0.050564638462835
"IT","Ig_Associated_Ambiguous",8,5933,0.00134839035900893,0.134839035900893
"IT","NK_like",1330,5933,0.224169897185235,22.4169897185235
"IT","NK_like_Nonconventional",121,5933,0.0203944041800101,2.03944041800101
"IT","Treg_like",95,5933,0.0160121355132311,1.60121355132311
"NL","CD8_Activated",7,5867,0.00119311402761207,0.119311402761207
"NL","CD8_Cytotoxic_Effector",2,5867,0.000340889722174876,0.0340889722174876
"NL","CD8_Immediate_Early_Stress",421,5867,0.0717572865178115,7.17572865178115
"NL","CD8_Memory_GPR183",744,5867,0.126810976649054,12.6810976649054
"NL","CD8_Memory_P2RY8",84,5867,0.0143173683313448,1.43173683313448
"NL","CD8_Naive_Memory",82,5867,0.0139764786091699,1.39764786091699
"NL","CD8_PD1_Dysfunctional",1161,5867,0.197886483722516,19.7886483722516
"NL","Cytotoxic_GammaDelta_like",20,5867,0.00340889722174876,0.340889722174876
"NL","GammaDelta_IL7R",56,5867,0.00954491222089654,0.954491222089654
"NL","GammaDelta_NK_like_TRM",38,5867,0.00647690472132265,0.647690472132265
"NL","GammaDelta_T_like",2,5867,0.000340889722174876,0.0340889722174876
"NL","Ig_Associated_Ambiguous",1602,5867,0.273052667462076,27.3052667462076
"NL","NK_like",1576,5867,0.268621101073803,26.8621101073803
"NL","NK_like_Nonconventional",24,5867,0.00409067666609852,0.409067666609852
"NL","Treg_like",48,5867,0.00818135333219703,0.818135333219703
