"Phase","CD8_State","n_cells"
"AC","CD8_Activated",16
"AC","CD8_Cytotoxic_Effector",71
"AC","CD8_Immediate_Early_Stress",269
"AC","CD8_Memory_GPR183",1203
"AC","CD8_Memory_P2RY8",321
"AC","CD8_Naive_Memory",990
"AC","CD8_PD1_Dysfunctional",72
"AC","Cytotoxic_GammaDelta_like",222
"AC","GammaDelta_IL7R",35
"AC","GammaDelta_NK_like_TRM",227
"AC","GammaDelta_T_like",1695
"AC","NK_like",482
"AC","NK_like_Nonconventional",48
"AC","Treg_like",19
"AR","CD8_Activated",102
"AR","CD8_Cytotoxic_Effector",97
"AR","CD8_Immediate_Early_Stress",441
"AR","CD8_Memory_GPR183",2025
"AR","CD8_Memory_P2RY8",694
"AR","CD8_Naive_Memory",4771
"AR","CD8_PD1_Dysfunctional",154
"AR","Cytotoxic_GammaDelta_like",593
"AR","GammaDelta_IL7R",88
"AR","GammaDelta_NK_like_TRM",636
"AR","GammaDelta_Nonconventional",762
"AR","GammaDelta_T_like",1
"AR","NK_like",245
"AR","NK_like_Nonconventional",29
"AR","Treg_like",152
"IA","CD8_Activated",2870
"IA","CD8_Cytotoxic_Effector",184
"IA","CD8_Immediate_Early_Stress",1319
"IA","CD8_Memory_GPR183",3111
"IA","CD8_Memory_P2RY8",1240
"IA","CD8_Naive_Memory",291
"IA","CD8_PD1_Dysfunctional",4043
"IA","Cytotoxic_GammaDelta_like",46
"IA","GammaDelta_IL7R",319
"IA","GammaDelta_NK_like_TRM",40
"IA","GammaDelta_T_like",3
"IA","Ig_Associated_Ambiguous",2
"IA","NK_like",1484
"IA","NK_like_Nonconventional",184
"IA","Treg_like",833
"IT","CD8_Activated",162
"IT","CD8_Cytotoxic_Effector",126
"IT","CD8_Immediate_Early_Stress",553
"IT","CD8_Memory_GPR183",2574
"IT","CD8_Memory_P2RY8",485
"IT","CD8_Naive_Memory",86
"IT","CD8_PD1_Dysfunctional",167
"IT","Cytotoxic_GammaDelta_like",37
"IT","GammaDelta_IL7R",152
"IT","GammaDelta_NK_like_TRM",34
"IT","GammaDelta_T_like",3
"IT","Ig_Associated_Ambiguous",8
"IT","NK_like",1330
"IT","NK_like_Nonconventional",121
"IT","Treg_like",95
"NL","CD8_Activated",7
"NL","CD8_Cytotoxic_Effector",2
"NL","CD8_Immediate_Early_Stress",421
"NL","CD8_Memory_GPR183",744
"NL","CD8_Memory_P2RY8",84
"NL","CD8_Naive_Memory",82
"NL","CD8_PD1_Dysfunctional",1161
"NL","Cytotoxic_GammaDelta_like",20
"NL","GammaDelta_IL7R",56
"NL","GammaDelta_NK_like_TRM",38
"NL","GammaDelta_T_like",2
"NL","Ig_Associated_Ambiguous",1602
"NL","NK_like",1576
"NL","NK_like_Nonconventional",24
"NL","Treg_like",48
