"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.48877583608411,0.257,0.079,0,"0","GPR183"
7.74324762658734e-279,0.902834857588044,0.368,0.193,1.46540961333165e-274,"0","LMNA"
4.05243671170665e-262,0.718323160974032,0.425,0.234,7.66923647690483e-258,"0","MT1X"
3.84418879441602e-285,0.707199661740569,0.456,0.252,7.27512729343232e-281,"0","PDCL3"
2.31806341695156e-131,0.681819628318372,0.255,0.147,4.38693501658084e-127,"0","METRNL"
0,0.677767997682342,0.692,0.421,0,"0","RGCC"
1.01208257753856e-176,0.669334365609196,0.316,0.175,1.91536627799172e-172,"0","ENC1"
7.63987956610561e-161,0.664950129710532,0.284,0.158,1.44584720788549e-156,"0","DCTN6"
0,0.653450737101952,0.65,0.385,0,"0","SDCBP"
1.29071756153437e-152,0.626789889873175,0.284,0.158,2.4426829852038e-148,"0","SC5D"
0,2.16268832452838,0.465,0.126,0,"1","SIT1"
0,1.83388132505371,0.408,0.138,0,"1","GIMAP1"
0,1.80148832057111,0.612,0.197,0,"1","TXNIP"
0,1.78848337439979,0.664,0.244,0,"1","GIMAP4"
0,1.78024392840487,0.474,0.166,0,"1","RCSD1"
0,1.67331261283157,0.548,0.212,0,"1","LINC00861"
0,1.53813480051209,0.75,0.332,0,"1","GIMAP7"
0,1.52591150323374,0.37,0.152,0,"1","PYCARD"
0,1.51545941963145,0.521,0.218,0,"1","TRAF3IP3"
0,1.4268853901801,0.586,0.266,0,"1","CD27"
7.67443867919582e-35,0.933700266762091,0.265,0.241,1.45238752003781e-30,"2","ATP8A1"
1.25671759222824e-53,0.864134748827927,0.316,0.285,2.37833804329194e-49,"2","PDCD1"
5.08652030774252e-73,0.792957301755371,0.385,0.373,9.62623968240271e-69,"2","SRRT"
0,0.764415605060436,0.877,0.711,0,"2","CREM"
1.88127691042426e-241,0.742465788681916,0.56,0.533,3.56031655297791e-237,"2","TENT5C"
0,0.6983119644613,0.909,0.735,0,"2","CXCR4"
1.61413937299452e-29,0.672083294726875,0.35,0.373,3.05475876339212e-25,"2","ISG15"
1.48891958082409e-186,0.660755453969484,0.555,0.536,2.81778030670959e-182,"2","RGS1"
2.14449512933424e-308,0.623467130160356,0.637,0.645,4.05845703226505e-304,"2","LEPROTL1"
0,0.620440827552175,0.811,0.731,0,"2","CD8A"
0,3.13410890637768,0.313,0.037,0,"3","KIR3DL2"
0,2.65043976518317,0.345,0.055,0,"3","KLRF1"
0,2.49313332083493,0.541,0.099,0,"3","TYROBP"
0,1.78846299480617,0.382,0.11,0,"3","S1PR5"
0,1.78541717713382,0.399,0.113,0,"3","KLRC3"
1.08339951482884e-217,1.60202660577693,0.251,0.086,2.05033358181357e-213,"3","MAFF"
2.38812552498687e-274,1.58238587956456,0.292,0.095,4.51952755603766e-270,"3","TRGV9"
5.0738367864604e-266,1.4885136812334,0.332,0.121,9.6022361183763e-262,"3","PRR7"
2.5797182112042e-223,1.47711349762613,0.256,0.085,4.88211671470396e-219,"3","PLAC8"
7.88918011197849e-243,1.44118051701438,0.292,0.1,1.49302733619193e-238,"3","FCGR3A"
0,3.3418624376447,0.439,0.035,0,"4","GEM"
0,2.91628659135214,0.379,0.034,0,"4","LAYN"
0,2.74600058082277,0.318,0.041,0,"4","NBL1"
0,2.58134815231043,0.575,0.082,0,"4","SNX9"
0,2.44675412470486,0.381,0.055,0,"4","AKAP5"
0,2.02591075435974,0.727,0.166,0,"4","TNFRSF9"
0,1.99425919407662,0.506,0.108,0,"4","VCAM1"
0,1.93984134146678,0.844,0.224,0,"4","DUSP4"
0,1.8280401157398,0.344,0.084,0,"4","CD200R1"
0,1.80904085824663,0.334,0.074,0,"4","ASB2"
0,2.90618426992376,0.323,0.066,0,"5","TNF"
0,2.88520124088141,0.353,0.078,0,"5","EGR1"
4.75341344816811e-276,2.36322543632998,0.258,0.077,8.99583495065815e-272,"5","ATF3"
0,2.18317650959336,0.697,0.24,0,"5","HSPA1B"
0,2.09851758632005,0.447,0.161,0,"5","NR4A1"
0,2.07147196278853,0.702,0.264,0,"5","FOSB"
0,1.78899607243762,0.694,0.301,0,"5","PPP1R15A"
0,1.69582477217545,0.64,0.298,0,"5","HSPA1A"
1.01028315077833e-279,1.62592840567706,0.437,0.197,1.91196086284799e-275,"5","NEU1"
0,1.56058611559983,0.83,0.46,0,"5","FOS"
1.10374472699962e-209,1.35485740590578,0.398,0.174,2.08883689584679e-205,"6","P2RY8"
1.21089662077321e-123,1.26225433045304,0.278,0.125,2.2916218548133e-119,"6","SUCO"
3.90696854016035e-139,1.18016963820481,0.355,0.173,7.39393796225346e-135,"6","GOLGB1"
3.05304551230409e-111,1.16068662872245,0.28,0.13,5.77788863203549e-107,"6","SEL1L"
2.41922009744644e-136,1.1499298936278,0.345,0.166,4.57837403441739e-132,"6","AUTS2"
1.43581825842806e-177,1.14750269966797,0.432,0.21,2.7172860540751e-173,"6","GPCPD1"
7.04444483791508e-101,1.12247640767691,0.28,0.137,1.33316118557543e-96,"6","TGFBR3"
1.09471490969424e-157,1.1094728054996,0.414,0.207,2.07174796659634e-153,"6","CAMK4"
8.3915707805468e-90,1.10782933403722,0.25,0.121,1.58810477021848e-85,"6","CYP51A1"
4.92263272362429e-100,1.10018342710969,0.282,0.138,9.31608242945897e-96,"6","CYP20A1"
0,8.29032760738709,0.947,0.003,0,"7","TRBV12-2"
0,3.40066474750804,0.894,0.065,0,"7","TRDV1"
0,2.03874362619556,0.546,0.115,0,"7","S1PR5"
2.52610163930248e-300,1.66281719503976,0.377,0.088,4.78064735237994e-296,"7","TRGV4"
0,1.65585056822011,0.654,0.188,0,"7","ENC1"
0,1.64327548256945,0.515,0.125,0,"7","TRGV2"
1.77803366831394e-145,1.4867098258648,0.259,0.077,3.36492871728414e-141,"7","AP002387.2"
2.55644726438432e-195,1.40235919139214,0.39,0.126,4.83807644784732e-191,"7","VCAM1"
0,1.39482609570966,0.962,0.376,0,"7","KLRB1"
2.64851493517653e-177,1.28310752632292,0.401,0.137,5.01231451482159e-173,"7","MGAT4A"
0,3.47479436265,0.396,0.03,0,"8","KIR2DL3"
0,2.83994187002118,0.305,0.035,0,"8","KLRC2"
0,2.3801214157571,0.669,0.113,0,"8","TYROBP"
0,2.36624200421252,0.298,0.049,0,"8","KIR3DL2"
0,2.23171820248866,0.622,0.117,0,"8","KLRC3"
1.00596200023028e-261,2.088402357472,0.313,0.074,1.9037830854358e-257,"8","GNLY"
0,2.03535543310784,0.392,0.088,0,"8","LINC02446"
3.01134344001441e-273,2.00225324817625,0.278,0.056,5.69896746022726e-269,"8","TRGV5"
4.80952573818429e-280,1.80761544220392,0.36,0.086,9.10202745951376e-276,"8","CD300A"
9.24686534124999e-292,1.65554685625291,0.417,0.106,1.74996926583156e-287,"8","NCR3"
0,8.56617582921132,0.261,0,0,"9","IGLV5-45"
0,6.9799453772225,0.277,0.002,0,"9","IGKV1-9"
0,6.47304912422065,0.39,0.005,0,"9","IGLV1-40"
0,6.45095969795489,0.357,0.004,0,"9","IGHG1"
0,5.50301726093495,0.282,0.006,0,"9","IGKC"
0,5.26080627543406,0.429,0.012,0,"9","IGKV3-20"
0,2.46909975281412,0.295,0.053,0,"9","TRBV28"
2.35760154125109e-144,1.30666607725775,0.435,0.185,4.46176091681768e-140,"9","LGALS1"
5.05213522978653e-97,1.29156470034384,0.334,0.152,9.56116592237101e-93,"9","NINJ1"
2.65110589358919e-122,1.25745004735164,0.428,0.199,5.01721790361754e-118,"9","GZMB"
0,4.54634134206717,0.3,0.016,0,"10","CD4"
0,4.51494594217924,0.378,0.027,0,"10","TNFRSF4"
