"cluster","Top50_Genes"
"4","GEM;LAYN;SNX9;NBL1;DUSP4;TNFRSF9;AKAP5;VCAM1;CD200R1;ASB2;ID3;CTLA4;PLEKHO1;NAB1;LDLRAD4;GFOD1;PDCD1;LIMS1;SNAP47;GTF3C1;TOX2;RHOB;NFATC1;SLC7A5;PHLDA1;CRTAM;AD000671.2;MIR155HG;HAVCR2;STX11;ICOS;ITM2A;BANP;PTPN11;BCL2L11;LAG3;RGCC;RNF19A;SLA;TIGIT;NR3C1;PDP1;CD82;LGALS3;SRRT;IGFLR1;PRDM1;ITGAE;UTS2;TGIF1"
"0","GPR183;LMNA;ANXA1;FTH1;CXCR4;RGCC;IL7R;MT1X;TUBB2A;SELENOK;PDCL3;YBX3;PLK3;CD5;MT1E;SC5D;VIM;CDKN1A;FAM177A1;LDHA;ENC1;SDCBP;NANS;SYPL1;DHCR7;METRNL;NDUFS5;CREM;S100A10;YPEL5;TAGLN2;HIST1H4C;EIF1AY;ISCA1;RGS1;ZFP36L2;ALG13;CD28;TUBA4A;GZMK;RBM38;CRIP1;UAP1;AMD1;MYADM;SVIP;MCUB;DCTN6;AUTS2;LEPROTL1"
"2","CD38;PDE4D;ATP8A1;PDCD1;ISG15;SRRT;TENT5C;ITK;TNFRSF9;STAT1;LEPROTL1;SURF2;ITGA4;MYH9;NUP98;GSPT1;DYNLT1;ISG20;ETS1;RGS1;MSN;TAF15;SARAF;HIST1H1E;COTL1;AATF;SAT1;GPR18;TBCC;CD28;TRAT1;DCTN6;PPM1G;NONO;NCKAP1L;STK10;HLA-DQA1;SH2D2A;CREM;CHIC2;SPTAN1;AKIRIN1;EPB41;ISCA1;TMX4;MTHFD2;HNRNPLL;SLA2;SDHA;MRPL47"
"5","HIST1H1D;UTY;PDE3B;P2RY8;RELL1;SYNE2;AUTS2;TGFBR3;MTMR6;HSPA13;GPCPD1;STAT4;SPTBN1;CEMIP2;PBX4;GOLGB1;B4GALT1;ITPR1;SYTL3;RNF19A;RALGAPA1;PDE4B;CYP51A1;SLC38A1;SUCO;PTPN22;EML4;MACF1;RFTN1;RANBP2;ATP2B1;DDX3Y;MALAT1;CEP350;VPS13C;PDE4D;KIAA1109;RNF125;CDK17;BRAF;RCOR1;TRPM7;PTPRC;SACM1L;FBXO34;SPAG9;TNFAIP3;BTAF1;HGSNAT;MAP3K2"
"6","KIR2DL3;KLRF1;KRT86;KIR2DL4;KIR3DL2;TYROBP;TRDC;TRDV1;LYN;TRGV9;FCGR3A;S1PR5;AREG;PLAC8;KLRC3;IFITM3;PRR7;PDE4A;CHPT1;BLVRB;PLCG2;CYSTM1;IFNGR1;MAFF;CMC1;XCL1;VCAM1;PGRMC2;UPP1;CD300A;TERF1;METRNL;FAM177A1;TENT4B;FOSL2;ELL2;KLRB1;IFITM2;CD160;IL2RB;GLUL;FBXO34;KLRD1;CDKN1A;PIK3R1;MOB4;PTP4A1;LITAF;XCL2;IDI1"
"11","TRDV2;FEZ1;IL12RB2;TRGV9;CEBPD;SELL;IL7R;TRDC;KLRC1;TRGC1;BCL2A1;CD83;PBX4;SATB1;GPR35;NINJ1;NFKB1;KDM6B;CD300A;GZMB;IFNG;FTH1;ZC3H12A;CD55;GPR183;MT2A;PLAC8;IFNGR1;REL;NFE2L2;TWISTNB;NFKB2;LTB;RELB;HES4;EI24;KLF3;NFKBIA;MAP3K8;NFKBIZ;PRNP;PIM3;MT1E;MYBL1;TRAF1;NCR3;TRBC1;KLRB1;SLC16A3;FOSL2"
"8","GNLY;ZNF683;KIR2DL3;KLRC2;LINC02446;KIR3DL2;KLRC3;TYROBP;CD300A;TRDV1;XCL1;NCR3;LYN;IFITM3;HOPX;DUSP5;PDE4A;MAFF;RRAS2;DGKD;CDIP1;CD55;PHLDA1;IKZF2;AUTS2;GLUL;LINC01871;CDKN1A;PLCG2;ZFP36L2;SLC16A3;RAB11FIP1;ARL4A;RGCC;MYADM;HIC1;FOSL2;IRF4;LMNA;SEPT11;CHPT1;CD7;LGALS1;ZFP36;LGALS3;CRIP1;TPM4;FAM129A;FBXO34;INSIG1"
"1","SIT1;GIMAP4;GIMAP1;RCSD1;TXNIP;GIMAP2;LINC00861;GIMAP7;TRAF3IP3;PRMT9;PYCARD;GIMAP6;RGS19;CD27;TRG-AS1;DENND2D;PPP1R18;AC116366.3;PTPN6;SASH3;CISD3;TRAC;AC243960.1;POLR2G;ZYX;ARPC5L;PLEKHF1;PTGDR;SIRPG;BATF;CD52;BLOC1S1;LIME1;LCP2;DUSP23;POLD4;UBE2L6;MRPS34;PGLS;C11orf98;NDUFB3;PDLIM2;LSM2;NT5C;HSPA1A;RGS10;GSTO1;CORO1B;PTPRCAP;HLA-DQB1"
"3","TNF;EGR1;CCL4L2;HSPA1B;ATF3;FOSB;NR4A1;HSPA1A;CCL3;FOS;JUN;PPP1R15A;AC020916.1;CCL4;IFNG;NEU1;DNAJB1;DUSP1;RASGEF1B;KLF6;CITED2;KLF2;DNAJA1;ZFAND2A;TUBB4B;GADD45B;UBE2S;HSPH1;TAGAP;KCNA3;CD69;TNFSF9;IER5;SNHG12;NFKBIA;HSP90AA1;SERTAD1;TXNIP;HSP90AB1;ZFP36L1;TSC22D3;H2AFX;MRPL18;XCL1;RSRP1;RHOB;PTGDR;XCL2;FAM53C;PNP"
"12","HAVCR2;MYO1E;ENTPD1;AKAP5;POLR1E;AHI1;MIR4435-2HG;CTLA4;DUSP16;LINC01871;PDE3B;CXCR6;AC243829.4;AGPAT5;LAYN;MIR181A1HG;VCAM1;PRDM1;GZMB;CARS;CD38;PDCD1;SAT1;CYTOR;TCTN3;SRRT;BANP;SAMSN1;CD8B;PDE4D;JAML;RGS1;ICOS;LYST;RGL4;ASB2;TRGV10;ASXL2;EIF1AY;RHOB;CLEC2D;CLEC2B;LEPROTL1;U2AF1L4;BCL2L11;CLIC3;RARRES3;SIRPG;PDHB;TIGIT"
"7","TRBV12-2;TRDV1;S1PR5;KLRB1;ENC1;PCNT;AP002387.2;GZMB;APBA2;TRGV2;TRGV4;GZMH;MGAT4A;TNIP3;KLRF1;CMC1;ADRB2;EOMES;VCAM1;SPON2;SLC25A4;LINC01871;RORA;KLF3;SKAP2;IFNGR1;LMNB1;SATB1;CDKN2D;DHCR7;PRNP;POP4;ARRDC3;KLRD1;PDLIM1;KLRG1;USP36;FCRL6;MYBL1;HLA-DRB5;SH2D2A;ARNTL;C16orf54;PLEK;DYNLT3;HIST1H4C;CXCR4;TERF1;ST3GAL5;FLOT1"
